First Name,Last Name,Image,School
Jon,Lawrence,https://faculty.uci.edu/get_image?facultyId=4845,UCI
Joshua,Mauney,https://faculty.uci.edu/get_image?facultyId=6929,UCI
Krzysztof,Palczewski,https://faculty.uci.edu/get_image?facultyId=6503,UCI
Katherine,Faust,https://faculty.uci.edu/get_image?facultyId=4660,UCI
Lawrence,Marsh,https://faculty.uci.edu/get_image?facultyId=2721,UCI
William,Evans,https://faculty.uci.edu/get_image?facultyId=2024,UCI
Michael,Choi,https://faculty.uci.edu/get_image?facultyId=6543,UCI
Alicia,Carroll,https://faculty.uci.edu/get_image?facultyId=6297,UCI
Brian,Paegel,https://faculty.uci.edu/get_image?facultyId=6625,UCI
John,Gamber,https://faculty.uci.edu/get_image?facultyId=7054,UCI
Andrej,Luptak,https://faculty.uci.edu/get_image?facultyId=5448,UCI
Wirachin,Hoonpongsimanont,https://faculty.uci.edu/get_image?facultyId=5876,UCI
Andromache,Karanika,https://faculty.uci.edu/get_image?facultyId=5370,UCI
James,McGaugh,https://faculty.uci.edu/get_image?facultyId=2140,UCI
Madeline,Kozlowski,https://faculty.uci.edu/get_image?facultyId=4731,UCI
Renee,Link,https://faculty.uci.edu/get_image?facultyId=6513,UCI
Michael,Hooker,https://faculty.uci.edu/get_image?facultyId=5702,UCI
Paul,Hanselman,https://faculty.uci.edu/get_image?facultyId=6495,UCI
Ramesh,Jain,https://faculty.uci.edu/get_image?facultyId=5477,UCI
Cecelia,Lynch,https://faculty.uci.edu/get_image?facultyId=4537,UCI
Cholsoon,Jang,https://faculty.uci.edu/get_image?facultyId=6755,UCI
Thomas,Burke,https://faculty.uci.edu/get_image?facultyId=7067,UCI
Abel,Klein,https://faculty.uci.edu/get_image?facultyId=2060,UCI
James,Chiampi,https://faculty.uci.edu/get_image?facultyId=2826,UCI
Lonnie,Alcaraz,https://faculty.uci.edu/get_image?facultyId=4728,UCI
Ashley,Broussard,https://faculty.uci.edu/get_image?facultyId=6860,UCI
Timothy,Kern,https://faculty.uci.edu/get_image?facultyId=6514,UCI
Shlomit,Aizik,https://faculty.uci.edu/get_image?facultyId=7040,UCI
Lan,Huang,https://faculty.uci.edu/get_image?facultyId=5268,UCI
Jaya,Dubey,https://faculty.uci.edu/get_image?facultyId=6607,UCI
Rachel,O'Toole,https://faculty.uci.edu/get_image?facultyId=5358,UCI
James,McMichael,https://faculty.uci.edu/get_image?facultyId=2793,UCI
Robin,Bush,https://faculty.uci.edu/get_image?facultyId=2718,UCI
Wen-Hwa,Lee,https://faculty.uci.edu/get_image?facultyId=5007,UCI
Rodrigo,Lazo,https://faculty.uci.edu/get_image?facultyId=5139,UCI
Ira,Lott,https://faculty.uci.edu/get_image?facultyId=3119,UCI
Timothy,Bradley,https://faculty.uci.edu/get_image?facultyId=2131,UCI
Lora,Mjolsness,https://faculty.uci.edu/get_image?facultyId=5239,UCI
Joseph,Arditti,https://faculty.uci.edu/get_image?facultyId=2136,UCI
Margot,Norris,https://faculty.uci.edu/get_image?facultyId=2814,UCI
Kevan,Aguilar,https://faculty.uci.edu/get_image?facultyId=7094,UCI
David,Dooley,https://faculty.uci.edu/get_image?facultyId=2297,UCI
Bernard,Grofman,https://faculty.uci.edu/get_image?facultyId=2564,UCI
Olivier,Civelli,https://faculty.uci.edu/get_image?facultyId=3277,UCI
Grant,MacGregor,https://faculty.uci.edu/get_image?facultyId=5269,UCI
Dan,Mercola,https://faculty.uci.edu/get_image?facultyId=6389,UCI
Khanh-Van,Le-Bucklin,https://faculty.uci.edu/get_image?facultyId=5756,UCI
Kristen,Hatch,https://faculty.uci.edu/get_image?facultyId=5440,UCI
Glenn,Levine,https://faculty.uci.edu/get_image?facultyId=4808,UCI
Ioan,Andricioaei,https://faculty.uci.edu/get_image?facultyId=5491,UCI
Christopher,Halbrook,https://faculty.uci.edu/get_image?facultyId=6824,UCI
Bharath,Chakravarthy,https://faculty.uci.edu/get_image?facultyId=5752,UCI
David,Brant,https://faculty.uci.edu/get_image?facultyId=2095,UCI
Wendy,Cozen,https://faculty.uci.edu/get_image?facultyId=6962,UCI
David,Mobley,https://faculty.uci.edu/get_image?facultyId=5908,UCI
Joseph,Lambert,https://faculty.uci.edu/get_image?facultyId=3316,UCI
Virginia,Jackson,https://faculty.uci.edu/get_image?facultyId=5852,UCI
Selma,Masri,https://faculty.uci.edu/get_image?facultyId=6387,UCI
Naomi,Morrissette,https://faculty.uci.edu/get_image?facultyId=5080,UCI
Simona,Murgia,https://faculty.uci.edu/get_image?facultyId=6172,UCI
Kailen,Mooney,https://faculty.uci.edu/get_image?facultyId=5484,UCI
Francesco,Marangoni,https://faculty.uci.edu/get_image?facultyId=6619,UCI
Gary,Chanan,https://faculty.uci.edu/get_image?facultyId=2074,UCI
Bogi,Andersen,https://faculty.uci.edu/get_image?facultyId=4704,UCI
Alice,Fahs,https://faculty.uci.edu/get_image?facultyId=2330,UCI
Yong,Chen,https://faculty.uci.edu/get_image?facultyId=2183,UCI
Lily,Chen,https://faculty.uci.edu/get_image?facultyId=6247,UCI
June,Ahn,https://faculty.uci.edu/get_image?facultyId=6455,UCI
James,Danziger,https://faculty.uci.edu/get_image?facultyId=2600,UCI
Lisa,Flanagan,https://faculty.uci.edu/get_image?facultyId=5320,UCI
John,Guzowski,https://faculty.uci.edu/get_image?facultyId=5318,UCI
Reginald,Penner,https://faculty.uci.edu/get_image?facultyId=2040,UCI
James,Nowick,https://faculty.uci.edu/get_image?facultyId=2043,UCI
Thay,Lee,https://faculty.uci.edu/get_image?facultyId=4762,UCI
Claire,Kim,https://faculty.uci.edu/get_image?facultyId=2453,UCI
Rongsheng,Jin,https://faculty.uci.edu/get_image?facultyId=5958,UCI
Kyung,Kim,https://faculty.uci.edu/get_image?facultyId=3315,UCI
Elizabeth,Chao,https://faculty.uci.edu/get_image?facultyId=5949,UCI
Franklin,Dollar,https://faculty.uci.edu/get_image?facultyId=6158,UCI
Alexander,Chernyshev,https://faculty.uci.edu/get_image?facultyId=4972,UCI
Todd,Holmes,https://faculty.uci.edu/get_image?facultyId=5481,UCI
Hyung,Choi,https://faculty.uci.edu/get_image?facultyId=7075,UCI
Munjal,Acharya,https://faculty.uci.edu/get_image?facultyId=7045,UCI
John,Miles,https://faculty.uci.edu/get_image?facultyId=5508,UCI
Shadi,Lahham,https://faculty.uci.edu/get_image?facultyId=6136,UCI
Juan,Hong,https://faculty.uci.edu/get_image?facultyId=2355,UCI
Mohammad,Helmy,https://faculty.uci.edu/get_image?facultyId=5647,UCI
John,Billimek,https://faculty.uci.edu/get_image?facultyId=5751,UCI
Kenneth,Janda,https://faculty.uci.edu/get_image?facultyId=2048,UCI
Joseph,McKenna,https://faculty.uci.edu/get_image?facultyId=5829,UCI
Kim,Lu,https://faculty.uci.edu/get_image?facultyId=6417,UCI
Sarah,Kimball,https://faculty.uci.edu/get_image?facultyId=7011,UCI
Michelle,Latiolais,https://faculty.uci.edu/get_image?facultyId=3306,UCI
Kwang,Jung,https://faculty.uci.edu/get_image?facultyId=5617,UCI
Scott,Goodwin,https://faculty.uci.edu/get_image?facultyId=5679,UCI
Karen,Katrivesis,https://faculty.uci.edu/get_image?facultyId=6872,UCI
Joan,Campbell,https://faculty.uci.edu/get_image?facultyId=5657,UCI
William,Molzon,https://faculty.uci.edu/get_image?facultyId=2062,UCI
Karen,Noblett,https://faculty.uci.edu/get_image?facultyId=5410,UCI
Peter,Atsatt,https://faculty.uci.edu/get_image?facultyId=3048,UCI
Ana,Vedrenne,https://faculty.uci.edu/get_image?facultyId=7089,UCI
Jeanett,Castellanos,https://faculty.uci.edu/get_image?facultyId=6386,UCI
David,Floriolli,https://faculty.uci.edu/get_image?facultyId=6087,UCI
Albert,Bennett,https://faculty.uci.edu/get_image?facultyId=4546,UCI
