First Name,Last Name,Image,School,Source
Vicky,Oelze,https://anthro.ucsc.edu/cache/directory/voelze.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Jay,Reti,https://anthro.ucsc.edu/cache/directory/jreti.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Donald,Brenneis,https://anthro.ucsc.edu/cache/directory/brenneis.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Shelly,Errington,https://anthro.ucsc.edu/cache/directory/sherring.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Judith,Mauche,https://anthro.ucsc.edu/cache/directory/judith.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Susan,Harding,https://anthro.ucsc.edu/cache/directory/hard.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Olga,Najera‑Ramirez,https://anthro.ucsc.edu/cache/directory/olga.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Triloki,Pandey,https://anthro.ucsc.edu/cache/directory/pandey.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Lisa,Rofel,https://anthro.ucsc.edu/cache/directory/lrofel.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Adrienne,Zihlman,https://anthro.ucsc.edu/cache/directory/azihlman.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/index.php
Azrikam,Amram,https://anthro.ucsc.edu/cache/directory/aamram.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/academic_personnel.php
Grace,Ocaña,https://anthro.ucsc.edu/cache/directory/gealexan.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/academic_personnel.php
Joseph,Klein,https://anthro.ucsc.edu/cache/directory/kleinj.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/academic_personnel.php
Raoul,Birnbaum,https://anthro.ucsc.edu/cache/directory/rbirnb.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
John,Childs,https://anthro.ucsc.edu/cache/directory/jbchilds.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
James,Doucet‑Battle,https://anthro.ucsc.edu/cache/directory/jbattle.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
A.,Flegal,https://anthro.ucsc.edu/cache/directory/flegal.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
Ed,Green,https://anthro.ucsc.edu/cache/directory/regreen.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
Paul,Koch,https://anthro.ucsc.edu/cache/directory/plkoch.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
Flora,Lu,https://anthro.ucsc.edu/cache/directory/floralu.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
Marc,Mangel,https://anthro.ucsc.edu/cache/directory/msmangel.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
Marcia,Ochoa,https://anthro.ucsc.edu/cache/directory/marcia8a.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
Elaine,Sullivan,https://anthro.ucsc.edu/cache/directory/easulliv.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
Pat,Zavella,https://anthro.ucsc.edu/cache/directory/zavella.jpg,UC Santa Cruz,https://anthro.ucsc.edu/faculty/affiliated.php
Julie,Guthman,https://communitystudies.ucsc.edu/cache/directory/jguthman.jpg,UC Santa Cruz,https://communitystudies.ucsc.edu/faculty/cmmu-faculty.php
Craig,Reinarman,https://communitystudies.ucsc.edu/cache/directory/craigr.jpg,UC Santa Cruz,https://communitystudies.ucsc.edu/faculty/cmmu-faculty.php
Alison,Alkon,https://communitystudies.ucsc.edu/cache/directory/aalkon.jpg,UC Santa Cruz,https://communitystudies.ucsc.edu/faculty/cmmu-faculty.php
Eva,Bertram,https://communitystudies.ucsc.edu/cache/directory/ebertram.jpg,UC Santa Cruz,https://communitystudies.ucsc.edu/faculty/cmmu-faculty.php
