First Name,Last Name,Image,School,Source
Elliot,Anderson,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/ElliotAnderson.jpg?itok=xZ_gs6nX,UC Santa Cruz,https://art.ucsc.edu/faculty
Cláudio,Bueno,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Claudio-Bueno.jpeg?itok=dvS6xMMF,UC Santa Cruz,https://art.ucsc.edu/faculty
Melissa,Gwyn,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Gwyn-head-shot.jpg?itok=2yvVXy-f,UC Santa Cruz,https://art.ucsc.edu/faculty
Dee,Hibbert-Jones,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/dee_my%20photo%20super%20small.jpg?itok=FHRc71hy,UC Santa Cruz,https://art.ucsc.edu/faculty
Karolina,Karlic,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Karlic_Karlic_Pigeon_Pt_Mark_McKnight.png?itok=J_oNo6bm,UC Santa Cruz,https://art.ucsc.edu/faculty
Enrique,Leal,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Enrique_Leal-June-2014.jpg?itok=_fRGaA9N,UC Santa Cruz,https://art.ucsc.edu/faculty
John,Leanos,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Leanos_Portrait.jpg?itok=8BjSATzZ,UC Santa Cruz,https://art.ucsc.edu/faculty
Jimin,Lee,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Jimin-Lee-7%20%281%20of%201%29%20copy.jpg?itok=3tXHDuZi,UC Santa Cruz,https://art.ucsc.edu/faculty
Jorge,Barreto,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Jorge%20Menna%20Barreto.png?itok=jyMT9_bJ,UC Santa Cruz,https://art.ucsc.edu/faculty
Laurie,Palmer,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Laurie-Palmer-red.jpeg?itok=YChP1ACK,UC Santa Cruz,https://art.ucsc.edu/faculty
Jennifer,Parker,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Jennifer_Parker_Art_Department-2020.jpg?itok=L_krHTUr,UC Santa Cruz,https://art.ucsc.edu/faculty
Sarah,Sanford,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/BrochurePic.jpg?itok=6F2yiKF4,UC Santa Cruz,https://art.ucsc.edu/faculty
Edward,Shanken,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/ed-shanken.jpg?itok=R9jBtDmx,UC Santa Cruz,https://art.ucsc.edu/faculty
Elizabeth,Stephens,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/B10Y6228.jpeg?itok=_La_ILHt,UC Santa Cruz,https://art.ucsc.edu/faculty
Grant,Whipple,https://art.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Grant-whipple-2.jpg?itok=WSzqfPXp,UC Santa Cruz,https://art.ucsc.edu/faculty
Karlton,Hester,https://danm.ucsc.edu/sites/default/files/styles/list/public/KEH%20flute-sax%20copy.jpg?itok=WFHdcMdZ,UC Santa Cruz,https://danm.ucsc.edu/faculty
Matthew,Schumaker,https://danm.ucsc.edu/sites/default/files/styles/list/public/Matthew%20Schumaker.png?itok=6zAnBB32,UC Santa Cruz,https://danm.ucsc.edu/faculty
Elizabeth,Swensen,https://danm.ucsc.edu/sites/default/files/styles/list/public/Elizabeth%20Swensen%20Chess%20%281%29.jpg?itok=b-tR2CsQ,UC Santa Cruz,https://danm.ucsc.edu/faculty
Marianne,Weems,https://danm.ucsc.edu/sites/default/files/styles/list/public/Weems_Horz_1.jpg?itok=nRF1_5Kz,UC Santa Cruz,https://danm.ucsc.edu/faculty
Jon,Alonso,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/9-22-23-Faculty-Jon-Alonso-CL-004%20copy.jpg?itok=vuMo4RvS,UC Santa Cruz,https://film.ucsc.edu/faculty
Lawrence,Andrews,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/larry_andrews_bio.jpg?itok=KqTp88wu,UC Santa Cruz,https://film.ucsc.edu/faculty
Joseph,Erb,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Joseph%20Erb%20photo_0_2.jpeg?itok=1wkOjUvI,UC Santa Cruz,https://film.ucsc.edu/faculty
Anna,Friz,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/Friz_at_Wave%20Farm.jpg?itok=q_GwMZxa,UC Santa Cruz,https://film.ucsc.edu/faculty
Jennifer,Horne,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/fullsizeoutput_33ac.jpeg?itok=qK4PTugZ,UC Santa Cruz,https://film.ucsc.edu/faculty
L.S.,Kim,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/ls_kim_bio.jpg?itok=s6FQGUiA,UC Santa Cruz,https://film.ucsc.edu/faculty
Peter,Limbrick,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/LimbrickPeter.jpeg?itok=lKiuPrIT,UC Santa Cruz,https://film.ucsc.edu/faculty
Irene,Lusztig,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/IL_headshot_0.JPG?itok=BU8hz8BW,UC Santa Cruz,https://film.ucsc.edu/faculty
Soraya,Murray,https://film.ucsc.edu/sites/default/files/styles/list_page_rectangle__375_x_250_/public/SMurray2023small.jpg?itok=IHVwsH5Q,UC Santa Cruz,https://film.ucsc.edu/faculty
