First Name,Last Name,Image,School,Source
Pieter,Abbeel,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/abbeel.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Elad,Alon,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/elad.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Venkat,Anantharam,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/anantharam.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Gopala,Anumanchipalli,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/gopala.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Murat,Arcak,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/arcak.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Ana,Arias,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/acarias.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Krste,Asanović,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/asanovic.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
David,Attwood,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/attwood.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Babak,Ayazifar,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/ayazifar.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Ruzena,Bajcsy,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/bajcsy.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Michael,Ball,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/mball.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
David,Bamman,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/dbamman.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Brian,Barsky,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/barsky.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Peter,Bartlett,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/bartlett.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Jeffrey,Bokor,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/bokor.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Jessica,Boles,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/boles.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
Christian,Borgs,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/borgs.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html
