First Name,Last Name,Image,School,Source,Local Image
Pieter,Abbeel,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/abbeel.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Pieter_Abbeel.jpg
Elad,Alon,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/elad.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Elad_Alon.jpg
Venkat,Anantharam,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/anantharam.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Venkat_Anantharam.jpg
Gopala,Anumanchipalli,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/gopala.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Gopala_Anumanchipalli.jpg
Murat,Arcak,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/arcak.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Murat_Arcak.jpg
Ana,Arias,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/acarias.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Ana_Arias.jpg
Krste,Asanović,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/asanovic.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Krste_Asanović.jpg
David,Attwood,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/attwood.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/David_Attwood.jpg
Babak,Ayazifar,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/ayazifar.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Babak_Ayazifar.jpg
Ruzena,Bajcsy,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/bajcsy.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Ruzena_Bajcsy.jpg
Michael,Ball,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/mball.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Michael_Ball.jpg
David,Bamman,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/dbamman.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/David_Bamman.jpg
Brian,Barsky,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/barsky.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Brian_Barsky.jpg
Peter,Bartlett,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/bartlett.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Peter_Bartlett.jpg
Jeffrey,Bokor,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/bokor.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Jeffrey_Bokor.jpg
Jessica,Boles,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/boles.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Jessica_Boles.jpg
Christian,Borgs,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/borgs.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Christian_Borgs.jpg
Bernhard,Boser,https://www2.eecs.berkeley.edu/Faculty/Photos/Homepages/boser.jpg,UC Berkeley,https://www2.eecs.berkeley.edu/Faculty/Lists/faculty.html,./testPics/Bernhard_Boser.jpg
