First Name,Last Name,Image
caeleb,dressel,./Pictures/caeleb_dressel.jpg
emma,mckeon,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/emma_mckeon.jpg
kaylee,mckeown,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/kaylee_mckeown.jpg
elaine,thompson-herah,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/elaine_thompson-herah.jpg
lisa,carrington,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/lisa_carrington.jpg
san,an,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/san_an.jpg
katie,ledecky,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/katie_ledecky.jpg
yufei,zhang,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/yufei_zhang.jpg
ariarne,titmus,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/ariarne_titmus.jpg
vitalina,batsarashkina,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/vitalina_batsarashkina.jpg
daiki,hashimoto,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/daiki_hashimoto.jpg
adam,peaty,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/adam_peaty.jpg
