First Name,Last Name,Image,Truth
Brewer,Hicklen,../Photos/Brewer_Hicklen.jpg,White
Joey,Votto,../Photos/Joey_Votto.jpg,
Caleb,Ferguson,../Photos/Caleb_Ferguson.jpg,White
Kyle,Farmer,../Photos/Kyle_Farmer.jpg,White
Kolby,Allard,../Photos/Kolby_Allard.jpg,White
Kyle,Isbel,../Photos/Kyle_Isbel.jpg,White
Joel,Payamps,../Photos/Joel_Payamps.jpg,
Griffin,Jax,../Photos/Griffin_Jax.jpg,White
Daniel,Mengden,../Photos/Daniel_Mengden.jpg,
Jonah,Bride,../Photos/Jonah_Bride.jpg,White
Tony,Gonsolin,../Photos/Tony_Gonsolin.jpg,White
Phil,Gosselin,../Photos/Phil_Gosselin.jpg,White
Konnor,Pilkington,../Photos/Konnor_Pilkington.jpg,
Miguel,Vargas,../Photos/Miguel_Vargas.jpg,
Clay,Holmes,../Photos/Clay_Holmes.jpg,White
Nick,Nelson,../Photos/Nick_Nelson.jpg,
Ford,Proctor,../Photos/Ford_Proctor.jpg,
Peter,Strzelecki,../Photos/Peter_Strzelecki.jpg,
Marcell,Ozuna,../Photos/Marcell_Ozuna.jpg,
Justin,Dunn,../Photos/Justin_Dunn.jpg,Black
Bryan,Garcia,../Photos/Bryan_Garcia.jpg,Other
Jorge,Mateo,../Photos/Jorge_Mateo.jpg,
Alcides,Escobar,../Photos/Alcides_Escobar.jpg,Black
Jurickson,Profar,../Photos/Jurickson_Profar.jpg,
Easton,McGee,../Photos/Easton_McGee.jpg,
Robert,Stephenson,../Photos/Robert_Stephenson.jpg,
Ryan,Aguilar,../Photos/Ryan_Aguilar.jpg,Other
Corey,Knebel,../Photos/Corey_Knebel.jpg,
Adonis,Medina,../Photos/Adonis_Medina.jpg,
Deven,Marrero,../Photos/Deven_Marrero.jpg,
Collin,Wiles,../Photos/Collin_Wiles.jpg,
Andrew,Vaughn,../Photos/Andrew_Vaughn.jpg,
