First Name,Last Name,Image
Brewer,Hicklen,../Photos/Brewer_Hicklen.jpg
Joey,Votto,../Photos/Joey_Votto.jpg
Caleb,Ferguson,../Photos/Caleb_Ferguson.jpg
Kyle,Farmer,../Photos/Kyle_Farmer.jpg
Kolby,Allard,../Photos/Kolby_Allard.jpg
Kyle,Isbel,../Photos/Kyle_Isbel.jpg
Joel,Payamps,../Photos/Joel_Payamps.jpg
Griffin,Jax,../Photos/Griffin_Jax.jpg
Daniel,Mengden,../Photos/Daniel_Mengden.jpg
Jonah,Bride,../Photos/Jonah_Bride.jpg
Tony,Gonsolin,../Photos/Tony_Gonsolin.jpg
Phil,Gosselin,../Photos/Phil_Gosselin.jpg
Konnor,Pilkington,../Photos/Konnor_Pilkington.jpg
Miguel,Vargas,../Photos/Miguel_Vargas.jpg
Clay,Holmes,../Photos/Clay_Holmes.jpg
Nick,Nelson,../Photos/Nick_Nelson.jpg
Ford,Proctor,../Photos/Ford_Proctor.jpg
Peter,Strzelecki,../Photos/Peter_Strzelecki.jpg
Marcell,Ozuna,../Photos/Marcell_Ozuna.jpg
Justin,Dunn,../Photos/Justin_Dunn.jpg
Bryan,Garcia,../Photos/Bryan_Garcia.jpg
Jorge,Mateo,../Photos/Jorge_Mateo.jpg
Alcides,Escobar,../Photos/Alcides_Escobar.jpg
Jurickson,Profar,../Photos/Jurickson_Profar.jpg
Easton,McGee,../Photos/Easton_McGee.jpg
Robert,Stephenson,../Photos/Robert_Stephenson.jpg
Ryan,Aguilar,../Photos/Ryan_Aguilar.jpg
Corey,Knebel,../Photos/Corey_Knebel.jpg
Adonis,Medina,../Photos/Adonis_Medina.jpg
Deven,Marrero,../Photos/Deven_Marrero.jpg
Collin,Wiles,../Photos/Collin_Wiles.jpg
Andrew,Vaughn,../Photos/Andrew_Vaughn.jpg
Sean,Newcomb,../Photos/Sean_Newcomb.jpg
P.J.,Higgins,../Photos/P.J._Higgins.jpg
David,Phelps,../Photos/David_Phelps.jpg
Yuli,Gurriel,../Photos/Yuli_Gurriel.jpg
Yennier,Cano,../Photos/Yennier_Cano.jpg
Nate,Mondou,../Photos/Nate_Mondou.jpg
Connor,Sadzeck,../Photos/Connor_Sadzeck.jpg
Norge,Ruiz,../Photos/Norge_Ruiz.jpg
Josh,Lester,../Photos/Josh_Lester.jpg
Bo,Naylor,../Photos/Bo_Naylor.jpg
Robbie,Erlin,../Photos/Robbie_Erlin.jpg
Kevin,Plawecki,../Photos/Kevin_Plawecki.jpg
Kirby,Snead,../Photos/Kirby_Snead.jpg
Whit,Merrifield,../Photos/Whit_Merrifield.jpg
Ben,DeLuzio,../Photos/Ben_DeLuzio.jpg
Billy,McKinney,../Photos/Billy_McKinney.jpg
Lou,Trivino,../Photos/Lou_Trivino.jpg
Nolan,Arenado,../Photos/Nolan_Arenado.jpg
