First Name,Last Name,Image,Truth
Brewer,Hicklen,../Photos/Brewer_Hicklen.jpg,White
Caleb,Ferguson,../Photos/Caleb_Ferguson.jpg,White
Kyle,Farmer,../Photos/Kyle_Farmer.jpg,White
Kolby,Allard,../Photos/Kolby_Allard.jpg,White
Kyle,Isbel,../Photos/Kyle_Isbel.jpg,White
Griffin,Jax,../Photos/Griffin_Jax.jpg,White
Jonah,Bride,../Photos/Jonah_Bride.jpg,White
Tony,Gonsolin,../Photos/Tony_Gonsolin.jpg,White
Phil,Gosselin,../Photos/Phil_Gosselin.jpg,White
Clay,Holmes,../Photos/Clay_Holmes.jpg,White
Justin,Dunn,../Photos/Justin_Dunn.jpg,Black
Bryan,Garcia,../Photos/Bryan_Garcia.jpg,Other
Alcides,Escobar,../Photos/Alcides_Escobar.jpg,Black
Ryan,Aguilar,../Photos/Ryan_Aguilar.jpg,Other
P.J.,Higgins,../Photos/P.J._Higgins.jpg,White
Yuli,Gurriel,../Photos/Yuli_Gurriel.jpg,Other
Yennier,Cano,../Photos/Yennier_Cano.jpg,Black
Robbie,Erlin,../Photos/Robbie_Erlin.jpg,White
Ben,DeLuzio,../Photos/Ben_DeLuzio.jpg,White
Nolan,Arenado,../Photos/Nolan_Arenado.jpg,Other
Ian,Hamilton,../Photos/Ian_Hamilton.jpg,White
Brendan,Donovan,../Photos/Brendan_Donovan.jpg,White
Cory,Abbott,../Photos/Cory_Abbott.jpg,White
Yu,Darvish,../Photos/Yu_Darvish.jpg,Asian
Tommy,Edman,../Photos/Tommy_Edman.jpg,White
Josh,Hader,../Photos/Josh_Hader.jpg,White
Josh,Donaldson,../Photos/Josh_Donaldson.jpg,White
Caleb,Hamilton,../Photos/Caleb_Hamilton.jpg,White
Connor,Brogdon,../Photos/Connor_Brogdon.jpg,White
Luis,Barrera,../Photos/Luis_Barrera.jpg,Other
Dylan,Carlson,../Photos/Dylan_Carlson.jpg,White
Jarred,Kelenic,../Photos/Jarred_Kelenic.jpg,White
Raisel,Iglesias,../Photos/Raisel_Iglesias.jpg,Black
Andrew,Bellatti,../Photos/Andrew_Bellatti.jpg,White
Jason,Foley,../Photos/Jason_Foley.jpg,White
Jake,Bird,../Photos/Jake_Bird.jpg,White
Tyler,Cyr,../Photos/Tyler_Cyr.jpg,White
Rodolfo,Castro,../Photos/Rodolfo_Castro.jpg,Black
Eric,Hosmer,../Photos/Eric_Hosmer.jpg,White
Matt,Davidson,../Photos/Matt_Davidson.jpg,White
Mark,Appel,../Photos/Mark_Appel.jpg,White
Aaron,Fletcher,../Photos/Aaron_Fletcher.jpg,Black
Sean,Bouchard,../Photos/Sean_Bouchard.jpg,White
Yu,Chang,../Photos/Yu_Chang.jpg,Asian
Michael,Feliz,../Photos/Michael_Feliz.jpg,Black
Ryan,Brasier,../Photos/Ryan_Brasier.jpg,White
Randy,Arozarena,../Photos/Randy_Arozarena.jpg,Black
Andrew,Benintendi,../Photos/Andrew_Benintendi.jpg,White
Silvino,Bracho,../Photos/Silvino_Bracho.jpg,Other
Ashton,Goudeau,../Photos/Ashton_Goudeau.jpg,White
Adam,Haseley,../Photos/Adam_Haseley.jpg,White
Jack,Flaherty,../Photos/Jack_Flaherty.jpg,White
Noah,Davis,../Photos/Noah_Davis.jpg,White
Jeurys,Familia,../Photos/Jeurys_Familia.jpg,Black
Jon,Berti,../Photos/Jon_Berti.jpg,White
Nick,Allen,../Photos/Nick_Allen.jpg,White
Trent,Grisham,../Photos/Trent_Grisham.jpg,White
Grayson,Greiner,../Photos/Grayson_Greiner.jpg,White
Bryce,Harper,../Photos/Bryce_Harper.jpg,White
Jose,Alvarez,../Photos/Jose_Alvarez.jpg,White
Skye,Bolt,../Photos/Skye_Bolt.jpg,White
Matt,Beaty,../Photos/Matt_Beaty.jpg,White
Sean,Hjelle,../Photos/Sean_Hjelle.jpg,White
Ryan,Hendrix,../Photos/Ryan_Hendrix.jpg,White
Kole,Calhoun,../Photos/Kole_Calhoun.jpg,White
Freddie,Freeman,../Photos/Freddie_Freeman.jpg,White
Lucas,Gilbreath,../Photos/Lucas_Gilbreath.jpg,White
Zack,Greinke,../Photos/Zack_Greinke.jpg,White
Brennan,Bernardino,../Photos/Brennan_Bernardino.jpg,Other
Chris,Devenski,../Photos/Chris_Devenski.jpg,White
Kyle,Crick,../Photos/Kyle_Crick.jpg,White
Eduardo,Escobar,../Photos/Eduardo_Escobar.jpg,Black
Tyler,Glasnow,../Photos/Tyler_Glasnow.jpg,White
Justin,Grimm,../Photos/Justin_Grimm.jpg,White
Chris,Flexen,../Photos/Chris_Flexen.jpg,White
Bobby,Dalbec,../Photos/Bobby_Dalbec.jpg,White
Louis,Head,../Photos/Louis_Head.jpg,White
Ryan,Burr,../Photos/Ryan_Burr.jpg,White
Kutter,Crawford,../Photos/Kutter_Crawford.jpg,White
Alex,Jackson,../Photos/Alex_Jackson.jpg,White
Adam,Engel,../Photos/Adam_Engel.jpg,White
Gilberto,Celestino,../Photos/Gilberto_Celestino.jpg,Other
Aaron,Civale,../Photos/Aaron_Civale.jpg,White
Matthew,Boyd,../Photos/Matthew_Boyd.jpg,White
Matt,Dermody,../Photos/Matt_Dermody.jpg,White
Danny,Coulombe,../Photos/Danny_Coulombe.jpg,White
Rob,Brantly,../Photos/Rob_Brantly.jpg,White
Taylor,Hearn,../Photos/Taylor_Hearn.jpg,Black
Zack,Collins,../Photos/Zack_Collins.jpg,White
Wil,Crowe,../Photos/Wil_Crowe.jpg,White
Ty,France,../Photos/Ty_France.jpg,White
Archie,Bradley,../Photos/Archie_Bradley.jpg,White
Jeter,Downs,../Photos/Jeter_Downs.jpg,Black
Austin,Hays,../Photos/Austin_Hays.jpg,White
J.D.,Davis,../Photos/J.D._Davis.jpg,White
Ken,Giles,../Photos/Ken_Giles.jpg,White
Amir,Garrett,../Photos/Amir_Garrett.jpg,Black
Matt,Carpenter,../Photos/Matt_Carpenter.jpg,White
Jeremiah,Estrada,../Photos/Jeremiah_Estrada.jpg,Other
Jake,Diekman,../Photos/Jake_Diekman.jpg,White
Jonathan,India,../Photos/Jonathan_India.jpg,White
Jake,Burger,../Photos/Jake_Burger.jpg,White
Josh,Jung,../Photos/Josh_Jung.jpg,White
Elier,Hernandez,../Photos/Elier_Hernandez.jpg,Black
Domingo,Acevedo,../Photos/Domingo_Acevedo.jpg,Black
Victor,Caratini,../Photos/Victor_Caratini.jpg,White
Wynton,Bernard,../Photos/Wynton_Bernard.jpg,Black
Ehire,Adrianza,../Photos/Ehire_Adrianza.jpg,Other
R.J.,Alvarez,../Photos/R.J._Alvarez.jpg,Other
Wilmer,Difo,../Photos/Wilmer_Difo.jpg,Other
Chris,Archer,../Photos/Chris_Archer.jpg,Other
