First Name,Last Name,Face,Name,Truth
caeleb,dressel,White,White,White
emma,mckeon,White,White,White
kaylee,mckeown,White,White,White
elaine,thompson-herah,Black,Black,Black
lisa,carrington,White,Black,White
san,an,Asian,Asian,Asian
katie,ledecky,White,White,White
yufei,zhang,Asian,Asian,Asian
ariarne,titmus,White,White,White
vitalina,batsarashkina,White,White,White
daiki,hashimoto,Asian,Asian,Asian
adam,peaty,White,White,White
evgeny,rylov,Other,White,White
sifan,hassan,Black,Asian,Black
yui,ohashi,Asian,Asian,Asian
sofia,pozdniakova,White,White,White
svetlana,kolesnichenko,White,White,White
qian,yang,Asian,Asian,Asian
sydney,mclaughlin,Asian,Black,Black
robert,finke,White,White,White
athing,mu,Black,Asian,Black
tingmao,shi,Asian,Asian,Asian
lamont,marcell,Other,Black,White
long,ma,Asian,Asian,Asian
meng,chen,Asian,Asian,Asian
clarisse,agbegnenou,Black,Black,Black
svetlana,romashina,White,White,White
je,deok,Asian,Asian,Asian
sunisa,lee,Asian,Asian,Asian
ryan,murphy,White,White,White
mima,ito,Asian,Asian,Asian
andre,de,Black,Black,Other
margaret,mac,Asian,White,Asian
joshua,kiprui,Black,Black,Black
akira,sone,Asian,Asian,Asian
sofiya,velikaya,White,White,White
rai,benjamin,Black,Black,Black
yuan,cao,Asian,Asian,Asian
rebeca,andrade,Black,Other,Other
hifumi,abe,Asian,Asian,Asian
dalilah,muhammad,Black,Asian,Black
inna,deriglazova,White,White,White
jason,kenny,White,White,White
kristof,kristof,Other,White,White
uta,abe,Asian,Asian,Asian
takanori,nagase,Asian,Asian,Asian
laura,kenny,White,White,White
xin,xu,Asian,Asian,Asian
isabell,werth,White,White,White
zhendong,fan,Asian,Asian,Asian
belinda,bencic,White,White,White
aaron,wolf,Asian,White,White
shohei,ono,Asian,Asian,Asian
shelly-ann,fraser-pryce,Black,Black,Black
denis,ablyazin,White,White,White
brianna,throssell,White,White,White
shericka,jackson,Black,Black,Black
nikita,nagornyy,White,White,White
angelina,melnikova,White,White,White
larisa,korobeynikova,Asian,White,White
jessica,fox,White,White,White
emily,seebohm,White,White,White
jingyuan,zou,Asian,Asian,Asian
thomas,daley,White,White,White
danuta,kozak,White,White,White
izaac,stubblety-cook,White,White,White
aron,szilagyi,Other,White,White
madison,wilson,White,Black,White
teddy,riner,Black,White,Black
allyson,felix,Black,Other,Black
david,belyavskiy,White,White,White
bakhodir,jalolov,Asian,White,White
soufiane,elbakkali,White,White,Other
chase,kalisz,White,White,White
italo,ferreira,Other,Other,Other
ryutaro,umeno,Asian,Asian,Asian
kahena,kunze,White,White,White
jeahwan,shin,Asian,Asian,Asian
vladislav,larin,Other,White,White
emmanuel,kipkurui,Black,Black,Black
diana,taurasi,White,White,Other
alexander,zverev,White,White,White
daniel,stahl,White,White,White
linoy,ashram,White,Asian,White
sosuke,genda,Asian,Asian,Asian
hayato,sakamoto,Asian,Asian,Asian
suguru,iwazaki,Asian,Asian,Asian
anders,berntsen,White,White,White
