First Name,Last Name,Actual
caeleb,dressel,White
emma,mckeon,White
kaylee,mckeown,White
elaine,thompson-herah,Black
lisa,carrington,White
san,an,Asian
katie,ledecky,White
yufei,zhang,Asian
ariarne,titmus,White
vitalina,batsarashkina,White
daiki,hashimoto,Asian
adam,peaty,White
evgeny,rylov,White
sifan,hassan,Black
yui,ohashi,Asian
sofia,pozdniakova,White
svetlana,kolesnichenko,White
qian,yang,Asian
sydney,mclaughlin,Black
robert,finke,White
athing,mu,Black
tingmao,shi,Asian
lamont,marcell,White
long,ma,Asian
meng,chen,Asian
clarisse,agbegnenou,Black
svetlana,romashina,White
je,deok,Asian
sunisa,lee,Asian
ryan,murphy,White
mima,ito,Asian
andre,de,Other
margaret,mac,Asian
joshua,kiprui,Black
akira,sone,Asian
sofiya,velikaya,White
rai,benjamin,Black
yuan,cao,Asian
rebeca,andrade,Other
hifumi,abe,Asian
dalilah,muhammad,Black
inna,deriglazova,White
jason,kenny,White
kristof,kristof,White
uta,abe,Asian
takanori,nagase,Asian
laura,kenny,White
xin,xu,Asian
isabell,werth,White
zhendong,fan,Asian
belinda,bencic,White
aaron,wolf,White
shohei,ono,Asian
shelly-ann,fraser-pryce,Black
denis,ablyazin,White
brianna,throssell,White
shericka,jackson,Black
nikita,nagornyy,White
angelina,melnikova,White
larisa,korobeynikova,White
jessica,fox,White
emily,seebohm,White
jingyuan,zou,Asian
thomas,daley,White
danuta,kozak,White
izaac,stubblety-cook,White
aron,szilagyi,White
madison,wilson,White
teddy,riner,Black
allyson,felix,Black
david,belyavskiy,White
bakhodir,jalolov,White
soufiane,elbakkali,Other
chase,kalisz,White
italo,ferreira,Other
ryutaro,umeno,Asian
kahena,kunze,White
jeahwan,shin,Asian
vladislav,larin,White
emmanuel,kipkurui,Black
diana,taurasi,Other
alexander,zverev,White
daniel,stahl,White
linoy,ashram,White
sosuke,genda,Asian
hayato,sakamoto,Asian
suguru,iwazaki,Asian
anders,berntsen,White
jakob,ingebrigtsen,White
enzo,lefort,Black
jade,carey,White
artur,dalaloyan,White
christine,sinclair,White
faith,chepngetich,Black
sakura,yosozumi,Asian
nikola,karabatic,White
viktoria,listunova,White
dani,alves,Other
sue,bird,White
ahmed,hafnaoui,Other
koyo,aoyagi,Asian
jerry,tuwai,Black
hideto,asamura,Asian
momiji,nishiya,Asian
kevin,durant,Black
hidilyn,diaz,Asian
milica,mandic,Other
april,ross,White
yang,liu,Asian
primoz,roglic,White
miltiadis,tentoglou,White
yasuaki,yamasaki,Asian
florian,wellbrock,White
hiromi,itoh,Asian
hansle,parchment,Black
jolanda,neff,White
woojin,kim,Asian
munetaka,murakami,Asian
yuki,yanagita,Asian
yuto,horigome,Asian
yoshinobu,yamamoto,Asian
lasha,talakhadze,White
gianmarco,tamberi,White
ryan,crouser,White
nina,derwael,White
neeraj,chopra,Other
hamish,bond,White
viktor,axelsen,White
eliud,kipchoge,Black
damian,warner,Black
andrey,rublev,White
ryosuke,kikuchi,Asian
mete,gazoz,Other
niek,kimmann,White
takuya,kai,Asian
valent,sinkovic,White
pedro,p.,Black
kensuke,kondoh,Asian
steven,gardiner,Black
kaima,taira,Asian
isaquias,queiroz,Other
yiwen,sun,Asian
maksim,khramtcov,White
artem,dolgopyat,White
mutaz,essa,Black
karsten,warholm,White
richarlison,de,Other
armand,duplantis,White
abdulrashid,sadulaev,Other
naohisa,takato,Asian
emma,twigg,White
panipak,wongpattanakit,Asian
xiaojun,lyu,Asian
masataka,yoshida,Asian
chenchen,guan,Asian
yulimar,rojas,Other
alberto,gines,Other
jasmine,camacho-quinn,Black
tetsuto,yamada,Asian
carissa,moore,Other
jonathan,brownlee,White
josua,vakurunabili,Black
martin,sinkovic,White
yukiko,ueno,Asian
max,whitlock,White
filip,filipovic,White
anita,wlodarczyk,White
mariya,lasitskene,White
ryoya,kurihara,Asian
portia,woodman,White
masato,morishita,Asian
martine,grael,White
luc,abalo,Black
selemon,barega,Black
alberto,fernandez,White
dawid,tomala,White
yudai,ohno,Asian
seiya,suzuki,Asian
shaunae,miller-uibo,Black
risako,kawai,Asian
wojciech,nowicki,White
keegan,palmer,White
madeline,musselman,White
nafissatou,thiam,Black
ashleigh,johnson,Black
flora,duffy,White
ryoji,kuribayashi,Asian
janja,garnbret,White
massimo,stano,Other
musa,evloev,White
maude,garon,White
zach,lavine,White
lilly,king,White
regan,smith,White
xuechen,huang,Asian
elena,osipova,White
wenyan,sun,Asian
ruoteng,xiao,Asian
kyle,chalmers,White
penny,oleksiak,White
gabrielle,thomas,Black
dimitrij,ovtcharov,White
abbey,weitzeil,White
simone,biles,Black
taylor,madison,White
kazuma,kaya,Asian
kliment,kolesnikov,White
thomas,ceccon,Other
laura,asadauskaite,Other
anthony,zambrano,Other
lamecha,girma,Black
jennifer,abel,Black
long,chen,Asian
jack,mcloughlin,White
ana,maria,White
kelvin,hoefler,Other
daniel,dhers,White
timothy,cheruiyot,Black
idalys,ortiz,Black
xijing,tang,Asian
tzu,ying,Asian
eivind,henriksen,White
anastasiia,tatareva,White
joe,kovacs,White
shiwen,liu,Asian
jakub,vadlejch,White
mykayla,skinner,White
ksenia,perova,White
takeru,kitazono,Asian
teresa,portela,Other
laura,muir,White
anastasiia,maksimova,White
richard,schmidt,White
ravi,kumar,Other
daniele,garozzo,White
pat,mccormack,White
luis,javier,Other
dina,averina,White
mikkel,hansen,White
ysaora,thibus,Other
anastasiia,iliankova,White
hellen,onsando,Black
chih,kai,Asian
gregorio,paltrinieri,White
ferguson,cheruiyot,Black
christopher,nilsen,White
fred,kerley,Black
cat,osterman,White
kyle,frederick,White
aisen,chen,Asian
jordan,chiles,Black
monica,abbott,White
kanoa,igarashi,Asian
kasumi,ishikawa,Asian
chanu,saikhom,Asian
kenneth,bednarek,Black
tin,srbic,White
nathaniel,coleman,White
christine,mboma,Black
saul,craviotto,White
miho,nonaka,Asian
marketa,vondrousova,White
tina,trstenjak,White
rudy,gobert,Black
hao,you,Asian
kalkidan,gezahegne,Black
simon,pettersson,White
koki,ikeda,Asian
anzhelika,sidorova,White
dong,dong,Asian
lukas,dauser,White
kokona,hiraki,Asian
mohammed,ahmed,Black
wataru,tanigawa,Asian
timo,boll,White
miu,hirano,Asian
jonathan,hilbert,White
bianca,buitendag,White
grant,holloway,Black
gabriela,bayardo,Other
steve,wijler,White
yaming,zhu,Asian
juan,miguel,Other
mauro,nespoli,Other
abdi,nageeye,Black
elena,vesnina,White
brittney,reese,Black
grace,mccallum,White
florent,manaudou,White
rayssa,leal,White
mariana,pajón,Other
kendra,harrison,Black
adriana,cerezo,Other
kevin,mayer,White
kjetil,borch,White
rayderley,miguel,Other
vanessa,ferrari,Other
pedro,barros,Other
charlotte,dujardin,White
emma,jorgensen,White
takaharu,furukawa,Asian
anastasiya,savchuk,White
marta,fiedina,White
nicolo,martinenghi,Other
ferhat,arican,Other
lisa,unruh,White
simone,manuel,Black
toshikazu,yamanishi,Asian
florian,wellbrock,White
luis,alvarez,Other
race,imboden,White
patty,mills,Black
noah,lyles,Black
mack,horton,White
irma,testa,White
daryll,neita,Black
lovlina,borgohain,Other
ana,peleteiro,Black
ashley,moloney,White
dylan,schmidt,White
megan,rapinoe,White
benjamin,kigen,Black
thiago,braz,Other
patryk,dobek,White
ronald,levy,Black
lucilla,boari,White
pawel,fajdek,White
maksim,nedasekau,White
owen,wright,White
manpreet,singh,Other
artur,davtyan,Other
melissa,wu,Asian
ashleigh,barty,White
paul,kipkemoi,Black
asha,philip,Black
helen,louise,White
bashir,abdi,Black
anna,van,White
elijah,winnington,White
tomas,walsh,White
sideris,tasiadis,Other
alejandra,valencia,Other
tomokazu,harimoto,Asian
yeldos,smetov,Asian
valerie,adams,Other
carli,lloyd,White
dina,asher-smith,Black
funa,nakayama,Asian
tadej,pogacar,White
alexander,massialas,White
cory,juneau,White
josh,kerr,White
seojeong,yeo,Asian
bruno,fratus,Other
pusarla,venkata,Other
anthony,sinisuka,Asian
fabrice,zango,Black
yaroslava,mahuchikh,White
sebastian,brendel,White
bryony,page,White
rossella,fiamingo,Other
evan,dunfee,White
letesenbet,gidey,Black
alice,kinsella,White
jagger,eaton,White
kirani,james,Black
jacob,kiplimo,Black
sky,brown,White
jack,laugher,White
eleftherios,petrounias,White
bianca,walkden,White
lydia,ko,Asian
alexandra,patricia,White
gregorio,paltrinieri,White
chloe,dygert,White
mai,murakami,Asian
maykel,masso,Black
alison,dos,Black
jessica,gadirova,White
vitezslav,vesely,White
dušan,domovic,White
megan,tapper,Black
lukas,weisshaidinger,White
damir,martin,White
pernille,blume,White
marcos,moneta,White
