First Name,Last Name,Face,Name,Truth
A.J.,Alexy,White,White,White
Aaron,Ashby,White,Black,White
Aaron,Brooks,White,Black,White
Aaron,Bummer,White,White,White
Aaron,Civale,White,White,White
Aaron,Fletcher,Asian,Black,Black
Aaron,Hicks,Asian,Black,Black
Aaron,Judge,Other,Black,White
Abraham,Almonte,Black,Other,Black
Adam,Cimber,White,White,White
Adam,Duvall,White,White,White
Adam,Engel,White,White,White
Adam,Frazier,White,White,White
Adam,Haseley,White,White,White
Adbert,Alzolay,Other,White,Other
Adrian,Houser,White,White,White
Akil,Baddoo,Black,Black,Black
Albert,Abreu,Black,Other,Other
Alcides,Escobar,Black,Other,Black
Alec,Bohm,White,White,White
Alec,Burleson,White,White,White
Alex,Bregman,White,White,White
Alex,Call,White,White,White
Alex,Claudio,White,Other,White
Alex,Cobb,White,Black,White
Alex,Dickerson,White,Black,White
Alex,Faedo,Other,Other,Other
Alex,Jackson,Other,Black,White
Amir,Garrett,Asian,White,Black
Anderson,Espinoza,Asian,Other,Black
Andre,Jackson,Black,Black,Black
Andrew,Bellatti,White,White,White
Andrew,Benintendi,White,White,White
Andrew,Chafin,White,White,White
Andrew,Heaney,White,White,White
Anthony,Alford,Black,Black,Black
Anthony,Banda,Other,Other,Other
Anthony,Bass,White,Black,White
Anthony,Bemboom,White,White,White
Anthony,Bender,White,White,White
Anthony,Castro,Black,Other,Black
Anthony,DeSclafani,White,Black,White
Anthony,Gose,Other,Black,Other
Anthony,Kay,White,Black,White
Aramis,Garcia,White,Other,Other
Archie,Bradley,White,Black,White
Aristides,Aquino,Black,Other,Black
Aroldis,Chapman,Black,White,Black
Ashton,Goudeau,White,Black,White
Austin,Adams,White,Black,White
Austin,Allen,White,White,White
Austin,Barnes,Other,Black,White
Austin,Brice,White,Black,White
Austin,Davis,White,Black,White
Austin,Dean,White,White,White
Austin,Gomber,White,White,White
Austin,Hays,White,White,White
Austin,Hedges,Other,White,White
Bailey,Falter,White,White,White
Beau,Brieske,White,White,White
Ben,DeLuzio,Asian,White,White
Ben,Gamel,White,White,White
Billy,Hamilton,Black,Black,Black
Bo,Bichette,Asian,Asian,Other
Bobby,Bradley,Black,Black,Black
Bobby,Dalbec,Other,White,White
Bowden,Francis,White,Black,White
Brad,Boxberger,White,White,White
