First Name,Last Name,Face,Name,Truth
Precious,Achiuwa,Black,Black,Black
Steven,Adams,Other,Black,White
Bam,Adebayo,Black,Black,Black
Ochai,Agbaji,Black,Asian,Black
Santi,Aldama,Other,Other,White
Nickeil,Alexander-Walker,Black,Black,Black
Grayson,Allen,White,White,White
Jarrett,Allen,Black,Black,Black
Jose,Alvarado,Other,Other,Other
Kyle,Anderson,Other,White,Black
Giannis,Antetokounmpo,Black,Other,Black
Thanasis,Antetokounmpo,Black,Asian,Black
Cole,Anthony,Other,Black,Black
O.G.,Anunoby,Black,Asian,Black
Ryan,Arcidiacono,White,White,White
Deni,Avdija,Other,White,White
Deandre,Ayton,Black,Black,Black
Udoka,Azubuike,Black,Black,Black
Ibou,Badji,Black,Black,Black
Marvin,Bagley III,Black,White,Black
Patrick,Baldwin Jr.,Other,Black,White
LaMelo,Ball,Other,Black,Black
Lonzo,Ball,White,Black,Black
Mo,Bamba,Black,Black,Black
Paolo,Banchero,Black,Other,Black
Desmond,Bane,Black,Black,Black
Dalano,Banton,Other,Black,Black
Dominick,Barlow,Black,Black,Black
Harrison,Barnes,Black,Black,Black
Scottie,Barnes,Black,Black,Black
RJ,Barrett,Black,Black,Black
Will,Barton,Black,Black,Black
Charles,Bassey,Black,Black,Black
Keita,Bates-Diop,Black,Black,Black
Nicolas,Batum,Black,White,Other
Darius,Bazley,Black,Black,Black
Bradley,Beal,Black,White,Black
Malik,Beasley,Black,Black,Black
MarJon,Beauchamp,Black,White,Black
Davis,Bertans,White,White,White
Patrick,Beverley,Black,Black,Black
Saddiq,Bey,Black,Asian,Black
Khem,Birch,Black,White,Black
Goga,Bitadze,Other,White,White
Bismack,Biyombo,Black,Black,Black
Buddy,Boeheim,White,White,White
Bogdan,Bogdanovic,Other,White,White
Bojan,Bogdanovic,White,White,White
Bol,Bol,Black,Asian,Black
Leandro,Bolmaro,Other,Other,White
Devin,Booker,Asian,Black,Black
Brandon,Boston Jr.,Black,Black,Black
Chris,Boucher,Black,White,Black
James,Bouknight,Asian,Black,Black
Jamaree,Bouyea,Black,Black,Black
Tony,Bradley,Black,Black,Black
Malaki,Branham,Black,Black,Black
Christian,Braun,White,White,White
Mikal,Bridges,Black,White,Black
Oshae,Brissett,Black,Black,Black
Malcolm,Brogdon,Other,Black,Black
