First Name,Last Name,Face,Name,Actual
Gail,Brager,Other,White,White
Ellen,Kersten,Other,White,White
Miguel,Arratia,Asian,Other,Other
Kathryn,Leonard,Other,White,White
Michael,Soltys,White,White,White
Garrett,Liles,White,White,White
Jaime,Raigoza,Asian,Other,Other
Noriyuki,Sato,White,Asian,Asian
Lisa,Ott,Black,White,White
Samuel,Sandoval,Asian,Other,Other
Catherine,Brinkley,Asian,White,White
Peter,Hernes,White,White,White
Ygal,Achmon,Other,White,Other
Karen,Legrand,White,White,White
Patrick,Still,Asian,White,Black
Philip,Vieira,Asian,White,White
Ximena,Cid,Asian,Other,White
Arnab,Mukherjea,Black,Asian,Asian
Natalie,Ingraham,Asian,White,White
Ryan,Smith,White,White,White
Fadi,Castronovo,Asian,White,White
Erik,Helgren,White,White,White
Joshua,Reece,White,White,White
David,Lent,Other,White,White
Austin,Nation,Black,White,Black
Parvin,Shahrestani,Asian,White,Other
Madeline,Rasche,Other,White,Other
Heather,Crawford,White,White,White
Jennifer,Soong,Asian,Asian,Asian
Amber,Johnson,Black,White,Black
Arturo,Zavala,Asian,Other,Asian
Gwen,Shaffer,White,White,White
Jingjing,Li,Asian,Asian,Asian
Jennie,Grammer,White,White,White
Nicole,Valenzuela,Asian,Other,White
Susanne,Nicholas,Asian,White,Other
Ulrike,Seibt,Other,White,White
Jessica,Gipson,Black,White,White
David,Goodman-Meza,Other,Other,White
Katherine,Sammler,White,White,White
Joshua,Shackman,White,White,White
LILIAN,Davila,Asian,Other,Other
Asmeret Asefaw,Berhe,Asian,White,Black
Teamrat,Ghezzehei,Asian,White,Other
Judith,Canner,White,White,White
Nhut,Ho,Other,Asian,Asian
Cord,Brundage,Other,White,White
Monica,Palomo,Asian,Other,Other
Lin,Wu,Other,Asian,Asian
Subodh,Bhandari,Black,Asian,Asian
Winny,Dong,Black,Asian,Asian
Samantha,Ying,Asian,Asian,Asian
Sarah,Woodard,White,White,White
Robina,Shaheen,Other,White,Asian
AlisonC,Coil,White,White,White
Jae,Sevelius,White,White,White
Juleen,Lam,Asian,Asian,Asian
Navneet,Matharu,Asian,White,Asian
Jean,Peterson,Asian,White,White
Lizabeth,Schlemer,White,White,White
Elinne,Becket,White,White,White
Anna,Kim,Asian,Asian,Asian
Heather,Hodges,Asian,White,White
Yu,Zhang,Asian,Asian,Asian
Kevin,Jones,Black,White,Black
Donald,Wiberg,White,White,White
Karin,Jaffe,Asian,White,White
Alison,Mcnally,White,White,White
Robert,Streubel,Asian,White,White
