first ,last,discipline,Dept. ,title,CSU/UC,campus,#proj,Image
Yize,Li,Condensed Matter Physics,Physics and Engineering,Assistant Professor,CSU,Bakersfield,,https://www.csub.edu/physics/_images/Li.jpg
Chengwei,Lei,Computer Science,Department of Computer & Electrical Engineering/Computer Science,Assistant Professor,CSU,Bakersfield,5,N\A
Bilin,Zeng,Statistics,Department of Mathematics,Assistant Professor,CSU,Bakersfield,7,https://www.csub.edu/~bzeng/images/bzeng.jpg
Alan,Fuchs,Chemical Engineering,Physics and Engineering,Full Professor,CSU,Bakersfield,80,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8NUj7xQAAAAJ&citpid=2
David,Gove,Mathematics,Mathematics,Full Professor,CSU,Bakersfield,1,N\A
Krishna,Prasai,Ph.D (Physics),Physics and Engineering,Lecturer,CSU,Bakersfield,1,https://scholar.google.com/citations/images/avatar_scholar_128.png
Hunter,Gehlbach,Educational Psychology,Education,Associate Professor,UC,Berkeley,,https://edpolicyinca.org/sites/default/files/styles/author_cropped/public/people-photos/Hunter_Gehlbach.jpg?h=2a9573c7&itok=esENIu8-
Justin,Remais,Environmental Health Sciences,Environmental Health Sciences,Associate Professor,UC,Berkeley,6,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8DuoSE4AAAAJ&citpid=4
Gail,Brager,Mechanical Engineering,Architecture,Full Professor,UC,Berkeley,30,https://cbe.berkeley.edu/wp-content/uploads/2018/08/Gail-Brager.jpg
Yoonjung,Lee,Political Science,School of Information,Post-Doctoral Scholar,UC,Berkeley,5,https://bat.bing.com/action/0?ti=5279943&tm=gtm002&Ver=2&mid=10d04d6f-99f9-4fc8-bccb-0345b35828b0&sid=e99546b0c44f11ecb40e5bb2e3e942ac&vid=e9957220c44f11eca61489782466bff8&vids=1&pi=918639831&lg=en-US&sw=1280&sh=1024&sc=24&tl=Dr.%20Yoonjung%20Lee%20-%20DentalSave%20Dental%20Plans&p=https%3A%2F%2Fdentalsave.com%2Fdentists%2Fcalifornia%2Fbuena-park%2Fperiodontists%2Fdr-yoonjung-lee-13%2F&r=&lt=1793&evt=pageLoad&msclkid=N&sv=1&rn=489447
Changhua,Mu,PhD in Biomedical Inorganic Chemistry,Department of Bioengineering,Post-Doctoral Scholar,UC,Berkeley,5,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tmKwXgsAAAAJ&citpid=1
Elke,Eichelmann,Environmental Science,"Environmental Science, Policy and Management",Post-Doctoral Scholar,UC,Berkeley,1,https://ourenvironment.berkeley.edu/sites/ourenvironment.berkeley.edu/files/styles/user_big_picture/public/pictures/picture-14329-1453861184.jpg?itok=EIBYMJZ6
Ellen,Kersten,"Environmental Science, Policy, and Management",Psychiatry,Post-Doctoral Scholar,UC,Berkeley,2,https://ourenvironment.berkeley.edu/sites/ourenvironment.berkeley.edu/files/styles/user_big_picture/public/pictures/picture-14248-1449693570.jpg?itok=rzy378CD
Miguel,Arratia,PhD Physics,Physics,Post-Doctoral Scholar,UC,Berkeley,,https://www.cambridgetrust.org/assets/cache/4615267e6c99db49c8bd7e5f780a53b79b075f44.jpg
Mariam,Kiran,Computer Science,Lawrence Berkeley National Lab,Research Scientist,UC,Berkeley,2,https://scholar.google.com/citations/images/avatar_scholar_128.png
Kathryn,Leonard,Mathematics,Mathematics,Associate Professor,CSU,Channel Islands,2,https://archive.vcstar.com/Services/image.ashx?domain=www.vcstar.com&file=leonard07_4495256_ver1.0_640_480.jpg&resize=200*271
Dana Lee,Baker,Public Policy,Political Science,Associate Professor,CSU,Channel Islands,4,N\A
Michael,Soltys,Computer Science,Computer Science,Full Professor,CSU,Channel Islands,,https://i0.wp.com/prof.msoltys.com/wp-content/uploads/2013/07/Michael-Soltys-CS-2-230x300.jpeg?resize=230%2C300
Garrett,Liles,Soil Science ,College of Agriculture,Assistant Professor,CSU,Chico,5,https://www.csuchico.edu/ag/_assets/images/faculty-staff/liles-garrett.jpeg
Jaime,Raigoza,Computer Science,Computer Science Department,Assistant Professor,CSU,Chico,,https://www.csuchico.edu/csci/_assets/images/jaime-raigoza.jpg
Noriyuki,Sato,Geography,Department of Geography and Planning,Associate Professor,CSU,Chico,1,https://www.csuchico.edu/cwe/_assets/images/sato-noriyuki.jpg
Lisa,Ott,Chemistry,Chemistry and Biochemistry,Associate Professor,CSU,Chico,3,https://www.csuchico.edu/cwe/_assets/images/ott-lisa.jpg
Jennifer,Rosenthal,"MD: Pediatrics, Health Services Research",Pediatrics,Assistant Professor,UC,Davis,4,https://physicians.ucdavis.edu/Custom/Photos/21924.jpg
Samuel,Sandoval,Environmental and Water Resources Engineering ,"Land, Air and Water Resources",Assistant Professor,UC,Davis,3,http://internal.metro.ucdavis.edu/profiles/images/5549-sandoval-solis.jpg
Catherine,Brinkley,"Urban Planning, Public Health",Human Ecology,Assistant Professor,UC,Davis,6,https://humanecology.ucdavis.edu/sites/g/files/dgvnsk161/files/styles/sf_profile/public/images/person/crd_brinkley_catherine.jpg?h=74f1cb4c&itok=GNqZ7x9_
Peter,Hernes,Chemical Oceanography/Aqueous Biogeochemistry,"Land, Air and Water Resources",Full Professor,UC,Davis,6,http://internal.metro.ucdavis.edu/profiles/images/12-hernes.jpg
Moyar,Qing Ge,Immunology,Internal medicine,Post-Doctoral Scholar,UC,Davis,2,N\A
Prasant,Kumar Jena,Biotechnology,Pathology and Laboratory Medicine,Post-Doctoral Scholar,UC,Davis,,https://bat.bing.com/action/0?ti=134631932&tm=gtm002&Ver=2&mid=39d20327-bd96-4a86-bdf1-f829ec5c70f9&sid=241fcb50c45011ec92d7bfda94b746c7&vid=24200740c45011ecb7efdf473ba3b637&vids=1&pi=918639831&lg=en-US&sw=1280&sh=1024&sc=24&tl=Limits%20are%20exceeded%20%7C%20SignalHire&p=https%3A%2F%2Fwww.signalhire.com%2Fsorry%3Fcontinue%3Dhttps%253A%2F%2Fwww.signalhire.com%2Fprofiles%2Fprasant-kumar-jena%252527s-email%2F3475275&r=&lt=3191&evt=pageLoad&msclkid=N&sv=1&rn=51484
Ygal,Achmon,Biotechnology and Food Engineering,Food Science and Technology,Post-Doctoral Scholar,UC,Davis,,https://www.bftv.ucdavis.edu/sites/g/files/dgvnsk1346/files/styles/sf_profile/public/images/person/Ygal%20Achmon.jpeg?h=55541bb6&itok=XcmbMm2R
Elvira,de Lange,Chemical Ecology,Entomology and Nematology,Post-Doctoral Scholar,UC,Davis,1,N\A
Pamela,Reynolds,Biological Sciences (Ecology),Evolution and Ecology,Post-Doctoral Scholar,UC,Davis,2,N\A
Rose,Kagawa,Epidemiology,Emergency Medicine,Post-Doctoral Scholar,UC,Davis,5,https://poverty.ucdavis.edu/sites/main/files/imagecache/profile/main-images/kagawa.jpg?1621110608
Karen,LeGrand,Microbiology,International Programs,Post-Doctoral Scholar,UC,Davis,2,https://horticulture.ucdavis.edu/sites/g/files/dgvnsk1816/files/styles/profile_smaller/public/images/hort_person/karen-legrand-Cambodia-02-%28141%29-eds-crop-forWeb-600pw.jpg?itok=fxUek2sc
Patrick,Still,Medicinal Chemistry,Chemistry,Assistant Professor,CSU,Dominguez Hills,2,https://www.csudh.edu/Assets/csudh-sites/chemistry/images/faculty/patrick-still.jpg
Bin,Tang,Computer Science,Computer Science Department,Assistant Professor,CSU,Dominguez Hills,0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=z69VQMAAAAAJ&citpid=2
Philip,Vieira,Psychology,Psychology,Assistant Professor,CSU,Dominguez Hills,3,https://www.csudh.edu/Assets/csudh-sites/psychology/images/faculty/Philip-Vieira02.jpg
Karin,Kram,Microbiology,Biology,Assistant Professor,CSU,Dominguez Hills,2,https://www.csudh.edu/Assets/csudh-sites/biology/images/faculty-and-staff/karin-kram.jpg
Kathryn,Theiss,Ecology & Evolutionary Biology,Biology,Assistant Professor,CSU,Dominguez Hills,2,https://www.csudh.edu/Assets/csudh-sites/biology/images/faculty-and-staff/kathryn-theiss.jpg
Sarah,Lacy,Biological Anthropology,Anthropology,Assistant Professor,CSU,Dominguez Hills,1,https://www.csudh.edu/Assets/csudh-sites/anthropology/images/faculty/SLacy.jpg
Ximena,Cid,Physics,Physics,Assistant Professor,CSU,Dominguez Hills,5,https://357h4a1tedstsbee1xvf35r5-wpengine.netdna-ssl.com/wp-content/uploads/2020/02/XimenaCid027_News.jpg
Terry,McGlynn,Ecology and Evolutionary Biology,Biology,Full Professor,CSU,Dominguez Hills,5,https://www.csudh.edu/Assets/csudh-sites/biology/images/faculty-and-staff/terry-mcglynn.jpg
Chandra,Srinivasan,Chemistry,Graduate Studies and Research,Full Professor & Faculty Director for Research Development,CSU,Dominguez Hills,8,https://www.zoominfo.com/ge-assets/common/placeholders/2022_personPlaceholder_140_purplePink.svg
Ayona,Chatterjee,Phd in Statistics,Statistics and Biostatistics,Assistant Professor,CSU,East Bay,7,N\A
Nidhi,Khosla,Public Health,Department of Health Sciences,Assistant Professor,CSU,East Bay,2,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eWUrlrUAAAAJ&citpid=2
Arnab,Mukherjea,Public Health,Health Sciences,Assistant Professor,CSU,East Bay,5,https://www.csueastbay.edu/directory/profiles/files/images/nurs/arnab-mukherjea.jpg
Natalie,Ingraham,Sociology,Sociology,Assistant Professor,CSU,East Bay,2,https://www.csueastbay.edu/directory/profiles/files/images/soc/ingraham_smheadshot_sept19.jpg
Kathryn,Grimm,Physics,Physics,Assistant Professor,CSU,East Bay,1,https://www.zoominfo.com/ge-assets/common/placeholders/2022_personPlaceholder_140_purplePink.svg
Ryan,Smith,Physics,Physics,Assistant Professor,CSU,East Bay,2,https://www.csueastbay.edu/directory/profiles/files/images/phys/RPS-new.jpg
Fadi,Castronovo,PhD in Architectural Engineering,"School of Engineering, Construction Management Program",Assistant Professor,CSU,East Bay,4,https://www.calstate.edu/csu-system/why-the-csu-matters/graduation-initiative-2025/FILA/2020-21-awardees/PublishingImages/EastBay-Fadi-Castronovo.jpg
James,Murray,Zoology,Biological Sciences,Associate Professor,CSU,East Bay,4,https://www.csueastbay.edu/directory/profiles/files/images/biol/murray%202.jpg
Erik,Helgren,Physics,Dept. of Physics,Associate Professor,CSU,East Bay,3,https://www.csueastbay.edu/directory/profiles/vitae/phys/helgren-csueb-headshot-2018.jpg
Levent,Ertaul,Computer Science: Cyber Security,Computer Science,Full Professor,CSU,East Bay,5,https://www.csueastbay.edu/directory/profiles/files/images/cs/levent-ertaul.jpg
Steve,Chung,Statistics,Department of Mathematics,Assistant Professor,CSU,Fresno,7,https://csm.fresnostate.edu/math/images/faculty-photos/stevech.jpeg
Joshua,Reece,Ecology and Evolution,Biology,Assistant Professor,CSU,Fresno,4,https://colibri-ecology.com/wp-content/uploads/2020/08/joshua-reece.jpg
Hubert,Cecotti,Computer Science,Department of Computer Science,Assistant Professor,CSU,Fresno,5,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-zkcBXYAAAAJ&citpid=3
Chelsey,Juarez,Biological anthropology/ forensics,Anthropology,Assistant Professor,CSU,Fresno,5,https://socialsciences.fresnostate.edu/anthropology/images/faculty/ChelseyJuarezProfile.jpg
Cory,Brooks,Biochemistry,Chemistry,Assistant Professor,CSU,Fresno,4,N\A
David,Lent,Neuroscience,Biology,Associate Professor,CSU,Fresno,1,https://csm.fresnostate.edu/biology/images/faculty-staff/David%20Lent.jpg
Pei-Chun,Ho,Physics,Physics,Full Professor,CSU,Fresno,2,https://csm.fresnostate.edu/physics/images/Pei-ChunHo.JPG
Austin,Nation,Nursing,School of Nursing,Assistant Professor,CSU,Fullerton,4,https://news.fullerton.edu/app/uploads/2020/11/Austin-Nation-800x500.jpg
Alice,Lee,Epidemiology,Health Science,Assistant Professor,CSU,Fullerton,3,http://hhd.fullerton.edu/pubh/_resources/images/hhd/faculty/fulltimefaculty/leealice.jpg
Veronica,Jimenez,Biomedical Science,Biological Science,Assistant Professor,CSU,Fullerton,2,https://www.fullerton.edu/biology/_resources/images/fac_page_images/ortiz_vj.jpg
Maria Soledad,Ramirez,PhD,Biological Science,Assistant Professor,CSU,Fullerton,3,N\A
Parvin,Shahrestani,Biology,Biological Science,Assistant Professor,CSU,Fullerton,5,https://www.fullerton.edu/biology/_resources/images/fac_page_images/ShahrestaniParvin_Small.jpg
Gergana,Todorova,Organizational Behavior and Theory,Department of Management,Associate Professor,CSU,Fullerton,5,https://scholar.google.com/citations/images/avatar_scholar_128.png
Nikolas,Nikolaidis,Biology,Biological Science,Associate Professor,CSU,Fullerton,1,https://www.fullerton.edu/biology/_resources/images/fac_page_images/Nikolas_Nikolaidis.jpg
Madeline,Rasche,Biochemistry,Chemistry and Biochemistry,Full Professor,CSU,Fullerton,5,http://www.fullerton.edu/chemistry/_resources/images/faculty/Madeline-Rasche.JPG
CHARLES,LEE,MATHEMATICS,MATHEMATICS,Full Professor,CSU,Fullerton,5,https://media.homelight.com/uploads/agent/picture/1299467/normal_charles_lee_photo.jpg
Maria,Rendon,Sociology,Urban Planning and Public Policy,Assistant Professor,UC,Irvine,,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uF5PRRcAAAAJ&citpid=2
Heather,Crawford,Nuclear Chemistry,Nuclear Science Division,Assistant Researcher,UC,Lawrence Berkeley National Laboratory,1,https://www.ohio.edu/cas/sites/ohio.edu.cas/files/styles/max_650x650/public/2019-02/thumbnail.jpg?itok=QWxhF7Px
Jennifer,Soong,Ecology,Earth and Environmental Sciences,Post-Doctoral Scholar,UC,Lawrence Berkeley National Laboratory,3,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HKTdXtwAAAAJ&citpid=2
Hang,Deng,Civil and Environmental Engineering,Energy Geosciences Division,Full Researcher,UC,Lawrence Berkeley National Laboratory ,3,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XVHbv7YAAAAJ&citpid=1
Amber,Johnson,Community Health Education,Health Science,Assistant Professor,CSU,Long Beach,2,http://www.carpenterarts.org/sites/cpac/files/groups/carpenter-performing-arts-center/images-blog/blog_-_dr._amber_johnson.png
Belinda,Daughrity,Education with a specialization in Human Development and Psychology,Speech-Language Pathology,Assistant Professor,CSU,Long Beach,1,https://www.csulb.edu/sites/default/files/styles/profile_image/public/profile/belinda_daughrity_headshot.jpg?itok=c08qHpFz
Pitiporn,Asvapathanagul,Engineering,Civil Engineering and Construction Engineering Managment,Assistant Professor,CSU,Long Beach,1,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=STKQdgUAAAAJ&citpid=3
Suzie,Weng,Social Work,School of Social Work,Assistant Professor,CSU,Long Beach,4,https://www.csulb.edu/sites/default/files/styles/profile_image/public/profile/professionalphoto.jpg?itok=vgg93b0Q
Douglas,Pace,Marine Biology,Biological Sciences,Assistant Professor,CSU,Long Beach,2,https://scontent-sjc3-1.xx.fbcdn.net/v/t31.18172-1/12783613_569611029858174_5922857235628033158_o.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=107&ccb=1-5&_nc_sid=dbb9e7&_nc_ohc=KI8VgVTCQKgAX-Tblth&_nc_ht=scontent-sjc3-1.xx&oh=00_AT-GQEdzFMF4TjiJsOlcKpMCF5J9PVT_FOLah88k4fxiew&oe=628BE3AE
Virginia,Gray,Nutrition,Family and Consumer Sciences,Assistant Professor,CSU,Long Beach,10,https://www.csulb.edu/sites/default/files/styles/profile_image/public/profile/virginia_gray.jpg?itok=OE2uVfsu
Joshua,Cotter,Exercise Physiology,Kinesiology,Assistant Professor,CSU,Long Beach,11,https://www.csulb.edu/sites/default/files/groups/instructional-design/joshua-cotter.png
