First Name,Last Name,Face,Name,Truth
Pedro,Pascal,White,Latino_Hispanic,Latino_Hispanic
Bella,Ramsey,White,Black,White
Matilda,De Angelis,Middle Eastern,Latino_Hispanic,White
Rutina,Wesley,Black,Black,Black
Kathryn,Newton,White,White,White
Jonathan,Majors,Black,White,Black
Richard,Belzer,White,White,White
Annie,Wersching,White,White,White
Evangeline,Lilly,White,Black,White
Madelyn,Cline,Middle Eastern,White,White
Anna,Torv,White,White,White
Brendan,Fraser,White,White,White
Natasha,Lyonne,White,Black,White
Melanie,Lynskey,Middle Eastern,White,White
Cara,Delevingne,Middle Eastern,Black,White
Alexandra,Daddario,White,Latino_Hispanic,White
Jansen,Panettiere,Middle Eastern,White,White
Elizabeth,Banks,White,Black,White
Stella,Stevens,White,Black,White
Mia,Goth,Middle Eastern,White,White
Nico,Parker,Middle Eastern,White,White
Jeri,Ryan,Latino_Hispanic,White,White
Raquel,Welch,White,Latino_Hispanic,White
Alison,Brie,White,White,White
Tom,Sizemore,White,White,White
Brandon,Sklenar,Middle Eastern,White,White
Charlotte,Ritchie,White,Black,White
Jennifer Love,Hewitt,White,White,White
Ashley,Johnson,White,Black,White
Austin,Butler,White,Black,White
Cole,Hauser,White,White,White
Tom,Cruise,White,White,White
Isabel,May,White,Latino_Hispanic,White
Christa,Miller,White,White,White
Alexander,Skarsgard,Asian,White,White
Paulina,Gaitan,Middle Eastern,Latino_Hispanic,Latino_Hispanic
Margot,Robbie,White,White,White
Anya,Taylor-Joy,White,Black,White
Paul,Rudd,White,White,White
Michelle,Pfeiffer,White,White,White
Julia,Schlaepfer,White,White,White
Catherine,Haena Kim,Asian,Asian,Asian
Emily,Blunt,White,Black,White
Gabriel,Luna,Middle Eastern,Latino_Hispanic,Latino_Hispanic
Bridget,Regan,White,White,White
Joey,King,White,Black,White
Bruce,Willis,White,Black,White
Kelly,Reilly,White,White,White
Milo,Ventimiglia,White,White,White
Brad,Pitt,White,White,White
Ashley,Greene,White,Black,White
Murray,Bartlett,White,White,White
Billy,Crudup,White,Black,White
Leonardo,DiCaprio,White,Latino_Hispanic,White
Ashton,Kutcher,Middle Eastern,White,White
Samara,Weaving,Asian,White,White
Steven,Spielberg,White,White,White
Amanda,Plummer,Middle Eastern,White,White
Cate,Blanchett,White,Black,White
Harrison,Ford,Middle Eastern,Black,White
Nicolas,Cage,White,Black,White
Ana,de Armas,Middle Eastern,Latino_Hispanic,Latino_Hispanic
Reese,Witherspoon,White,Black,White
Lizzy,Caplan,White,White,White
Lashana,Lynch,Black,Black,Black
Victoria,Pedretti,White,Latino_Hispanic,White
Thuso,Mbedu,Black,Black,Black
Lukas,Gage,White,White,White
M.,Night Shyamalan,Asian,Asian,Asian
Penn,Badgley,White,White,White
Sadie,Sink,White,White,White
Jennifer,Connelly,White,White,White
Michelle,Yeoh,Asian,Asian,Asian
Colin,Farrell,Middle Eastern,White,White
Tom,Hanks,White,White,White
Henry,Cavill,White,White,White
Miles,Teller,White,White,White
Ray,Liotta,White,White,White
Sylvester,Stallone,Middle Eastern,Black,White
Lily,James,Middle Eastern,Black,White
Jennifer,Coolidge,White,White,White
Chase,Stokes,White,Black,White
Hong,Chau,Asian,Asian,Asian
Elizabeth,Lail,White,White,White
Sebastian,Stan,White,White,White
Jennifer,Lawrence,White,White,White
Sophie,Turner,White,Black,White
Riley,Keough,White,White,White
Emma,Watson,White,Black,White
Christian,Bale,White,Black,White
Dakota,Fanning,White,White,White
Haley,Lu Richardson,White,White,White
Stefanie,Martini,White,White,White
Emma,Mackey,White,Black,White
Melanie,Laurent,Asian,White,White
Christoph,Waltz,White,White,White
Sosie,Bacon,White,Black,White
Scout,Taylor-Compton,Middle Eastern,White,White
Michael,B. Jordan,Black,White,Black
Todd,Stashwick,Middle Eastern,White,White
Hayden,Panettiere,White,White,White
Cherry,Jones,White,Black,White
Gerard,Butler,White,Black,White
Jessica,Williams,Latino_Hispanic,Black,Black
Ellen,Barkin,White,White,White
Daniel,Radcliffe,Middle Eastern,White,White
Harry,Melling,White,White,White
Andrea,Savage,White,White,White
Denzel,Washington,Black,Black,Black
Ryan,Reynolds,White,White,White
Adam,Driver,White,White,White
Christina,Ricci,White,White,White
Tommi,Rose,White,White,White
Karen,Gillan,White,White,White
Brie,Larson,White,White,White
Sandra,Bullock,White,White,White
Emilia,Jones,White,Black,White
Helen,Mirren,White,White,White
Julianne,Moore,White,Black,White
Timothee,Chalamet,White,Black,White
Kelly,Macdonald,White,White,White
Tracy,Spiridakos,White,White,White
Juno,Temple,White,Black,White
Paul,Mescal,White,White,White
Holliday,Grainger,White,White,White
Brianne,Howey,White,White,White
Kevin,Costner,White,White,White
Tamzin,Merchant,White,Asian,White
Ben,Barnes,Middle Eastern,Black,White
Viola,Davis,Black,Black,Black
Lauren,Ash,White,White,White
Jason,Statham,White,White,White
Mary,Elizabeth Winstead,White,White,White
Luke,Grimes,White,White,White
Jay,Hernandez,Middle Eastern,Latino_Hispanic,Latino_Hispanic
Elizabeth,Debicki,White,White,White
Molly,Ringwald,White,White,White
Ke,Huy Quan,White,Asian,Asian
Mel,Gibson,Middle Eastern,Black,White
Liam,Neeson,Middle Eastern,White,White
Charlbi,Dean,White,Black,White
Linda,Cardellini,White,White,White
Bonnie,Somerville,White,Black,White
Scarlett,Johansson,White,White,White
Chloe,Grace Moretz,White,Latino_Hispanic,White
Lupita,Nyong'o,Black,Black,Black
Allison,Williams,Middle Eastern,Black,White
Quentin,Tarantino,White,White,White
Matthew,McConaughey,White,White,White
John,Travolta,White,White,White
Taron,Egerton,White,White,White
Isabelle,Fuhrman,White,White,White
Michael,Keaton,White,White,White
