First Name,Last Name,Image,School,Source
Michael I.,Jordan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yxUduqMAAAAJ&citpid=10,UC Berkeley,https://scholar.google.com/citations?hl=en&user=yxUduqMAAAAJ
Lotfi A.,Zadeh,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=S6H-0RAAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=S6H-0RAAAAAJ
George,Lakoff,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KEU0vpcAAAAJ&citpid=4,UC Berkeley,https://scholar.google.com/citations?hl=en&user=KEU0vpcAAAAJ
Heather,Gray,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=fTv_TKMAAAAJ
Leo Breiman,1928-2005,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mXSv_1UAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=mXSv_1UAAAAJ
Tsu-Jae,,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=SdBYB0wAAAAJ
Trevor,Darrell,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bh-uRFMAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=bh-uRFMAAAAJ
Omar M.,Yaghi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Sczy43gAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=Sczy43gAAAAJ
Jitendra,MALIK,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aOklxsQAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=aOklxsQAAAAJ
David J.,TEECE,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qIIT8eYAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=qIIT8eYAAAAJ
Peidong,Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3XzcVwEAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=3XzcVwEAAAAJ
Alexei V.,FILIPPENKO,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=dTpeWooAAAAJ
Paul,Alivisatos,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uzbKuXAAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=uzbKuXAAAAAJ
Bruce N.,AMES,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=vrIb4nkAAAAJ
John W.,Taylor,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bMK_K2cAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=bMK_K2cAAAAJ
Christina,Maslach,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=s5MnLWcAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=s5MnLWcAAAAJ
Scott,Shenker,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=GUAoEcAAAAAJ
Ion,Stoica,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=vN-is70AAAAJ
Pieter,Abbeel,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vtwH6GkAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=vtwH6GkAAAAJ
Martin,HEAD-GORDON,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=9Z52tZ4AAAAJ
Jean,Frechet,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cJ2B_K0AAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=cJ2B_K0AAAAJ
Loïc,Wacquant,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=6oyaJnoAAAAJ
Oliver P.,JOHN,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Berkeley,https://scholar.google.com/citations?hl=en&user=Iin2LSIAAAAJ
Sergey,Levine,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8R35rCwAAAAJ&citpid=5,UC Berkeley,https://scholar.google.com/citations?hl=en&user=8R35rCwAAAAJ
Steven G.,Louie,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=m0u9N18AAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=m0u9N18AAAAJ
Alexei A.,Efros,N/A,UC Berkeley,https://scholar.google.com/citations?hl=en&user=d97bGd8AAAAJ
Jennifer,Doudna,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YO5XSXwAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=YO5XSXwAAAAJ
David,Patterson,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Wj4ZBFIAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=Wj4ZBFIAAAAJ
Michael B.,Eisen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=z2foFg4AAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=z2foFg4AAAAJ
