First Name,Last Name,Image,School,Source
Robert C.,Feenstra,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gxU_g7UAAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=gxU_g7UAAAAJ
Stephen,Kowalczykowski,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=8Z2GuOEAAAAJ
Ellen,Gold,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=wmw7ZqEAAAAJ
MA,Matthews,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=gc3znjEAAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=gc3znjEAAAAJ
Heike,Wulff,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=eYTg0jwAAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=eYTg0jwAAAAJ
TM,Caro,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=lYoP6AkAAAAJ
Peter,Yellowlees,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=ngs81fUAAAAJ
George R,Thompson,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=4_OYcHMAAAAJ&citpid=5,UC Davis,https://scholar.google.com/citations?hl=en&user=4_OYcHMAAAAJ
Peter,Richerson,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=JuUGLo-w4LMC&citpid=3,UC Davis,https://scholar.google.com/citations?hl=en&user=JuUGLo-w4LMC
Steven J,Luck,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=vlTXmTgAAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=vlTXmTgAAAAJ
James,Trimmer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Vj1rhSoAAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=Vj1rhSoAAAAJ
David M.,Rocke,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=u4jTBywAAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=u4jTBywAAAAJ
Ruihong,Zhang,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=clW37CIAAAAJ
Jason,Eiserich,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=v_eixwoAAAAJ
Graham,Coop,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-YuigiwAAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=-YuigiwAAAAJ
Luis,Guarnizo,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=PASfvhMAAAAJ
Albert,Schwarz,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=dNDRI8cAAAAJ
James A.,Doyle,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=koFps_4AAAAJ
Xi,Chen,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=OBzRsJ8AAAAJ
Markus,Luty,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=nqbnRIgAAAAJ
Deborah,Delmer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=im8_jscAAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=im8_jscAAAAJ
Davide,Donadio,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ECAwg64AAAAJ&citpid=4,UC Davis,https://scholar.google.com/citations?hl=en&user=ECAwg64AAAAJ
dan,gusfield,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=VoAHydgAAAAJ
Blake C.,Meyers,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=5hd_tmMAAAAJ&citpid=4,UC Davis,https://scholar.google.com/citations?hl=en&user=5hd_tmMAAAAJ
Ted,Powers,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=VMSDrYIAAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=VMSDrYIAAAAJ
David,Hessl,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=a7JQt4MAAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=a7JQt4MAAAAJ
Michael,Turelli,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=BYmt6AYAAAAJ&citpid=12,UC Davis,https://scholar.google.com/citations?hl=en&user=BYmt6AYAAAAJ
Richard,Bostock,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=n9bffg0AAAAJ
Judy,Stamps,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=X6enZRwAAAAJ
Paul,Hastings,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=9cMeUO0AAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=9cMeUO0AAAAJ
Carl,Keen,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=62HjrOsAAAAJ
Peter,Havel,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=RlzfEO8AAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=RlzfEO8AAAAJ
Nicholas,Mitsiades,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=NgV8n_wAAAAJ&citpid=4,UC Davis,https://scholar.google.com/citations?hl=en&user=NgV8n_wAAAAJ
Sean R.,Collins,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-fxI3cUAAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=-fxI3cUAAAAJ
Monique Borgerhoff,Mulder,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=1dMUw-sAAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=1dMUw-sAAAAJ
Jerry,Woodall,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DGiCcqUAAAAJ&citpid=3,UC Davis,https://scholar.google.com/citations?hl=en&user=DGiCcqUAAAAJ
J. Clark,Lagarias,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=th--KvkAAAAJ&citpid=3,UC Davis,https://scholar.google.com/citations?hl=en&user=th--KvkAAAAJ
Kate,Scow,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Oe_CdBwAAAAJ&citpid=3,UC Davis,https://scholar.google.com/citations?hl=en&user=Oe_CdBwAAAAJ
Frank,Sharp,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=vmCUW3UAAAAJ&citpid=3,UC Davis,https://scholar.google.com/citations?hl=en&user=vmCUW3UAAAAJ
Gerald,Quon,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=7p61OCsAAAAJ&citpid=5,UC Davis,https://scholar.google.com/citations?hl=en&user=7p61OCsAAAAJ
Frank,Osterloh,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=v2PVWCwAAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=v2PVWCwAAAAJ
Susan,Kauzlarich,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=PjUl5I8AAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=PjUl5I8AAAAJ
Jeroen,saeij,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=6QM1ANkAAAAJ&citpid=3,UC Davis,https://scholar.google.com/citations?hl=en&user=6QM1ANkAAAAJ
Douglas,Cook,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=wBh7lL0AAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=wBh7lL0AAAAJ
Terry,Jones,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=jlNygi0AAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=jlNygi0AAAAJ
Jeremy,Chien,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=TDQrOtYAAAAJ
Stephen P.,Cramer,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=EL7yG2EAAAAJ
Bart C,Weimer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=_BegzMEAAAAJ&citpid=3,UC Davis,https://scholar.google.com/citations?hl=en&user=_BegzMEAAAAJ
Dipak,Ghosal,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Pjjq5SQAAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=Pjjq5SQAAAAJ
Yong,Duan,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=ORo3KQ0AAAAJ
Randolph,Siverson,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=vAe0-i8AAAAJ
Michael,Carter,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=u4iRQEMAAAAJ&citpid=3,UC Davis,https://scholar.google.com/citations?hl=en&user=u4iRQEMAAAAJ
Irwin,Feinberg,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=j8sMDvkAAAAJ
"Diana L. Miglioretti,",PhD,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=upm9iNcAAAAJ&citpid=4,UC Davis,https://scholar.google.com/citations?hl=en&user=upm9iNcAAAAJ
Matt,Franklin,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Davis,https://scholar.google.com/citations?hl=en&user=D6ptFeMAAAAJ
Stephen M,Howell,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=i1FKtUYAAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=i1FKtUYAAAAJ
"Paul A. Sieving, MD,",PhD,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=TxHMa08AAAAJ&citpid=2,UC Davis,https://scholar.google.com/citations?hl=en&user=TxHMa08AAAAJ
Kit S.,Lam,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=XFMx174AAAAJ&citpid=1,UC Davis,https://scholar.google.com/citations?hl=en&user=XFMx174AAAAJ
Marcel,Holyoak,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=HmZZwgkAAAAJ&citpid=4,UC Davis,https://scholar.google.com/citations?hl=en&user=HmZZwgkAAAAJ
