First Name,Last Name,Image,School,Source
Kieron,Burke,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=NNwQAegAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=NNwQAegAAAAJ
Jacquelynne Sue,Eccles,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=29P7l7IAAAAJ
David,Kirkby,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0I9IvhQAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=0I9IvhQAAAAJ
Terence,Libeiro,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=61zWgPkAAAAJ&citpid=1,UC Irvine,https://scholar.google.com/citations?hl=en&user=61zWgPkAAAAJ
Nathan D.,Wong,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=docEt1QAAAAJ&citpid=1,UC Irvine,https://scholar.google.com/citations?hl=en&user=docEt1QAAAAJ
Carl,Cotman,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eFZd08wAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=eFZd08wAAAAJ
Juan Pedro Ochoa,Ricoux,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VK3CaEoAAAAJ&citpid=1,UC Irvine,https://scholar.google.com/citations?hl=en&user=VK3CaEoAAAAJ
Alexander C,Berg,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jjEht8wAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=jjEht8wAAAAJ
Greg J.,Duncan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Hg2FyqkAAAAJ&citpid=3,UC Irvine,https://scholar.google.com/citations?hl=en&user=Hg2FyqkAAAAJ
Kamyar,Kalantar-Zadeh,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kYonxxoAAAAJ&citpid=6,UC Irvine,https://scholar.google.com/citations?hl=en&user=kYonxxoAAAAJ
David,Freeborn,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fZ5O9VsAAAAJ&citpid=1,UC Irvine,https://scholar.google.com/citations?hl=en&user=fZ5O9VsAAAAJ
Cameron S.,Carter,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TefcLpgAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=TefcLpgAAAAJ
Elizabeth F.,Loftus,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZNoHqr8AAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=ZNoHqr8AAAAJ
Jonathan Lee,Feng,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=1Qf2vMQAAAAJ
john c,avise,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HBgEJU0AAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=HBgEJU0AAAAJ
James,Swanson,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=NTRIXJMAAAAJ
Paolo,Sassone-Corsi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TwRylasAAAAJ&citpid=4,UC Irvine,https://scholar.google.com/citations?hl=en&user=TwRylasAAAAJ
Wei,Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7IUCbE4AAAAJ&citpid=5,UC Irvine,https://scholar.google.com/citations?hl=en&user=7IUCbE4AAAAJ
Simona,Murgia,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=hvU25zgAAAAJ
Pierre,Baldi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RhFhIIgAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=RhFhIIgAAAAJ
Ali,Mortazavi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BIvoTCoAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=BIvoTCoAAAAJ
"Dalton, Russell",J.,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ncGk-e8AAAAJ&citpid=5,UC Irvine,https://scholar.google.com/citations?hl=en&user=ncGk-e8AAAAJ
James,Randerson,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ves-iZUAAAAJ&citpid=5,UC Irvine,https://scholar.google.com/citations?hl=en&user=ves-iZUAAAAJ
Linton C,Freeman,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=quiVMg8AAAAJ
Padhraic,Smyth,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OsoQ-dcAAAAJ&citpid=3,UC Irvine,https://scholar.google.com/citations?hl=en&user=OsoQ-dcAAAAJ
Enrico,Gratton,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=Pb-ZWXEAAAAJ
Daniele,Piomelli,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c0v1zcoAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=c0v1zcoAAAAJ
Charles,Ragin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SOqTLE4AAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=SOqTLE4AAAAJ
"Marquis P. Vawter, MA, MSEd,",PhD,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=fm2-ggsAAAAJ&citpid=22,UC Irvine,https://scholar.google.com/citations?hl=en&user=fm2-ggsAAAAJ
Rubén G.,Rumbaut,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=laF6r2QAAAAJ&citpid=11,UC Irvine,https://scholar.google.com/citations?hl=en&user=laF6r2QAAAAJ
soroosh,sorooshian,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=G1FxEFIAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=G1FxEFIAAAAJ
Frank,LaFerla,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=T5cnRA8AAAAJ&citpid=1,UC Irvine,https://scholar.google.com/citations?hl=en&user=T5cnRA8AAAAJ
Asantha,Cooray,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JdPtbhEAAAAJ&citpid=5,UC Irvine,https://scholar.google.com/citations?hl=en&user=JdPtbhEAAAAJ
