First Name,Last Name,Image,School,Source
Hrant P.,Hratchian,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Merced,https://scholar.google.com/citations?hl=en&user=fI2ahzoAAAAJ
Ming-Hsuan,Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=p9-ohHsAAAAJ&citpid=2,UC Merced,https://scholar.google.com/citations?hl=en&user=p9-ohHsAAAAJ
YangQuan,Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RDEIRbcAAAAJ&citpid=5,UC Merced,https://scholar.google.com/citations?hl=en&user=RDEIRbcAAAAJ
Martin,Hagger,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-5rAFa8AAAAJ&citpid=7,UC Merced,https://scholar.google.com/citations?hl=en&user=-5rAFa8AAAAJ
Stephen C.,Hart,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xSS59UwAAAAJ&citpid=3,UC Merced,https://scholar.google.com/citations?hl=en&user=xSS59UwAAAAJ
John,Abatzoglou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=S1J4kAoAAAAJ&citpid=5,UC Merced,https://scholar.google.com/citations?hl=en&user=S1J4kAoAAAAJ
Chris T.,Amemiya,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Mfj7GQMAAAAJ&citpid=2,UC Merced,https://scholar.google.com/citations?hl=en&user=Mfj7GQMAAAAJ
Paul P.,Maglio,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xXlMjAMAAAAJ&citpid=3,UC Merced,https://scholar.google.com/citations?hl=en&user=xXlMjAMAAAAJ
Samuel,Traina,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Merced,https://scholar.google.com/citations?hl=en&user=aq6acN0AAAAJ
Michael J.,Spivey,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_e-p2usAAAAJ&citpid=5,UC Merced,https://scholar.google.com/citations?hl=en&user=_e-p2usAAAAJ
Linda D.,Cameron,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Merced,https://scholar.google.com/citations?hl=en&user=Fdw0fGQAAAAJ
Michael,Modest,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=doZM2U8AAAAJ&citpid=3,UC Merced,https://scholar.google.com/citations?hl=en&user=doZM2U8AAAAJ
Gillian,Wilson,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tDI1c1wAAAAJ&citpid=4,UC Merced,https://scholar.google.com/citations?hl=en&user=tDI1c1wAAAAJ
Ashlie,Martini,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AY9FAuoAAAAJ&citpid=3,UC Merced,https://scholar.google.com/citations?hl=en&user=AY9FAuoAAAAJ
Roger,Bales,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=S2cxf2IAAAAJ&citpid=1,UC Merced,https://scholar.google.com/citations?hl=en&user=S2cxf2IAAAAJ
