First Name,Last Name,Image,School,Source
Stephen,Wimpenny,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ozTaAdQAAAAJ&citpid=1,UC Riverside,https://scholar.google.com/citations?hl=en&user=ozTaAdQAAAAJ
Bruce,Link,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sXiisW8AAAAJ&citpid=4,UC Riverside,https://scholar.google.com/citations?hl=en&user=sXiisW8AAAAJ
Yadong,Yin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DP4CI2oAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=DP4CI2oAAAAJ
Robert C.,Haddon,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9P3Vsp0AAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=9P3Vsp0AAAAJ
Sonja,Lyubomirsky,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CNFj4ZsAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=CNFj4ZsAAAAJ
Eamonn,Keogh,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=slVcOQIAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=slVcOQIAAAAJ
Seyyed Mohammad Amin Ghiasi,Shirazi,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Riverside,https://scholar.google.com/citations?hl=en&user=STwmGP0AAAAJ
Richard,Hollis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ewilyd4AAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=ewilyd4AAAAJ
Bahram,Mobasher,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Riverside,https://scholar.google.com/citations?hl=en&user=UOSBjQMAAAAJ
Hua,Wei,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CweF0c0AAAAJ&citpid=1,UC Riverside,https://scholar.google.com/citations?hl=en&user=CweF0c0AAAAJ
Wei,Ren,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c4lfArMAAAAJ&citpid=3,UC Riverside,https://scholar.google.com/citations?hl=en&user=c4lfArMAAAAJ
Hongliang,Liu,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=_EfZ0OsAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=_EfZ0OsAAAAJ
Keith,Widaman,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fYDPihYAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=fYDPihYAAAAJ
Keith,Widaman,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=46alO_kAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=46alO_kAAAAJ
Charles,Wyman,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-j_dTxgAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=-j_dTxgAAAAJ
Adam,Godzik,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Riverside,https://scholar.google.com/citations?hl=en&user=0Z7TdsQAAAAJ
Kenneth N.,Barish,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Riverside,https://scholar.google.com/citations?hl=en&user=rxu2OdMAAAAJ
Jiri,Simunek,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ONLhP1gAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=ONLhP1gAAAAJ
"Theodore Garland,",Jr.,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iSSbrhwAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=iSSbrhwAAAAJ
Timothy W.,Lyons,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LbUrIMgAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=LbUrIMgAAAAJ
Peter j.,Burke,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=V1gM_lyrx1wC&citpid=4,UC Riverside,https://scholar.google.com/citations?hl=en&user=V1gM_lyrx1wC
Kambiz,Vafai,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Im0bFJkAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=Im0bFJkAAAAJ
Tara J,Yosso,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xgZclr0AAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=xgZclr0AAAAJ
Derek,Roff,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xQlXXWQAAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=xQlXXWQAAAAJ
Pingyun,Feng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SnL5Og4AAAAJ&citpid=2,UC Riverside,https://scholar.google.com/citations?hl=en&user=SnL5Og4AAAAJ
David,Funder,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Riverside,https://scholar.google.com/citations?hl=en&user=2uHulzMAAAAJ
Susan R,Wessler,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SNJ_HCwAAAAJ&citpid=1,UC Riverside,https://scholar.google.com/citations?hl=en&user=SNJ_HCwAAAAJ
xiaoping hu; xiao-ping hu; xp hu; xp hu; xiao ping hu; x hu; xiaoping p.,hu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OlOZit0AAAAJ&citpid=1,UC Riverside,https://scholar.google.com/citations?hl=en&user=OlOZit0AAAAJ
Naveen,Reddy,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Riverside,https://scholar.google.com/citations?hl=en&user=Ca3ZhoIAAAAJ
