First Name,Last Name,Image,School,Source
Alan,Heeger,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tvQY9iIAAAAJ&citpid=2,UCSB,https://scholar.google.com/citations?hl=en&user=tvQY9iIAAAAJ
Richard E,Mayer,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=o5doXYoAAAAJ&citpid=2,UCSB,https://scholar.google.com/citations?hl=en&user=o5doXYoAAAAJ
Galen,Stucky,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=9t14TKcAAAAJ
Jacob,Israelachvili,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3logIuYAAAAJ&citpid=2,UCSB,https://scholar.google.com/citations?hl=en&user=3logIuYAAAAJ
Craig,Hawker,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OFK9qZUAAAAJ&citpid=1,UCSB,https://scholar.google.com/citations?hl=en&user=OFK9qZUAAAAJ
Steven,DenBaars,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=CO1qY8cAAAAJ
Ulascan,Sarica,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8m8PFhQAAAAJ&citpid=1,UCSB,https://scholar.google.com/citations?hl=en&user=8m8PFhQAAAAJ
Chris G. Van de,Walle,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jY5B7zkAAAAJ&citpid=3,UCSB,https://scholar.google.com/citations?hl=en&user=jY5B7zkAAAAJ
Jim,Speck,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uzJoSagAAAAJ&citpid=1,UCSB,https://scholar.google.com/citations?hl=en&user=uzJoSagAAAAJ
Umesh,Mishra,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=VM1Htp0AAAAJ
John,Bowers,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c6rbVa0AAAAJ&citpid=1,UCSB,https://scholar.google.com/citations?hl=en&user=c6rbVa0AAAAJ
Benjamin S.,Halpern,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=6XVuz14AAAAJ
Tao,Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gEMiMt0AAAAJ&citpid=4,UCSB,https://scholar.google.com/citations?hl=en&user=gEMiMt0AAAAJ
John,Tooby,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=jI4LFvoAAAAJ
Petar,Kokotovic,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qbhPjsoAAAAJ&citpid=17,UCSB,https://scholar.google.com/citations?hl=en&user=qbhPjsoAAAAJ
Michael S.,Gazzaniga,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jpVab-AAAAAJ&citpid=3,UCSB,https://scholar.google.com/citations?hl=en&user=jpVab-AAAAAJ
Bernard,Comrie,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DM6X8pEAAAAJ&citpid=3,UCSB,https://scholar.google.com/citations?hl=en&user=DM6X8pEAAAAJ
David,Gross,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=kCLMkbAAAAAJ
Glenn H.,Fredrickson,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=agR85S4AAAAJ&citpid=2,UCSB,https://scholar.google.com/citations?hl=en&user=agR85S4AAAAJ
Elizabeth,Belding,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3G79TTEAAAAJ&citpid=4,UCSB,https://scholar.google.com/citations?hl=en&user=3G79TTEAAAAJ
Brenda,Major,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=w-qGKzgAAAAJ
Kenneth S.,Kosik,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4jg-_CUAAAAJ&citpid=2,UCSB,https://scholar.google.com/citations?hl=en&user=4jg-_CUAAAAJ
Scott,Grafton,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=WGBW2z8AAAAJ
Paul,Hansma,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=h60tPQkAAAAJ&citpid=3,UCSB,https://scholar.google.com/citations?hl=en&user=h60tPQkAAAAJ
Scott Grafton,MD,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7yJze9oAAAAJ&citpid=2,UCSB,https://scholar.google.com/citations?hl=en&user=7yJze9oAAAAJ
Joao,Hespanha,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AsT__tUAAAAJ&citpid=1,UCSB,https://scholar.google.com/citations?hl=en&user=AsT__tUAAAAJ
Matthew PA,Fisher,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=E1D80tUAAAAJ
Carla Marie,D'Antonio,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCSB,https://scholar.google.com/citations?hl=en&user=qYym6p0AAAAJ
