First Name,Last Name,Image,School,Source
Matthew,Gignac,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kSnr1dYAAAAJ&citpid=1,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=kSnr1dYAAAAJ
Daniel,Friedman,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=sjjjZ8kAAAAJ&citpid=1,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=sjjjZ8kAAAAJ
Katherine,Isbister,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ui_kg8gAAAAJ&citpid=8,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=ui_kg8gAAAAJ
Chongying,Dong,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=gX6IpHgAAAAJ
Carrie,Partch,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=45EC-IMAAAAJ&citpid=2,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=45EC-IMAAAAJ
Gail,Hershatter,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=9fDqgVYAAAAJ
David,Lederman,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=t6KDAgYAAAAJ&citpid=3,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=t6KDAgYAAAAJ
Erika,Zavaleta,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=z7e5YcIAAAAJ&citpid=4,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=z7e5YcIAAAAJ
Ben,Crow,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=uYgsQ5sAAAAJ
Nicholas,Brummell,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Santa Cruz,https://scholar.google.com/citations?hl=en&user=PWf2qiAAAAAJ
