First Name,Last Name,Image,School,Source
Guido,Frank,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=X2KGfmsAAAAJ
Zoltan,Hajnal,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=w7Z2OGUAAAAJ
Megan,Hopkins,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=13dWaqQAAAAJ&citpid=1,UC San Diego,https://scholar.google.com/citations?hl=en&user=13dWaqQAAAAJ
Thomas,Csordas,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=eM16X6IAAAAJ
glass,ck,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=DgyRgEUAAAAJ
Alan R,Saltiel,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=WOImyGgAAAAJ
Gordon,McCord,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=mYJp0HcAAAAJ
Robert,Reasenberg,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=JEA24tkAAAAJ
Gene Yeo PhD,MBA,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=6D8iNc0AAAAJ&citpid=3,UC San Diego,https://scholar.google.com/citations?hl=en&user=6D8iNc0AAAAJ
Arnaud,Delorme,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Wmxh4LkAAAAJ&citpid=3,UC San Diego,https://scholar.google.com/citations?hl=en&user=Wmxh4LkAAAAJ
Lawrence R,Frank,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=7JhSyqcAAAAJ
Sutanu,Sarkar,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=tjpDrQkAAAAJ
Dan,Kaufman,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=NwMCbwoAAAAJ
Jyoti,Mishra,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ZUFLEBIAAAAJ&citpid=1,UC San Diego,https://scholar.google.com/citations?hl=en&user=ZUFLEBIAAAAJ
Christopher,Mathews,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC San Diego,https://scholar.google.com/citations?hl=en&user=uAXAEpYAAAAJ
Lesley,Ellies,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=dFFmSHAAAAAJ&citpid=3,UC San Diego,https://scholar.google.com/citations?hl=en&user=dFFmSHAAAAAJ
Mai Thi,Nguyen,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=zpYl8EcAAAAJ&citpid=3,UC San Diego,https://scholar.google.com/citations?hl=en&user=zpYl8EcAAAAJ
Pamela K.,Smith,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=xBjFc5wAAAAJ&citpid=3,UC San Diego,https://scholar.google.com/citations?hl=en&user=xBjFc5wAAAAJ
Adam J.,Burgasser,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=2H08ubAAAAAJ&citpid=2,UC San Diego,https://scholar.google.com/citations?hl=en&user=2H08ubAAAAAJ
