Name,Ethnicity
Pedro Pascal,Chilean
Bella Ramsey,White
Matilda De Angelis,White, 1
Rutina Wesley,Black
Kathryn Newton,White
Jonathan Majors,Black
Richard Belzer,White
Annie Wersching,White
Evangeline Lilly,White
Katy M. O'Brian,White/African American, 1
Madelyn Cline,White, 1
Anna Torv,White
Brendan Fraser,White
Natasha Lyonne,White
Melanie Lynskey,White, 1
Cara Delevingne,White
Alexandra Daddario,White
Jansen Panettiere,White, 1
Elizabeth Banks,White
Stella Stevens,White
Mia Goth,White, 1
Nico Parker,White, 1
Jeri Ryan,White, 1
Raquel Welch,White
Alison Brie,White
Tom Sizemore,White
Brandon Sklenar,White, 1
Charlotte Ritchie,White
Jennifer Love Hewitt,White
Ashley Johnson,White
Austin Butler,White
Cole Hauser,White
Tom Cruise,White
Isabel May,White
Christa Miller,White
Alexander Skarsgard,White, 1
Paulina Gaitan, Latino_Hispanic, 1
Margot Robbie,White
Anya Taylor-Joy,White
Paul Rudd,White
Michelle Pfeiffer,White
Julia Schlaepfer,White
Catherine Haena Kim,Asian
Emily Blunt,White
Gabriel Luna,Mexican, 1
Bridget Regan,White
Joey King,White
Bruce Willis,White
Kelly Reilly,White
Milo Ventimiglia,White
Dichen Lachman,Biracial
Brad Pitt,White
Graham Greene,American Indian, 1
Ashley Greene,White
Murray Bartlett,White
Billy Crudup,White
Leonardo DiCaprio,White
Ashton Kutcher,White, 1
Samara Weaving,White, 1
Steven Spielberg,White
Amanda Plummer,White, 1
Cate Blanchett,White
Aubrey Plaza,Biracial, 1
Harrison Ford,White, 1
Nicolas Cage,White
Ana de Armas,Cuban, 1
Reese Witherspoon,White
Lizzy Caplan,White
Lashana Lynch,Black
Victoria Pedretti,White
Thuso Mbedu,Black
Lukas Gage,White
M. Night Shyamalan,Indian
Penn Badgley,White
Sadie Sink,White
Jennifer Connelly,White
Michelle Yeoh,Chinese
Colin Farrell,White, 1
Tom Hanks,White
Henry Cavill,White
Miles Teller,White
Ray Liotta,White
Keanu Reeves,Biracial, 1
Zoe Chao,Biracial, 1
Sylvester Stallone,White, 1
Lily James,French, 1
Jennifer Coolidge,White
Chase Stokes,White
Hong Chau,Vietnamese
Elizabeth Lail,White
Sebastian Stan,White
Jennifer Lawrence,White
Sophie Turner,White
Riley Keough,White
Jeffrey Pierce,Biracial, 1
Emma Watson,White
Victoria Justice,Biracial
Christian Bale,White
Sofia Boutella,Algerian, 2
Dakota Fanning,White
Haley Lu Richardson,White
Stefanie Martini,White
Emma Mackey,White
Melanie Laurent,White, 1
Christoph Waltz,White
Sosie Bacon,White
Scout Taylor-Compton,White, 1
Michael B. Jordan,Black
Todd Stashwick,White, 1
Hayden Panettiere,White
Cherry Jones,White
Gerard Butler,White
Jesse Williams,Biracial
Jessica Williams,Black, 1
Ellen Barkin,White
Daniel Radcliffe,White, 1
Harry Melling,White
Dwayne Johnson,Biracial, 1
Hannah John-Kamen,Biracial, 1
Andrea Savage,White
Denzel Washington,Black
Ryan Reynolds,White
Adam Driver,White
Christina Ricci,White
Tommi Rose,White
Karen Gillan,White
Brie Larson,White
Sandra Bullock,White
Emilia Jones,White
Helen Mirren,White
Julianne Moore,White
Timothee Chalamet,White
Kelly Macdonald,White
Tracy Spiridakos,Greek
Juno Temple,White
Paul Mescal,White
Holliday Grainger,White
Brianne Howey,White
Kevin Costner,White
Tamzin Merchant,White
Ben Barnes,White, 1
Viola Davis,Black
Lauren Ash,White
Kelsey Asbille,Biracial, 1
Jason Statham,White
Mary Elizabeth Winstead,White
Luke Grimes,White
Jay Hernandez,Mexican, 1
Elizabeth Debicki,White
Karla Crome,Biracial, 2
Molly Ringwald,White
Ke Huy Quan,Hoa, 1
Mel Gibson,White, 1
Liam Neeson,White, 1
Charlbi Dean,Afrikaner
Linda Cardellini,White
Bonnie Somerville,White
Scarlett Johansson,White
Chloe Grace Moretz,White
Lupita Nyong'o,Luo, 2
Allison Williams,White, 1
Quentin Tarantino,White
Elaine Miles,Other, 3
Matthew McConaughey,White
John Travolta,White
Taron Egerton,White
Isabelle Fuhrman,White
Michael Keaton,White
Kate Winslet,White, 1
James Norton,White
Carrie Coon,White
Robert Downey Jr.,White
Ryan Gosling,White
Mark Wahlberg,White
Alison Pill,White
Tom Burke,White
Dave Bautista,Filipino, 1
Katheryn Winnick,White
Emma Thompson,White
Steve Zahn,White
Johnny Depp,White, 1
Justine Bateman,White
Lauren Ambrose,White
Guy Ritchie,White
Drew Barrymore,White
Darren Aronofsky,White
Emilia Clarke,White
Amie Donald,White
Ben Affleck,White
Jonah Hill,White
Andrea Riseborough,White
Adam Sandler,White
Val Kilmer,White
Bryce Dallas Howard,White
Robert De Niro,White
Orlando Bloom,White
Brittany Snow,White
Zoe Saldana,Dominican, 1
Madison Bailey,Biracial, 1
Tig Notaro,White
Salma Hayek,Latino_Hispanic, 1
Jessica Chastain,White
Maiara Walsh,Biracial, 2
Channing Tatum,White
Theo James,Greek, 1
Britt Robertson,White, 1
Diane Morgan,White
Keira Knightley,White
Troy Baker,White
Amy Adams,White
Julian Sands,White
Gemma Arterton,White
Michelle Monaghan,White
Emma Fuhrmann,White
Emma Myers,White, 1
Will Smith,Black
Ralph Fiennes,White
Erika Christensen,White
Orla Brady,White
Tessa Thompson,Biracial, 2
Gates McFadden,Biracial, 2
Elodie Yung,Biracial, 1
Olivia Wilde,White
David Harbour,White, 1
Travis Fimmel,White
Michael Shannon,White
Michael Douglas,White
Olivia Rodrigo,Filipino, 1
Russell Crowe,Welsh, 1
Ophelia Lovibond,White
Matt Damon,White
Elizabeth Olsen,White
Glen Powell,White
Monica Bellucci,White
Eva Green,White
Marie-Josee Croze,White
Natalie Portman,White
Monica Barbaro,White, 1
Bellamy Young,White
Catherine Zeta-Jones,White, 1
Sherrie Rose,White, 1
Emma Stone,White
Jake Gyllenhaal,White, 1
Justice Smith, Biracial, 1
Bryan Cranston,White
Anne Hathaway,White
Ginnifer Goodwin,White
Angela Bassett,Black, 1
Rose Williams,White
Martin Scorsese,White
Jason Segel,White
Rachel McAdams,White
Kaitlyn Dever,White, 1
Lauren London,Biracial, 1
Sarah Shahi,Biracial, 2
Adrianne Palicki,White, 1
William Fichtner,White
Mila Kunis,White, 1
Tati Gabrielle,Biracial, 2
Al Pacino,White, 1
Charlize Theron,Afrikaner
Brittany O'Grady,Biracial, 1
Iliza Shlesinger,White
Christopher Nolan,Danish
Thandiwe Newton,Biracial, 1
Michael Rady,White
Carla Gugino,White
Alicia Vikander,Swedish
Dawn Olivieri,White, 1
Kate Mulvany,White
Julie Strain,White
Brendan Gleeson,White, 1
Damien Chazelle,White, 1
Timothy Olyphant,White
Annabelle Wallis,White
Megan Fox,White
Alan Rickman,White
Michelle Randolph,White
Wagner Moura,Brazilian, 1
Anna Paquin,White
Olivia Cooke,White
Chris Pine,White
Paolina van Kleef,White
Michelle Williams,White
Melissa McCarthy,White
Abby Ryder Fortson,White
Rihanna,Biracial, 2
Zachary Levi,White
Zendaya,Biracial, 1
Rupert Grint,White
Anna Kendrick,White
Zoey Deutch,White, 1
James Spader,White, 1
Joe Manganiello,White, 1
Wendie Malick,Egyptian
Alden Ehrenreich,White, 1
Gwendoline Christie,Scottish
Storm Reid,Black, 1
Nathalie Emmanuel,White, 1
Eden Sher,White
Hope Davis,Welsh
April Bowlby,White
