First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
Precious,Achiuwa,,,,,,,./Cropping/NBA Automated Photos/Precious_Achiuwa.jpg
Steven,Adams,,,,,,,./Cropping/NBA Automated Photos/Steven_Adams.jpg
Bam,Adebayo,,,,,,,./Cropping/NBA Automated Photos/Bam_Adebayo.jpg
Ochai,Agbaji,,,,,,,./Cropping/NBA Automated Photos/Ochai_Agbaji.jpg
Santi,Aldama,,,,,,,./Cropping/NBA Automated Photos/Santi_Aldama.jpg
Nickeil,Alexander-Walker,,,,,,,./Cropping/NBA Automated Photos/Nickeil_Alexander-Walker.jpg
Grayson,Allen,,,,,,,./Cropping/NBA Automated Photos/Grayson_Allen.jpg
Jarrett,Allen,,,,,,,./Cropping/NBA Automated Photos/Jarrett_Allen.jpg
Jose,Alvarado,,,,,,,./Cropping/NBA Automated Photos/Jose_Alvarado.jpg
Kyle,Anderson,,,,,,,./Cropping/NBA Automated Photos/Kyle_Anderson.jpg
Giannis,Antetokounmpo,,,,,,,./Cropping/NBA Automated Photos/Giannis_Antetokounmpo.jpg
Thanasis,Antetokounmpo,,,,,,,./Cropping/NBA Automated Photos/Thanasis_Antetokounmpo.jpg
Cole,Anthony,,,,,,,./Cropping/NBA Automated Photos/Cole_Anthony.jpg
O.G.,Anunoby,,,,,,,./Cropping/NBA Automated Photos/O.G._Anunoby.jpg
Ryan,Arcidiacono,,,,,,,./Cropping/NBA Automated Photos/Ryan_Arcidiacono.jpg
Deni,Avdija,,,,,,,./Cropping/NBA Automated Photos/Deni_Avdija.jpg
Deandre,Ayton,,,,,,,./Cropping/NBA Automated Photos/Deandre_Ayton.jpg
Udoka,Azubuike,,,,,,,./Cropping/NBA Automated Photos/Udoka_Azubuike.jpg
Ibou,Badji,,,,,,,./Cropping/NBA Automated Photos/Ibou_Badji.jpg
Marvin,Bagley III,,,,,,,./Cropping/NBA Automated Photos/Marvin_Bagley III.jpg
Patrick,Baldwin Jr.,,,,,,,./Cropping/NBA Automated Photos/Patrick_Baldwin Jr..jpg
LaMelo,Ball,,,,,,,./Cropping/NBA Automated Photos/LaMelo_Ball.jpg
Lonzo,Ball,,,,,,,./Cropping/NBA Automated Photos/Lonzo_Ball.jpg
Mo,Bamba,,,,,,,./Cropping/NBA Automated Photos/Mo_Bamba.jpg
Paolo,Banchero,,,,,,,./Cropping/NBA Automated Photos/Paolo_Banchero.jpg
Desmond,Bane,,,,,,,./Cropping/NBA Automated Photos/Desmond_Bane.jpg
Dalano,Banton,,,,,,,./Cropping/NBA Automated Photos/Dalano_Banton.jpg
Dominick,Barlow,,,,,,,./Cropping/NBA Automated Photos/Dominick_Barlow.jpg
Harrison,Barnes,,,,,,,./Cropping/NBA Automated Photos/Harrison_Barnes.jpg
Scottie,Barnes,,,,,,,./Cropping/NBA Automated Photos/Scottie_Barnes.jpg
RJ,Barrett,,,,,,,./Cropping/NBA Automated Photos/RJ_Barrett.jpg
Will,Barton,,,,,,,./Cropping/NBA Automated Photos/Will_Barton.jpg
Charles,Bassey,,,,,,,./Cropping/NBA Automated Photos/Charles_Bassey.jpg
Keita,Bates-Diop,,,,,,,./Cropping/NBA Automated Photos/Keita_Bates-Diop.jpg
Nicolas,Batum,,,,,,,./Cropping/NBA Automated Photos/Nicolas_Batum.jpg
Darius,Bazley,,,,,,,./Cropping/NBA Automated Photos/Darius_Bazley.jpg
Bradley,Beal,,,,,,,./Cropping/NBA Automated Photos/Bradley_Beal.jpg
Malik,Beasley,,,,,,,./Cropping/NBA Automated Photos/Malik_Beasley.jpg
MarJon,Beauchamp,,,,,,,./Cropping/NBA Automated Photos/MarJon_Beauchamp.jpg
Davis,Bertans,,,,,,,./Cropping/NBA Automated Photos/Davis_Bertans.jpg
Patrick,Beverley,,,,,,,./Cropping/NBA Automated Photos/Patrick_Beverley.jpg
Saddiq,Bey,,,,,,,./Cropping/NBA Automated Photos/Saddiq_Bey.jpg
Khem,Birch,,,,,,,./Cropping/NBA Automated Photos/Khem_Birch.jpg
Goga,Bitadze,,,,,,,./Cropping/NBA Automated Photos/Goga_Bitadze.jpg
Bismack,Biyombo,,,,,,,./Cropping/NBA Automated Photos/Bismack_Biyombo.jpg
Buddy,Boeheim,,,,,,,./Cropping/NBA Automated Photos/Buddy_Boeheim.jpg
Bogdan,Bogdanovic,,,,,,,./Cropping/NBA Automated Photos/Bogdan_Bogdanovic.jpg
Bojan,Bogdanovic,,,,,,,./Cropping/NBA Automated Photos/Bojan_Bogdanovic.jpg
Bol,Bol,,,,,,,./Cropping/NBA Automated Photos/Bol_Bol.jpg
Leandro,Bolmaro,,,,,,,./Cropping/NBA Automated Photos/Leandro_Bolmaro.jpg
Devin,Booker,,,,,,,./Cropping/NBA Automated Photos/Devin_Booker.jpg
Brandon,Boston Jr.,,,,,,,./Cropping/NBA Automated Photos/Brandon_Boston Jr..jpg
Chris,Boucher,,,,,,,./Cropping/NBA Automated Photos/Chris_Boucher.jpg
James,Bouknight,,,,,,,./Cropping/NBA Automated Photos/James_Bouknight.jpg
Jamaree,Bouyea,,,,,,,./Cropping/NBA Automated Photos/Jamaree_Bouyea.jpg
Tony,Bradley,,,,,,,./Cropping/NBA Automated Photos/Tony_Bradley.jpg
Malaki,Branham,,,,,,,./Cropping/NBA Automated Photos/Malaki_Branham.jpg
Christian,Braun,,,,,,,./Cropping/NBA Automated Photos/Christian_Braun.jpg
Mikal,Bridges,,,,,,,./Cropping/NBA Automated Photos/Mikal_Bridges.jpg
Oshae,Brissett,,,,,,,./Cropping/NBA Automated Photos/Oshae_Brissett.jpg
Malcolm,Brogdon,,,,,,,./Cropping/NBA Automated Photos/Malcolm_Brogdon.jpg
Dillon,Brooks,,,,,,,./Cropping/NBA Automated Photos/Dillon_Brooks.jpg
Bruce,Brown,,,,,,,./Cropping/NBA Automated Photos/Bruce_Brown.jpg
Jaylen,Brown,,,,,,,./Cropping/NBA Automated Photos/Jaylen_Brown.jpg
Kendall,Brown,,,,,,,./Cropping/NBA Automated Photos/Kendall_Brown.jpg
Moses,Brown,,,,,,,./Cropping/NBA Automated Photos/Moses_Brown.jpg
Sterling,Brown,,,,,,,./Cropping/NBA Automated Photos/Sterling_Brown.jpg
Greg,Brown III,,,,,,,./Cropping/NBA Automated Photos/Greg_Brown III.jpg
Troy,Brown Jr.,,,,,,,./Cropping/NBA Automated Photos/Troy_Brown Jr..jpg
Jalen,Brunson,,,,,,,./Cropping/NBA Automated Photos/Jalen_Brunson.jpg
Thomas,Bryant,,,,,,,./Cropping/NBA Automated Photos/Thomas_Bryant.jpg
Reggie,Bullock,,,,,,,./Cropping/NBA Automated Photos/Reggie_Bullock.jpg
Alec,Burks,,,,,,,./Cropping/NBA Automated Photos/Alec_Burks.jpg
Deonte,Burton,,,,,,,./Cropping/NBA Automated Photos/Deonte_Burton.jpg
Jared,Butler,,,,,,,./Cropping/NBA Automated Photos/Jared_Butler.jpg
Jimmy,Butler,,,,,,,./Cropping/NBA Automated Photos/Jimmy_Butler.jpg
John,Butler Jr.,,,,,,,./Cropping/NBA Automated Photos/John_Butler Jr..jpg
Jamal,Cain,,,,,,,./Cropping/NBA Automated Photos/Jamal_Cain.jpg
Kentavious,Caldwell-Pope,,,,,,,./Cropping/NBA Automated Photos/Kentavious_Caldwell-Pope.jpg
Facundo,Campazzo,,,,,,,./Cropping/NBA Automated Photos/Facundo_Campazzo.jpg
Vlatko,Cancar,,,,,,,./Cropping/NBA Automated Photos/Vlatko_Cancar.jpg
Clint,Capela,,,,,,,./Cropping/NBA Automated Photos/Clint_Capela.jpg
Vernon,Carey Jr.,,,,,,,./Cropping/NBA Automated Photos/Vernon_Carey Jr..jpg
Jevon,Carter,,,,,,,./Cropping/NBA Automated Photos/Jevon_Carter.jpg
Wendell,Carter Jr.,,,,,,,./Cropping/NBA Automated Photos/Wendell_Carter Jr..jpg
Michael,Carter-Williams,,,,,,,./Cropping/NBA Automated Photos/Michael_Carter-Williams.jpg
Alex,Caruso,,,,,,,./Cropping/NBA Automated Photos/Alex_Caruso.jpg
Julian,Champagnie,,,,,,,./Cropping/NBA Automated Photos/Julian_Champagnie.jpg
Justin,Champagnie,,,,,,,./Cropping/NBA Automated Photos/Justin_Champagnie.jpg
Kennedy,Chandler,,,,,,,./Cropping/NBA Automated Photos/Kennedy_Chandler.jpg
Max,Christie,,,,,,,./Cropping/NBA Automated Photos/Max_Christie.jpg
Josh,Christopher,,,,,,,./Cropping/NBA Automated Photos/Josh_Christopher.jpg
Brandon,Clarke,,,,,,,./Cropping/NBA Automated Photos/Brandon_Clarke.jpg
Jordan,Clarkson,,,,,,,./Cropping/NBA Automated Photos/Jordan_Clarkson.jpg
Nic,Claxton,,,,,,,./Cropping/NBA Automated Photos/Nic_Claxton.jpg
Amir,Coffey,,,,,,,./Cropping/NBA Automated Photos/Amir_Coffey.jpg
John,Collins,,,,,,,./Cropping/NBA Automated Photos/John_Collins.jpg
Zach,Collins,,,,,,,./Cropping/NBA Automated Photos/Zach_Collins.jpg
Mike,Conley,,,,,,,./Cropping/NBA Automated Photos/Mike_Conley.jpg
Pat,Connaughton,,,,,,,./Cropping/NBA Automated Photos/Pat_Connaughton.jpg
Robert,Covington,,,,,,,./Cropping/NBA Automated Photos/Robert_Covington.jpg
Torrey,Craig,,,,,,,./Cropping/NBA Automated Photos/Torrey_Craig.jpg
Jae,Crowder,,,,,,,./Cropping/NBA Automated Photos/Jae_Crowder.jpg
Jarrett,Culver,,,,,,,./Cropping/NBA Automated Photos/Jarrett_Culver.jpg
Cade,Cunningham,,,,,,,./Cropping/NBA Automated Photos/Cade_Cunningham.jpg
Seth,Curry,,,,,,,./Cropping/NBA Automated Photos/Seth_Curry.jpg
Stephen,Curry,,,,,,,./Cropping/NBA Automated Photos/Stephen_Curry.jpg
Dyson,Daniels,,,,,,,./Cropping/NBA Automated Photos/Dyson_Daniels.jpg
Anthony,Davis,,,,,,,./Cropping/NBA Automated Photos/Anthony_Davis.jpg
Johnny,Davis,,,,,,,./Cropping/NBA Automated Photos/Johnny_Davis.jpg
Terence,Davis,,,,,,,./Cropping/NBA Automated Photos/Terence_Davis.jpg
JD,Davison,,,,,,,./Cropping/NBA Automated Photos/JD_Davison.jpg
Darius,Days,,,,,,,./Cropping/NBA Automated Photos/Darius_Days.jpg
DeMar,DeRozan,,,,,,,./Cropping/NBA Automated Photos/DeMar_DeRozan.jpg
Dewayne,Dedmon,,,,,,,./Cropping/NBA Automated Photos/Dewayne_Dedmon.jpg
Matthew,Dellavedova,,,,,,,./Cropping/NBA Automated Photos/Matthew_Dellavedova.jpg
Donte,DiVincenzo,,,,,,,./Cropping/NBA Automated Photos/Donte_DiVincenzo.jpg
Moussa,Diabate,,,,,,,./Cropping/NBA Automated Photos/Moussa_Diabate.jpg
Mamadi,Diakite,,,,,,,./Cropping/NBA Automated Photos/Mamadi_Diakite.jpg
Hamidou,Diallo,,,,,,,./Cropping/NBA Automated Photos/Hamidou_Diallo.jpg
Gorgui,Dieng,,,,,,,./Cropping/NBA Automated Photos/Gorgui_Dieng.jpg
Ousmane,Dieng,,,,,,,./Cropping/NBA Automated Photos/Ousmane_Dieng.jpg
Spencer,Dinwiddie,,,,,,,./Cropping/NBA Automated Photos/Spencer_Dinwiddie.jpg
Luka,Doncic,,,,,,,./Cropping/NBA Automated Photos/Luka_Doncic.jpg
Tyler,Dorsey,,,,,,,./Cropping/NBA Automated Photos/Tyler_Dorsey.jpg
Luguentz,Dort,,,,,,,./Cropping/NBA Automated Photos/Luguentz_Dort.jpg
Ayo,Dosunmu,,,,,,,./Cropping/NBA Automated Photos/Ayo_Dosunmu.jpg
Devon,Dotson,,,,,,,./Cropping/NBA Automated Photos/Devon_Dotson.jpg
Jeff,Dowtin Jr.,,,,,,,./Cropping/NBA Automated Photos/Jeff_Dowtin Jr..jpg
PJ,Dozier,,,,,,,./Cropping/NBA Automated Photos/PJ_Dozier.jpg
Goran,Dragic,,,,,,,./Cropping/NBA Automated Photos/Goran_Dragic.jpg
Andre,Drummond,,,,,,,./Cropping/NBA Automated Photos/Andre_Drummond.jpg
Chris,Duarte,,,,,,,./Cropping/NBA Automated Photos/Chris_Duarte.jpg
David,Duke Jr.,,,,,,,./Cropping/NBA Automated Photos/David_Duke Jr..jpg
Kris,Dunn,,,,,,,./Cropping/NBA Automated Photos/Kris_Dunn.jpg
Kevin,Durant,,,,,,,./Cropping/NBA Automated Photos/Kevin_Durant.jpg
Jalen,Duren,,,,,,,./Cropping/NBA Automated Photos/Jalen_Duren.jpg
Tari,Eason,,,,,,,./Cropping/NBA Automated Photos/Tari_Eason.jpg
Anthony,Edwards,,,,,,,./Cropping/NBA Automated Photos/Anthony_Edwards.jpg
Kessler,Edwards,,,,,,,./Cropping/NBA Automated Photos/Kessler_Edwards.jpg
Keon,Ellis,,,,,,,./Cropping/NBA Automated Photos/Keon_Ellis.jpg
Joel,Embiid,,,,,,,./Cropping/NBA Automated Photos/Joel_Embiid.jpg
Drew,Eubanks,,,,,,,./Cropping/NBA Automated Photos/Drew_Eubanks.jpg
Bruno,Fernando,,,,,,,./Cropping/NBA Automated Photos/Bruno_Fernando.jpg
Dorian,Finney-Smith,,,,,,,./Cropping/NBA Automated Photos/Dorian_Finney-Smith.jpg
Malachi,Flynn,,,,,,,./Cropping/NBA Automated Photos/Malachi_Flynn.jpg
Simone,Fontecchio,,,,,,,./Cropping/NBA Automated Photos/Simone_Fontecchio.jpg
Bryn,Forbes,,,,,,,./Cropping/NBA Automated Photos/Bryn_Forbes.jpg
Trent,Forrest,,,,,,,./Cropping/NBA Automated Photos/Trent_Forrest.jpg
Michael,Foster Jr.,,,,,,,./Cropping/NBA Automated Photos/Michael_Foster Jr..jpg
Evan,Fournier,,,,,,,./Cropping/NBA Automated Photos/Evan_Fournier.jpg
De'Aaron,Fox,,,,,,,./Cropping/NBA Automated Photos/De'Aaron_Fox.jpg
Markelle,Fultz,,,,,,,./Cropping/NBA Automated Photos/Markelle_Fultz.jpg
Wenyen,Gabriel,,,,,,,./Cropping/NBA Automated Photos/Wenyen_Gabriel.jpg
Daniel,Gafford,,,,,,,./Cropping/NBA Automated Photos/Daniel_Gafford.jpg
Danilo,Gallinari,,,,,,,./Cropping/NBA Automated Photos/Danilo_Gallinari.jpg
Darius,Garland,,,,,,,./Cropping/NBA Automated Photos/Darius_Garland.jpg
