First Name,Last Name,Highest Prob. Score
Precious,Achiuwa,Black
Steven,Adams,Black
Bam,Adebayo,Black
Ochai,Agbaji,Asian
Santi,Aldama,Other
Nickeil,Alexander-Walker,Black
Grayson,Allen,White
Jarrett,Allen,Black
Jose,Alvarado,Other
Kyle,Anderson,White
Giannis,Antetokounmpo,Other
Thanasis,Antetokounmpo,Asian
Cole,Anthony,Black
O.G.,Anunoby,Asian
Ryan,Arcidiacono,White
Deni,Avdija,White
Deandre,Ayton,Black
Udoka,Azubuike,Black
Ibou,Badji,Black
Marvin,Bagley III,White
Patrick,Baldwin Jr.,Black
LaMelo,Ball,Black
Lonzo,Ball,Black
Mo,Bamba,Black
Paolo,Banchero,Other
Desmond,Bane,Black
Dalano,Banton,Black
Dominick,Barlow,Black
Harrison,Barnes,Black
Scottie,Barnes,Black
RJ,Barrett,Black
Will,Barton,Black
Charles,Bassey,Black
Keita,Bates-Diop,Black
Nicolas,Batum,White
Darius,Bazley,Black
Bradley,Beal,White
Malik,Beasley,Black
MarJon,Beauchamp,White
Davis,Bertans,White
Patrick,Beverley,Black
Saddiq,Bey,Asian
Khem,Birch,White
Goga,Bitadze,White
Bismack,Biyombo,Black
Buddy,Boeheim,White
Bogdan,Bogdanovic,White
Bojan,Bogdanovic,White
Bol,Bol,Asian
Leandro,Bolmaro,Other
Devin,Booker,Black
Brandon,Boston Jr.,Black
Chris,Boucher,White
James,Bouknight,Black
Jamaree,Bouyea,Black
Tony,Bradley,Black
Malaki,Branham,Black
Christian,Braun,White
Mikal,Bridges,White
Oshae,Brissett,Black
Malcolm,Brogdon,Black
Dillon,Brooks,Black
Bruce,Brown,Black
Jaylen,Brown,Black
Kendall,Brown,Black
Moses,Brown,Black
Sterling,Brown,Black
Greg,Brown III,White
Troy,Brown Jr.,Black
Jalen,Brunson,Black
Thomas,Bryant,White
Reggie,Bullock,Black
Alec,Burks,Black
Deonte,Burton,Black
Jared,Butler,White
Jimmy,Butler,Black
John,Butler Jr.,White
Jamal,Cain,White
Kentavious,Caldwell-Pope,Black
Facundo,Campazzo,Other
Vlatko,Cancar,White
Clint,Capela,Black
Vernon,Carey Jr.,Black
Jevon,Carter,Black
Wendell,Carter Jr.,Black
Michael,Carter-Williams,Black
Alex,Caruso,Other
Julian,Champagnie,Black
Justin,Champagnie,Black
Kennedy,Chandler,Black
Max,Christie,White
Josh,Christopher,White
Brandon,Clarke,Black
Jordan,Clarkson,White
Nic,Claxton,Black
Amir,Coffey,White
John,Collins,White
Zach,Collins,White
Mike,Conley,Black
Pat,Connaughton,White
Robert,Covington,Black
Torrey,Craig,Black
Jae,Crowder,Asian
Jarrett,Culver,White
Cade,Cunningham,Black
Seth,Curry,Black
Stephen,Curry,Black
Dyson,Daniels,Black
Anthony,Davis,Black
Johnny,Davis,Black
Terence,Davis,Black
JD,Davison,Black
Darius,Days,Black
DeMar,DeRozan,White
Dewayne,Dedmon,Black
Matthew,Dellavedova,White
Donte,DiVincenzo,White
Moussa,Diabate,Black
Mamadi,Diakite,Black
Hamidou,Diallo,Black
Gorgui,Dieng,Black
Ousmane,Dieng,Black
Spencer,Dinwiddie,Black
Luka,Doncic,White
Tyler,Dorsey,Black
Luguentz,Dort,Black
Ayo,Dosunmu,Black
Devon,Dotson,Black
Jeff,Dowtin Jr.,White
PJ,Dozier,Black
Goran,Dragic,White
Andre,Drummond,Black
Chris,Duarte,Other
David,Duke Jr.,White
Kris,Dunn,White
Kevin,Durant,Black
Jalen,Duren,White
Tari,Eason,Black
Anthony,Edwards,Black
Kessler,Edwards,Black
Keon,Ellis,Black
Joel,Embiid,Black
Drew,Eubanks,White
Bruno,Fernando,Other
Dorian,Finney-Smith,Black
Malachi,Flynn,Black
Simone,Fontecchio,White
Bryn,Forbes,White
Trent,Forrest,Black
Michael,Foster Jr.,White
Evan,Fournier,White
De'Aaron,Fox,Black
Markelle,Fultz,White
Wenyen,Gabriel,Asian
Daniel,Gafford,White
Danilo,Gallinari,Asian
Darius,Garland,Black
Usman,Garuba,Asian
Luka,Garza,Other
Rudy,Gay,Black
Paul,George,White
Taj,Gibson,Black
Josh,Giddey,White
Shai,Gilgeous-Alexander,White
Anthony,Gill,Black
Collin,Gillespie,Black
Rudy,Gobert,Black
Jordan,Goodwin,White
Aaron,Gordon,Black
Eric,Gordon,Black
Devonte',Graham,Black
Jerami,Grant,Black
AJ,Green,Black
Danny,Green,Black
Draymond,Green,Black
JaMychal,Green,Black
Jalen,Green,Black
Javonte,Green,Black
Jeff,Green,Black
Josh,Green,Black
AJ,Griffin,Black
Blake,Griffin,White
Quentin,Grimes,Black
Rui,Hachimura,Asian
Tyrese,Haliburton,Black
Jordan,Hall,White
R.J.,Hampton,Black
Tim,Hardaway Jr.,White
James,Harden,Black
Jaden,Hardy,Black
Ron,Harper Jr.,Black
Montrezl,Harrell,Black
Gary,Harris,Black
Joe,Harris,Black
Kevon,Harris,Black
Tobias,Harris,Black
Josh,Hart,White
Isaiah,Hartenstein,White
Udonis,Haslem,Black
Sam,Hauser,White
Jaxson,Hayes,Black
Killian,Hayes,Black
Gordon,Hayward,White
Juancho,Hernangomez,Other
Willy,Hernangomez,Other
Tyler,Herro,White
Buddy,Hield,White
Haywood,Highsmith,Black
George,Hill,Black
Malcolm,Hill,Black
Aaron,Holiday,Black
Jrue,Holiday,Black
Justin,Holiday,Black
Richaun,Holmes,Black
Chet,Holmgren,White
Al,Horford,Black
Talen,Horton-Tucker,White
Danuel,House Jr.,Black
Caleb,Houstan,White
Trevor,Hudgins,Black
Kevin,Huerter,White
Jay,Huff,White
De'Andre,Hunter,Black
Bones,Hyland,White
Serge,Ibaka,Black
Andre,Iguodala,Black
Joe,Ingles,Other
Brandon,Ingram,Black
Kyrie,Irving,Black
Jonathan,Isaac,White
Jaden,Ivey,Black
Frank,Jackson,Black
Isaiah,Jackson,Black
Justin,Jackson,Black
