First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
Precious,Achiuwa,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png
Steven,Adams,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/203500.png
Bam,Adebayo,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
Ochai,Agbaji,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630534.png
Santi,Aldama,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630583.png
Nickeil,Alexander-Walker,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png
Grayson,Allen,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628960.png
Jarrett,Allen,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628386.png
Jose,Alvarado,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630631.png
Kyle,Anderson,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/203937.png
Giannis,Antetokounmpo,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
Thanasis,Antetokounmpo,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/203648.png
Cole,Anthony,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630175.png
O.G.,Anunoby,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628384.png
Ryan,Arcidiacono,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1627853.png
D.J.,Augustin,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/201571.png
Deni,Avdija,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png
Deandre,Ayton,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png
Udoka,Azubuike,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628962.png
Ibou,Badji,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630641.png
Marvin,Bagley III,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628963.png
Patrick,Baldwin Jr.,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631116.png
LaMelo,Ball,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png
Lonzo,Ball,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628366.png
Mo,Bamba,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628964.png
Paolo,Banchero,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png
Desmond,Bane,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630217.png
Dalano,Banton,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630625.png
Dominick,Barlow,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631230.png
Harrison,Barnes,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/203084.png
Scottie,Barnes,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png
RJ,Barrett,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629628.png
Will,Barton,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/203115.png
Charles,Bassey,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629646.png
Keita,Bates-Diop,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628966.png
Nicolas,Batum,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/201587.png
Darius,Bazley,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629647.png
Bradley,Beal,,,,,,,https://cdn.nba.com/headshots/nba/latest/1040x760/203078.png
