First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
johannes,thingnes,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/johannes_thingnes.jpg
alexander,bolshunov,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/alexander_bolshunov.jpg
marte,olsbu,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/marte_olsbu.jpg
irene,schouten,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/irene_schouten.jpg
therese,johaug,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/therese_johaug.jpg
quentin,fillon,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/quentin_fillon.jpg
suzanne,schulting,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/suzanne_schulting.jpg
johannes,hoesflot,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/johannes_hoesflot.jpg
tarjei,boe,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/tarjei_boe.jpg
johannes,strolz,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/johannes_strolz.jpg
joergen,graabak,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/joergen_graabak.jpg
ailing,eileen,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/ailing_eileen.jpg
nils,van,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/nils_van.jpg
tobias,arlt,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/tobias_arlt.jpg
johannes,ludwig,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/johannes_ludwig.jpg
natalie,geisenberger,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/natalie_geisenberger.jpg
tobias,wendl,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/tobias_wendl.jpg
thorsten,margis,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/thorsten_margis.jpg
francesco,friedrich,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/francesco_friedrich.jpg
lindsey,jacobellis,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/lindsey_jacobellis.jpg
ursa,bogataj,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/ursa_bogataj.jpg
miho,takagi,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/miho_takagi.jpg
arianna,fontana,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/arianna_fontana.jpg
minjeong,choi,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/minjeong_choi.jpg
elvira,oeberg,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/elvira_oeberg.jpg
iivo,niskanen,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/iivo_niskanen.jpg
isabelle,weidemann,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/isabelle_weidemann.jpg
jonna,sundling,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/jonna_sundling.jpg
steven,dubois,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/steven_dubois.jpg
tiril,eckhoff,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/tiril_eckhoff.jpg
natalia,nepryaeva,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/natalia_nepryaeva.jpg
victoria,sinitsina,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/victoria_sinitsina.jpg
