First Name,Last Name,Face,Name,Truth
Caeleb,Dressel,White,White,White
Emma,Mckeon,White,White,White
Kaylee,Mckeown,White,White,White
Elaine,Thompson-herah,Black,Black,Black
Lisa,Carrington,White,Black,White
San,An,Asian,Asian,Asian
Katie,Ledecky,White,White,White
Yufei,Zhang,Asian,Asian,Asian
Ariarne,Titmus,White,White,White
Vitalina,Batsarashkina,White,White,White
Daiki,Hashimoto,Asian,Asian,Asian
Adam,Peaty,White,White,White
Evgeny,Rylov,Other,White,White
Sifan,Hassan,Black,Asian,Black
Yui,Ohashi,Asian,Asian,Asian
Sofia,Pozdniakova,White,White,White
Svetlana,Kolesnichenko,White,White,White
Qian,Yang,Asian,Asian,Asian
Sydney,Mclaughlin,Asian,Black,Black
Robert,Finke,White,White,White
Athing,Mu,Black,Asian,Black
Tingmao,Shi,Asian,Asian,Asian
Lamont,Marcell,Other,Black,White
Long,Ma,Asian,Asian,Asian
Meng,Chen,Asian,Asian,Asian
Clarisse,Agbegnenou,Black,Black,Black
Svetlana,Romashina,White,White,White
Je,Deok,Asian,Asian,Asian
Sunisa,Lee,Asian,Asian,Asian
Ryan,Murphy,White,White,White
Mima,Ito,Asian,Asian,Asian
Andre,De,Black,Black,Other
Margaret,Mac,Asian,White,Asian
Joshua,Kiprui,Black,Black,Black
Akira,Sone,Asian,Asian,Asian
Sofiya,Velikaya,White,White,White
Rai,Benjamin,Black,Black,Black
Yuan,Cao,Asian,Asian,Asian
Rebeca,Andrade,Black,Other,Other
Hifumi,Abe,Asian,Asian,Asian
Dalilah,Muhammad,Black,Asian,Black
Inna,Deriglazova,White,White,White
Jason,Kenny,White,White,White
Kristof,Kristof,Other,White,White
Uta,Abe,Asian,Asian,Asian
Takanori,Nagase,Asian,Asian,Asian
Laura,Kenny,White,White,White
Xin,Xu,Asian,Asian,Asian
Isabell,Werth,White,White,White
Zhendong,Fan,Asian,Asian,Asian
Belinda,Bencic,White,White,White
Aaron,Wolf,Asian,White,White
Shohei,Ono,Asian,Asian,Asian
Shelly-ann,Fraser-pryce,Black,Black,Black
Denis,Ablyazin,White,White,White
Brianna,Throssell,White,White,White
Shericka,Jackson,Black,Black,Black
Nikita,Nagornyy,White,White,White
Angelina,Melnikova,White,White,White
Larisa,Korobeynikova,Asian,White,White
Jessica,Fox,White,White,White
Emily,Seebohm,White,White,White
Jingyuan,Zou,Asian,Asian,Asian
Thomas,Daley,White,White,White
Danuta,Kozak,White,White,White
Izaac,Stubblety-cook,White,White,White
Aron,Szilagyi,Other,White,White
Madison,Wilson,White,Black,White
Teddy,Riner,Black,White,Black
Allyson,Felix,Black,Other,Black
David,Belyavskiy,White,White,White
Bakhodir,Jalolov,Asian,White,White
Soufiane,Elbakkali,White,White,Other
Chase,Kalisz,White,White,White
Italo,Ferreira,Other,Other,Other
Ryutaro,Umeno,Asian,Asian,Asian
Kahena,Kunze,White,White,White
Jeahwan,Shin,Asian,Asian,Asian
Vladislav,Larin,Other,White,White
