First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
caeleb,dressel,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/caeleb_dressel.jpg
emma,mckeon,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/emma_mckeon.jpg
kaylee,mckeown,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/kaylee_mckeown.jpg
elaine,thompson-herah,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/elaine_thompson-herah.jpg
lisa,carrington,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/lisa_carrington.jpg
san,an,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/san_an.jpg
katie,ledecky,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/katie_ledecky.jpg
yufei,zhang,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/yufei_zhang.jpg
ariarne,titmus,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/ariarne_titmus.jpg
vitalina,batsarashkina,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/vitalina_batsarashkina.jpg
daiki,hashimoto,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/daiki_hashimoto.jpg
adam,peaty,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/adam_peaty.jpg
evgeny,rylov,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/evgeny_rylov.jpg
sifan,hassan,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/sifan_hassan.jpg
yui,ohashi,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/yui_ohashi.jpg
sofia,pozdniakova,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/sofia_pozdniakova.jpg
svetlana,kolesnichenko,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/svetlana_kolesnichenko.jpg
qian,yang,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/qian_yang.jpg
sydney,mclaughlin,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/sydney_mclaughlin.jpg
robert,finke,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/robert_finke.jpg
athing,mu,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/athing_mu.jpg
tingmao,shi,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/tingmao_shi.jpg
lamont,marcell,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/lamont_marcell.jpg
long,ma,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/long_ma.jpg
meng,chen,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/meng_chen.jpg
clarisse,agbegnenou,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/clarisse_agbegnenou.jpg
svetlana,romashina,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/svetlana_romashina.jpg
je,deok,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/je_deok.jpg
sunisa,lee,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/sunisa_lee.jpg
ryan,murphy,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/ryan_murphy.jpg
mima,ito,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/mima_ito.jpg
andre,de,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/andre_de.jpg
margaret,mac,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/margaret_mac.jpg
joshua,kiprui,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/joshua_kiprui.jpg
akira,sone,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/akira_sone.jpg
sofiya,velikaya,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/sofiya_velikaya.jpg
rai,benjamin,,,,,,,/Users/ethan/Desktop/Research/Ethnicity-Inference-2022/Cropping/Automated_Olympians/rai_benjamin.jpg
