First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
caeleb,dressel,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/kxv7nqrkzzwxkvysxdeo
emma,mckeon,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/pa0vhgawyyqcmaotsqzv
kaylee,mckeown,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/heoopmantspbzhbwwjya
elaine,thompson-herah,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/v1565166356/primary/qzpojeoixvotrbfvaecz
lisa,carrington,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/o428zmlorhnfao6ojy8m
san,an,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/q8lmzclsqqynyqtku3vl
katie,ledecky,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/qrgvoximtbab3hvo67sh
yufei,zhang,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/oujyrp5maqce4vivnymw
ariarne,titmus,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/v1623685020/primary/pc675hnxouye7qdhjjzm
vitalina,batsarashkina,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/rdaasdlzez2phewipmne
daiki,hashimoto,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/h1y80xxxhdkyhzoqkjdh
adam,peaty,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/tghcjfehxvhigc9lyurq
evgeny,rylov,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/v1626923508/primary/apgsrzz4jblxxahpui4l
sifan,hassan,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/v1623249190/primary/ysm4nynmaeklp0ufe93i
yui,ohashi,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/toyzqtprxhex9xck8ww4
sofia,pozdniakova,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/vz8gfnc8ftiapitd7vcx
svetlana,kolesnichenko,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/whyh2kkv1dadsbnlm1hf
qian,yang,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/v1630403166/primary/tcphvry9jd0xzm0t0trk
sydney,mclaughlin,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/w1yhamdcis7d5bnf5wcp
robert,finke,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/djqptajhnuf6atwbvw2a
athing,mu,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/xmxoxuqqdrjhpyd6un5d
tingmao,shi,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/l6r8l9iargl28rntaulv
lamont,marcell,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/zrjbzrhlmfp2ijaldobu
long,ma,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/fzlkiegp1vzcpvrtm1m7
meng,chen,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/v1624013812/primary/kab5dmo6rpsagv0e6uwm
clarisse,agbegnenou,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/ikxxsjneqdkrnmlxigsi
svetlana,romashina,,,,,,,https://img.olympicchannel.com/images/image/private/t_s_athlete_medal_x2/f_auto/primary/mrxb5og0byynrnmnbbdt
