First Name,Last Name,Face,Name,Prediction,Image,School,Source,Actual
Michael I.,Jordan,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=yxUduqMAAAAJ&citpid=10,UC Berkeley,https://scholar.google.com/citations?hl=en&user=yxUduqMAAAAJ,White
George,Lakoff,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=KEU0vpcAAAAJ&citpid=4,UC Berkeley,https://scholar.google.com/citations?hl=en&user=KEU0vpcAAAAJ,White
Trevor,Darrell,Other,Black,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=bh-uRFMAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=bh-uRFMAAAAJ,White
Jitendra,MALIK,Other,Asian,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=aOklxsQAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=aOklxsQAAAAJ,Asian
Peidong,Yang,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=3XzcVwEAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=3XzcVwEAAAAJ,Asian
Paul,Alivisatos,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=uzbKuXAAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=uzbKuXAAAAAJ,White
John W.,Taylor,Asian,Black,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=bMK_K2cAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=bMK_K2cAAAAJ,White
Pieter,Abbeel,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=vtwH6GkAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=vtwH6GkAAAAJ,White
Sergey,Levine,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=8R35rCwAAAAJ&citpid=5,UC Berkeley,https://scholar.google.com/citations?hl=en&user=8R35rCwAAAAJ,White
Steven G.,Louie,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=m0u9N18AAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=m0u9N18AAAAJ,Asian
Jennifer,Doudna,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=YO5XSXwAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=YO5XSXwAAAAJ,White
David,Patterson,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Wj4ZBFIAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=Wj4ZBFIAAAAJ,White
