First Name,Middle Name,Last Name,School,Image URL
Annie Roeser,,Roeser,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/AnnieRoeser-%20resized.jpg?h=964630c6&itok=AZ0RquBN
Jason E. Bond,E.,Bond,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/Jason.png?h=854f7174&itok=2Xzf2spy
Helene Dillard,,Dillard,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/Helene-Dillard.png?h=223bf7c1&itok=L7oVB5Oh
Susan Ebeler,,Ebeler,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/Sue.png?h=520b52a5&itok=vnK3dLyG
Penny  Herbert,,Herbert,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/images/person/d4523292-f4d2-4c48-b4b1-9410975cf3f7.jpeg?h=589f4bad&itok=KefMyNUJ
Marcel Holyoak,,Holyoak,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/Marcel.png?h=228ada39&itok=2jYYbFpo
Ermias Kebreab,,Kebreab,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/A5-Ermias-UCD.png?h=b75f3d6a&itok=mDf_8XDM
Brian McEligot,,McEligot,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/BrianMcEligot-00842.png?h=92607b26&itok=iqkE5A2X
Anita Oberbauer,,Oberbauer,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/Anita.png?h=b2356cde&itok=RMnfmhkA
Patsy Owens,,Owens,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/Patsy.png?h=5cb565c3&itok=QmzrKoG6
Ronald Tjeerdema,,Tjeerdema,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/images/person/rtjeerma.png?h=41f8cf6d&itok=Jpei02m-
Steffen Abel,,Abel,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Douglas Adams,,Adams,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Thomas Adams,,Adams,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Husein Ajwa,,Ajwa,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Lindsay Allen,,Allen,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/media/images/Lindsay_Allen.jpeg?h=345be249&itok=JOkJYDEy
Julian Alston,,Alston,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/images/person/alston_julian.jpg__175x210_q85_crop_subject_location-621%2C879_subsampling-2_upscale.jpg?h=24111c55&itok=KXM7BQDa
D Anderson,,Anderson,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Gary Anderson,,Anderson,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Liz Applegate,,Applegate,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Stanley Artz,,Artz,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Robert Ashmore,,Ashmore,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Charles Bamforth,,Bamforth,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Everett Bandman,,Bandman,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
Michael Barbour,,Barbour,University of California - Davis,https://caes.ucdavis.edu/sites/g/files/dgvnsk1721/files/styles/sf_thumbnail/public/inline-images/profiletemplate.png?h=2a479378&itok=jXups6pM
