Name,Website Link,Public or Private
California State University Bakersfield,https://www.csub.edu/,Public
California Maritime Academy,https://www.csum.edu/index.html,Public
California Polytechnic State University San Luis Obispo,https://www.calpoly.edu/,Public
California State Polytechnic University Pomona,https://www.cpp.edu/,Public
California State University - Channel Islands,https://www.csuci.edu/,Public
California State University - Chico,https://www.csuchico.edu/,Public
California State University Dominguez Hills,https://www.csudh.edu/,Public
California State University East Bay,https://www.csueastbay.edu/,Public
California State University - Fresno,https://www.fresnostate.edu/index.html,Public
California State University - Fullerton,https://www.fullerton.edu/,Public
California State University - Long Beach,https://www.csulb.edu/,Public
California State University - Los Angeles,https://www.calstatela.edu/,Public
California State University - Monterey Bay,https://csumb.edu/,Public
California State University - Northridge,https://w2.csun.edu/,Public
California State University - Sacramento,https://www.csus.edu/,Public
California State University - San Bernardino,https://www.csusb.edu/,Public
California State University - San Marcos,https://www.csusm.edu/index.html,Public
California State University - Stanislaus,https://www.csustan.edu/,Public
Humboldt State University,https://www.humboldt.edu/,Public
San Diego State University,https://www.sdsu.edu/,Public
San Francisco State University,https://www.sfsu.edu/,Public
San Jose State University,https://www.sjsu.edu/,Public
Sonoma State University,https://www.sonoma.edu/,Public
Naval Postgraduate School,https://nps.edu/,Public
University of California - Berkeley,https://www.berkeley.edu/,Public
University of California - Davis,https://www.ucdavis.edu/,Public
UC Law San Francisco,https://www.uclawsf.edu/,Public
University of California - Irvine,https://uci.edu/,Public
University of California - Los Angeles,https://www.ucla.edu/,Public
University of California - Merced,https://www.ucmerced.edu/,Public
University of California - Riverside,https://www.ucr.edu/,Public
University of California - San Diego,https://ucsd.edu/,Public
University of California - San Francisco,https://www.ucsf.edu/,Public
University of California - Santa Barbara,https://www.ucsb.edu/,Public
University of California - Santa Cruz,https://www.ucsc.edu/,Public
Academy of Art University,https://www.academyart.edu/,Private
Alliant International University,https://www.alliant.edu/,Private
American Conservatory Theater,https://www.act-sf.org/,Private
American Academy of Dramatic Arts,https://www.aada.edu/,Private
American Film Institute,https://www.afi.com/,Private
American Jewish University,https://www.aju.edu/,Private
American University of Health Sciences,https://www.auhs.edu/,Private
Antioch University - Los Angeles,https://info.antioch.edu/los-angeles/?tfa_534=Google%20Ad&trackid=6620CA1A-6B4B-4175-AC0D-0E0027BB4DF4&keyword=antioch%20university%20los%20angeles&utm_medium=cpc&utm_source=Googlec&utm_campaign=EMS-GGPS-Brand-AULA&utm_term=antioch%20university%20los%20angeles&utm_content=Brand%20Generic&gclid=CjwKCAiA2pyuBhBKEiwApLaIO9U81fsdyzLo-x8nFtkvXX8ivnqnNPXYazpe1DrtXGAcsH7cfroupxoCbjwQAvD_BwE&utm_id=&gad_source=1,Private
