First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
Cory,Abbott,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Cory_Abbott.jpg
CJ,Abrams,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/CJ_Abrams.jpg
Albert,Abreu,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Albert_Abreu.jpg
Bryan,Abreu,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Bryan_Abreu.jpg
Domingo,Acevedo,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Domingo_Acevedo.jpg
Jason,Adam,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Jason_Adam.jpg
Willy,Adames,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Willy_Adames.jpg
Austin,Adams,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Austin_Adams.jpg
Riley,Adams,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Riley_Adams.jpg
Jo,Adell,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Jo_Adell.jpg
Joan,Adon,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Joan_Adon.jpg
Ehire,Adrianza,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Ehire_Adrianza.jpg
Ryan,Aguilar,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Ryan_Aguilar.jpg
Nick,Ahmed,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Nick_Ahmed.jpg
Keegan,Akin,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Keegan_Akin.jpg
Hanser,Alberto,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Hanser_Alberto.jpg
Ozzie,Albies,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Ozzie_Albies.jpg
Jorge,Alcala,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Jorge_Alcala.jpg
Sandy,Alcantara,,,,,,,C:/MAVACResearchMugizi/Winter2023/mlbWebscraping/CroppedMLBPlayers/Sandy_Alcantara.jpg
