Name,First_name,Last_name,Href,Player_headshot
Nick Madrigal,Nick,Madrigal,/player/nick-madrigal-663611,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663611/headshot/67/current"
Joe Jiménez,Joe,Jiménez,/player/joe-jimenez-641729,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641729/headshot/67/current"
Jose Herrera,Jose,Herrera,/player/jose-herrera-645444,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/645444/headshot/67/current"
Grayson Greiner,Grayson,Greiner,/player/grayson-greiner-606988,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/606988/headshot/67/current"
Gavin Lux,Gavin,Lux,/player/gavin-lux-666158,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666158/headshot/67/current"
Shane McClanahan,Shane,McClanahan,/player/shane-mcclanahan-663556,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663556/headshot/67/current"
John Means,John,Means,/player/john-means-607644,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/607644/headshot/67/current"
AJ Pollock,AJ,Pollock,/player/aj-pollock-572041,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/572041/headshot/67/current"
Joey Wendle,Joey,Wendle,/player/joey-wendle-621563,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621563/headshot/67/current"
Reed Garrett,Reed,Garrett,/player/reed-garrett-657585,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/657585/headshot/67/current"
Luis Frías,Luis,Frías,/player/luis-frias-666818,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666818/headshot/67/current"
Jonah Heim,Jonah,Heim,/player/jonah-heim-641680,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641680/headshot/67/current"
Miguel Cabrera,Miguel,Cabrera,/player/miguel-cabrera-408234,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/408234/headshot/67/current"
Jason Foley,Jason,Foley,/player/jason-foley-671345,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/671345/headshot/67/current"
Frankie Montas,Frankie,Montas,/player/frankie-montas-593423,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/593423/headshot/67/current"
Josh Sborz,Josh,Sborz,/player/josh-sborz-622250,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/622250/headshot/67/current"
Luis Castillo,Luis,Castillo,/player/luis-castillo-622491,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/622491/headshot/67/current"
Tim Locastro,Tim,Locastro,/player/tim-locastro-641796,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641796/headshot/67/current"
César Valdez,César,Valdez,/player/cesar-valdez-491624,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/491624/headshot/67/current"
Kevin Smith,Kevin,Smith,/player/kevin-smith-675656,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/675656/headshot/67/current"
Dennis Santana,Dennis,Santana,/player/dennis-santana-642701,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642701/headshot/67/current"
Livan Soto,Livan,Soto,/player/livan-soto-670869,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/670869/headshot/67/current"
Kevin Pillar,Kevin,Pillar,/player/kevin-pillar-607680,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/607680/headshot/67/current"
Zach McKinstry,Zach,McKinstry,/player/zach-mckinstry-656716,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656716/headshot/67/current"
James Naile,James,Naile,/player/james-naile-664942,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664942/headshot/67/current"
Eric Haase,Eric,Haase,/player/eric-haase-606992,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/606992/headshot/67/current"
Albert Abreu,Albert,Abreu,/player/albert-abreu-656061,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656061/headshot/67/current"
José Cisnero,José,Cisnero,/player/jose-cisnero-542585,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/542585/headshot/67/current"
Juan Minaya,Juan,Minaya,/player/juan-minaya-573668,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/573668/headshot/67/current"
Triston McKenzie,Triston,McKenzie,/player/triston-mckenzie-663474,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663474/headshot/67/current"
Tim Hill,Tim,Hill,/player/tim-hill-657612,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/657612/headshot/67/current"
Victor Robles,Victor,Robles,/player/victor-robles-645302,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/645302/headshot/67/current"
