First Name,Last Name,raceEthnicityAlt,raceEthnicity,probabilityCalibrated,probabilityAltCalibrated
A.J.,Alexy,A,W_NL,0.810915867,0.895732679
Aaron,Ashby,W_NL,B_NL,0.48077231,0.920589805
Aaron,Brooks,W_NL,B_NL,0.749942167,0.961525174
Aaron,Bummer,B_NL,W_NL,0.71115358,0.904945102
Aaron,Civale,B_NL,W_NL,0.693930401,0.809677911
Aaron,Fletcher,W_NL,B_NL,0.449534478,0.921381927
Aaron,Hicks,W_NL,B_NL,0.715251668,0.960736168
Aaron,Judge,W_NL,B_NL,0.569811624,0.919364966
Abraham,Almonte,W_NL,HL,0.933405389,0.954911335
Adam,Cimber,B_NL,W_NL,0.897749019,0.923911097
Adam,Duvall,B_NL,W_NL,0.755365166,0.955713163
Adam,Engel,A,W_NL,0.901481316,0.924333547
Adam,Frazier,B_NL,W_NL,0.657375358,0.941091021
Adam,Haseley,B_NL,W_NL,0.906320674,0.947166038
Adbert,Alzolay,B_NL,W_NL,0.54166597,0.820583191
Adrian,Houser,B_NL,W_NL,0.738077307,0.910827042
Akil,Baddoo,A,B_NL,0.762488449,0.911583108
Albert,Abreu,B_NL,HL,0.919576135,0.947412607
Albert,Almora Jr.,W_NL,HL,0.901790228,0.927652003
Alcides,Escobar,A,HL,0.972734027,0.986888824
Alec,Bohm,A,W_NL,0.845863364,0.936069362
Alec,Burleson,B_NL,W_NL,0.762114623,0.914692017
Alex,Bregman,HL,W_NL,0.760369623,0.904740022
Alex,Call,HL,W_NL,0.414052563,0.71347278
Alex,Claudio,A,HL,0.942420546,0.967838497
Alex,Cobb,W_NL,B_NL,0.667012214,0.913065166
Alex,Dickerson,W_NL,B_NL,0.673134394,0.903346311
Alex,Faedo,W_NL,HL,0.894525513,0.921909622
Alex,Jackson,W_NL,B_NL,0.892758734,0.931493124
Amir,Garrett,B_NL,W_NL,0.78990905,0.906166183
Anderson,Espinoza,A,HL,0.949113106,0.986888824
Andre,Jackson,W_NL,B_NL,0.928409272,0.977196841
Andrew,Bellatti,A,W_NL,0.740896554,0.836998161
Andrew,Benintendi,HL,W_NL,0.871535122,0.906769622
Andrew,Chafin,A,W_NL,0.860057589,0.904411354
