First Name,Last Name,White,Black,East Asian,Southeast Asian,Indian,Middle Eastern,Latino Hispanic,Prediction,Confidence,Ground_Truth
A.J.,Alexy,0.999921441,1.78E-07,6.03E-06,1.06E-06,8.93E-07,2.70E-05,4.35E-05,White,0.999921441,White
A.J.,Minter,0.993969679,3.19E-06,0.001103306,0.000103402,5.74E-06,0.003158187,0.001656419,White,0.993969679,White
A.J.,Puk,0.994418025,1.12E-06,0.000404765,0.000136391,0.000101937,0.00142437,0.003513369,White,0.994418025,White
Aaron,Ashby,0.427769959,0.000159463,0.001108174,0.001262126,0.02249079,0.174248323,0.372961104,White,0.427769959,White
Aaron,Brooks,0.993323267,4.04E-07,5.95E-05,7.40E-06,2.84E-05,0.00162743,0.004953506,White,0.993323267,White
Aaron,Bummer,0.981532216,1.05E-06,1.31E-05,6.64E-06,3.35E-05,0.017148094,0.001265521,White,0.981532216,White
Aaron,Civale,0.441868901,6.77E-05,0.000114911,0.000414626,0.006727959,0.115786821,0.435019076,White,0.441868901,White
Aaron,Fletcher,0.00184909,0.259570092,0.001152421,0.051694222,0.474433243,0.006408072,0.204892814,Indian,0.474433243,Black
Aaron,Hicks,0.001596355,0.059535615,0.000584761,0.012890696,0.831452131,0.012095889,0.081844471,Indian,0.831452131,Black
Aaron,Judge,0.44041875,0.000881241,0.003383106,0.003152029,0.00151073,0.001625496,0.549028635,Latino_Hispanic,0.549028635,White
Aaron,Loup,0.988742709,5.86E-06,5.87E-05,2.32E-05,2.85E-05,0.001734641,0.009406299,White,0.988742709,White
Aaron,Nola,0.965325475,2.78E-06,4.19E-05,4.75E-05,0.00128587,0.020662816,0.012633686,White,0.965325475,White
Aaron,Sanchez,0.186913967,5.08E-05,0.122947164,0.040756144,0.001359133,0.001689239,0.646283567,Latino_Hispanic,0.646283567,Latino_Hispanic
Aaron,Whitefield,0.999680519,1.58E-06,1.86E-06,1.92E-06,3.60E-06,0.000196986,0.000113534,White,0.999680519,White
Abraham,Almonte,3.94E-06,0.999563277,1.35E-05,0.000113973,0.000197814,5.08E-06,0.000102373,Black,0.999563277,Black
Abraham,Toro,0.01823061,0.007920664,0.000250842,0.002936992,0.245116308,0.116378389,0.609166145,Latino_Hispanic,0.609166145,Latino_Hispanic
Adalberto,Mondesi,0.002947887,0.081388988,0.011404161,0.606410563,0.119820364,0.002791472,0.175236538,Southeast Asian,0.606410563,Latino_Hispanic
Adam,Cimber,0.998336494,3.30E-05,4.93E-06,2.97E-06,5.81E-06,0.000454697,0.001162146,White,0.998336494,White
Adam,Duvall,0.797202826,2.46E-05,0.000345753,0.000336073,0.00311321,0.041657615,0.157319978,White,0.797202826,White
Adam,Engel,0.998638451,3.59E-07,1.09E-05,2.51E-06,9.60E-06,0.00103264,0.000305541,White,0.998638451,White
Adam,Frazier,0.934062004,3.29E-05,0.000114145,4.21E-05,0.000222158,0.004541481,0.060985174,White,0.934062004,White
Adam,Haseley,0.716467083,2.51E-05,1.57E-05,1.42E-05,0.001259811,0.230628997,0.051589124,White,0.716467083,White
Adam,Kolarek,0.997320712,4.17E-07,3.19E-06,3.06E-06,2.73E-05,0.001685858,0.000959488,White,0.997320712,White
Adam,Oller,0.981003284,4.15E-06,6.64E-05,3.68E-05,5.18E-05,0.005490443,0.01334718,White,0.981003284,White
Adam,Ottavino,0.953240395,9.66E-07,4.65E-06,6.93E-06,6.14E-05,0.046173457,0.000512139,White,0.953240395,White
Adam,Wainwright,0.969756365,6.28E-06,3.38E-05,9.49E-05,0.000159032,0.027959749,0.001989826,White,0.969756365,White
Adbert,Alzolay,0.031255677,0.003257153,0.140836552,0.39804402,0.007395265,0.000242653,0.418968707,Latino_Hispanic,0.418968707,Latino_Hispanic
Adley,Rutschman,0.999364913,1.27E-07,4.37E-05,4.63E-06,4.14E-07,4.37E-05,0.000542524,White,0.999364913,White
Adonis,Medina,0.006064833,0.114056103,0.014747037,0.240515739,0.186722741,0.002133547,0.435760021,Latino_Hispanic,0.435760021,Latino_Hispanic
Adrian,Houser,0.998960257,1.06E-07,1.12E-05,1.42E-06,1.10E-05,0.000849412,0.000166565,White,0.998960257,White
Adrian,Morejon,0.854012191,2.90E-06,0.017064555,0.003888802,9.71E-05,0.003848683,0.121085778,White,0.854012191,White
