First Name,Last Name,White,Black,Asian,Other,Prediction,Confidence,Ground_Truth
A.J.,Alexy,0.999921441,1.78e-07,8.93e-07,2.7e-05,White,0.999921441,White
A.J.,Minter,0.993969679,3.19e-06,5.74e-06,0.001656419,White,0.993969679,White
A.J.,Puk,0.994418025,1.12e-06,0.000101937,0.00142437,White,0.994418025,White
Aaron,Ashby,0.427769959,0.000159463,0.001108174,0.174248323,White,0.427769959,White
Aaron,Brooks,0.993323267,4.04e-07,7.4e-06,0.00162743,White,0.993323267,White
Aaron,Bummer,0.981532216,1.05e-06,6.64e-06,0.001265521,White,0.981532216,White
Aaron,Civale,0.441868961,6.77e-05,0.00011491,0.115786679,White,0.441868961,White
Aaron,Fletcher,0.00184909,0.259569973,0.001152421,0.006408084,Asian,0.474433243,Black
Aaron,Hicks,0.001596355,0.059535615,0.000584761,0.012095889,Asian,0.831452131,Black
Aaron,Judge,0.44041875,0.000881241,0.00151073,0.001625496,Other,0.549028635,White
Aaron,Loup,0.988742709,5.86e-06,2.32e-05,0.001734641,White,0.988742709,White
Aaron,Nola,0.965325475,2.78e-06,4.18e-05,0.012633679,White,0.965325475,White
Aaron,Sanchez,0.186913967,5.08e-05,0.001359133,0.001689239,Other,0.646283567,Other
Aaron,Whitefield,0.999680519,1.58e-06,1.86e-06,0.000113534,White,0.999680519,White
Abraham,Almonte,3.94e-06,0.999563277,1.35e-05,5.08e-06,Black,0.999563277,Black
Abraham,Toro,0.01823061,0.007920664,0.000250842,0.116378389,Other,0.609166145,Other
Adalberto,Mondesi,0.002947887,0.081388988,0.011404161,0.002791472,Asian,0.606410563,Other
Adam,Cimber,0.998336494,3.3e-05,2.97e-06,0.000454697,White,0.998336494,White
Adam,Duvall,0.797202826,2.46e-05,0.000336073,0.041657615,White,0.797202826,White
Adam,Engel,0.998638451,3.59e-07,2.51e-06,0.00030554,White,0.998638451,White
Adam,Frazier,0.934062004,3.29e-05,4.21e-05,0.004541481,White,0.934062004,White
Adam,Haseley,0.716467142,2.51e-05,1.42e-05,0.05158915,White,0.716467142,White
Adam,Kolarek,0.997320712,4.17e-07,3.06e-06,0.000959488,White,0.997320712,White
Adam,Oller,0.981003284,4.15e-06,3.68e-05,0.005490443,White,0.981003284,White
Adam,Ottavino,0.953240395,9.66e-07,4.65e-06,0.000512139,White,0.953240395,White
Adam,Wainwright,0.969756246,6.28e-06,3.38e-05,0.00198983,White,0.969756246,White
Adbert,Alzolay,0.031255677,0.003257153,0.007395265,0.000242653,Other,0.418968707,Other
Adley,Rutschman,0.999364913,1.27e-07,4.14e-07,4.37e-05,White,0.999364913,White
Adonis,Medina,0.006064835,0.114056058,0.01474703,0.002133549,Other,0.435760111,Other
Adrian,Houser,0.998960257,1.06e-07,1.42e-06,0.000166565,White,0.998960257,White
Adrian,Morejon,0.854012191,2.9e-06,9.71e-05,0.003848683,White,0.854012191,White
Adrian,Sampson,0.99803108,1.35e-06,3.15e-05,0.000688596,White,0.99803108,White
Ã“scar,Mercado,0.0011172,0.077125877,0.000126906,0.001083292,Asian,0.82618165,Other
AJ,Pollock,0.96432054,1.61e-06,1.25e-05,0.005560469,White,0.96432054,White
Akil,Baddoo,2.36e-07,0.999940991,5.82e-07,2.13e-06,Black,0.999940991,Black
Alan,Trejo,0.179171741,0.000580863,0.000673586,0.021867521,Other,0.793775976,Other
Albert,Abreu,0.002828883,0.599532723,0.001573077,0.000110043,Black,0.599532723,Other
Albert,Almora Jr.,0.691472828,2.02e-05,0.001110718,0.058429606,White,0.691472828,Other
Albert,Pujols,0.003789391,0.205406308,0.008711988,0.000508626,Asian,0.496682525,Other
Alcides,Escobar,4.92e-06,0.994953096,1.13e-05,1.17e-06,Black,0.994953096,Black
Alec,Bohm,0.97696197,5.37e-06,0.000126176,0.000584925,White,0.97696197,White
Alec,Burleson,0.993789136,1.54e-05,6.25e-06,0.001439436,White,0.993789136,White
Alec,Mills,0.64807725,5.5e-06,4.92e-05,0.000285499,White,0.64807725,White
Alejandro,Kirk,0.612311125,6.95e-05,0.001704855,0.004586913,White,0.612311125,White
Alejo,Lopez,0.806953609,1.56e-05,0.000323544,0.006072314,White,0.806953609,White
Alek,Manoah,0.078341179,0.000694172,0.003209647,0.006611066,Other,0.891656041,Other
Alek,Thomas,0.06244833,0.000188172,0.00170385,0.000263851,Other,0.929141283,Other
Alex,Bregman,0.999350369,2.85e-07,2.17e-06,0.000134314,White,0.999350369,White
Alex,Call,0.686063826,0.00037636,0.000492691,0.001151835,White,0.686063826,White
Alex,Claudio,0.718147218,0.000501994,0.000206696,0.065635614,White,0.718147218,White
Alex,Cobb,0.99909687,1.53e-06,1.04e-05,0.000408804,White,0.99909687,White
Alex,Dickerson,0.930786669,9.04e-06,0.000216628,0.028634669,White,0.930786669,White
Alex,Faedo,0.069385886,0.004153574,0.0008583,0.014540134,Other,0.883821309,Other
Alex,Jackson,0.229427665,0.004671825,0.0019015,0.005186797,Other,0.752369583,White
Alex,Kirilloff,0.407269567,0.000210489,0.000632959,0.033814222,Other,0.555634856,White
Alex,Lange,0.99968636,4.14e-08,8.04e-08,5.88e-05,White,0.99968636,White
Alex,Verdugo,0.939973593,2.71e-05,0.000154846,0.001344712,White,0.939973593,White
Alex,Vesia,0.588489652,1.08e-05,2.32e-05,0.026709378,White,0.588489652,White
Alex,Wells,0.99890852,1.84e-06,6.47e-06,0.000435724,White,0.99890852,White
Alex,Wood,0.997165024,3.9e-07,6.87e-07,0.000550374,White,0.997165024,White
Alex,Young,0.998001039,7.55e-07,1.92e-06,0.000616658,White,0.998001039,White
Alfonso,Rivas,0.815822124,1.4e-05,9.34e-05,0.00736366,White,0.815822124,White
Amed,Rosario,0.000509024,0.931742251,0.000559684,1.26e-05,Black,0.931742251,Black
Amir,Garrett,0.000475674,0.365946084,0.007876759,3.47e-05,Asian,0.564334154,Black
Anderson,Espinoza,0.001842164,0.031127626,0.002852923,0.000332062,Asian,0.795117617,Black
Anderson,Severino,1.5e-05,0.993684232,2.06e-06,3.74e-05,Black,0.993684232,Black
Andre,Jackson,6.95e-05,0.786687553,0.000124961,3.23e-05,Black,0.786687553,Black
Andre,Pallante,0.999612629,9.19e-08,1.49e-06,0.000110792,White,0.999612629,White
Andrelton,Simmons,0.072891876,0.071334004,0.009855076,0.005197962,Other,0.712289274,White
Andrew,Bellatti,0.995076478,4.87e-06,4.8e-05,0.000624326,White,0.995076478,White
Andrew,Benintendi,0.987392843,3.51e-06,8.18e-06,0.002702885,White,0.987392843,White
Andrew,Chafin,0.996273398,3.35e-07,2.7e-06,0.00043186,White,0.996273398,White
Andrew,Heaney,0.974005997,7.15e-06,3.65e-06,0.001177049,White,0.974005997,White
Andrew,Kittredge,0.994591892,4e-07,3.45e-06,0.00162505,White,0.994591892,White
Andrew,Knapp,0.994677782,1.66e-06,4.84e-05,0.001632611,White,0.994677782,White
Andrew,Knizner,0.999825656,1.32e-07,2.15e-06,5.44e-05,White,0.999825656,White
Andrew,McCutchen,6.35e-08,0.999948144,2.49e-07,2.46e-08,Black,0.999948144,Black
Andrew,Nardi,0.135830253,0.000189045,7.41e-05,0.026712187,Other,0.536663592,White
Andrew,Vasquez,0.416753411,0.000205853,0.000452867,0.001166936,Other,0.565341592,Other
Andrew,Vaughn,0.995237589,1.15e-06,1.21e-05,0.001058245,White,0.995237589,White
Andrew,Velazquez,0.833697021,8.99e-06,9.62e-05,0.020137947,White,0.833697021,Other
Andrew,Wantz,0.991200745,3.11e-05,1.33e-05,0.003542308,White,0.991200745,White
Aneurys,Zabala,0.008354838,0.858467937,0.000156327,0.008671711,Black,0.858467937,Black
Angel,De Jesus,7.77e-06,0.999048293,7.85e-06,4.82e-06,Black,0.999048293,Black
Angel,Zerpa,0.001664364,0.007704956,0.002616436,6.61e-05,Asian,0.869709909,Other
Anthony,Alford,7.62e-08,0.999959469,7.34e-07,3.51e-08,Black,0.999959469,Black
Anthony,Banda,0.107363693,0.000507094,0.021398097,0.018790197,Other,0.78943181,Other
Anthony,Bass,0.934595764,1.29e-05,1.14e-05,0.007106389,White,0.934595764,White
Anthony,Bemboom,0.98356837,9.25e-06,9.24e-06,0.001441632,White,0.98356837,White
Anthony,Bender,0.988640785,4.23e-06,2.44e-05,0.003386371,White,0.988640785,White
Anthony,Castro,3.64e-05,0.974515617,2.33e-05,2.37e-05,Black,0.974515617,Black
Anthony,DeSclafani,0.999902725,2.06e-07,5.64e-07,3.68e-05,White,0.999902725,White
Anthony,Gose,0.023798691,0.119441561,0.002264183,0.002114256,Other,0.801845908,Other
Anthony,Kay,0.928307116,1.91e-05,2.93e-05,0.031077832,White,0.928307116,White
Anthony,Misiewicz,0.997861087,9.3e-07,5.91e-06,0.000888342,White,0.997861087,White
Anthony,Rendon,0.367771536,0.000423703,0.000508261,0.191852897,Other,0.422688067,Other
Anthony,Rizzo,0.853733242,8.57e-06,0.000104829,0.001058387,White,0.853733242,White
Anthony,Santander,0.019917935,0.027431758,0.00348131,0.008717526,Other,0.926478803,Other
Antonio,Senzatela,0.060145706,0.001499078,8.37e-05,0.011636397,Other,0.895667553,Other
Aramis,Garcia,0.781775832,0.000463423,0.000232771,0.033439517,White,0.781775832,Other
Archie,Bradley,0.997353554,1.16e-06,1.69e-06,0.000161444,White,0.997353554,White
Aristides,Aquino,4.61e-07,0.999923348,8.46e-07,8.29e-08,Black,0.999923348,Black
Aroldis,Chapman,1.34e-05,0.996048748,2.73e-05,1.05e-05,Black,0.996048748,Black
Art,Warren,0.125342667,0.0202702,0.00365596,0.043391559,Other,0.773551464,White
Ashton,Goudeau,0.999371946,1.19e-07,7.6e-07,0.000171178,White,0.999371946,White
Austin,Adams,0.840200067,2.05e-05,1.13e-05,0.016636528,White,0.840200067,White
Austin,Allen,0.994502068,5.69e-06,0.000111118,0.001733598,White,0.994502068,White
Austin,Barnes,0.267115802,0.000239082,0.00526153,0.028292712,Other,0.67604053,White
Austin,Brice,0.999882817,3.77e-08,4.45e-07,4.55e-05,White,0.999882817,White
Austin,Davis,0.51112932,3.14e-06,6.37e-06,0.032750316,White,0.51112932,White
Austin,Dean,0.765792429,4.82e-05,7.95e-05,0.038265318,White,0.765792429,White
Austin,Gomber,0.960232675,1.94e-06,1.8e-05,0.012156539,White,0.960232675,White
Austin,Hays,0.766339004,5.83e-06,0.000327149,0.002075371,White,0.766339004,White
Austin,Hedges,0.382346809,4.74e-05,3.2e-05,0.016535066,Other,0.431967884,White
Austin,Meadows,0.998737156,1.43e-07,6.16e-06,0.000298258,White,0.998737156,White
Austin,Nola,0.998787105,2.59e-07,3.08e-06,0.00021125,White,0.998787105,White
Austin,Pruitt,0.994619608,1.53e-06,5.44e-06,0.000461105,White,0.994619608,White
Austin,Riley,0.965723753,1.29e-05,4.99e-05,0.009795691,White,0.965723753,White
Austin,Romine,0.913072407,9.49e-05,0.000371181,0.017500971,White,0.913072407,White
Austin,Slater,0.989752531,6.49e-07,6.83e-06,0.001095254,White,0.989752531,White
Austin,Voth,0.99653542,1.64e-07,6.82e-06,0.000641625,White,0.99653542,White
Austin,Warren,0.984906137,3.29e-05,4.51e-05,0.002933686,White,0.984906137,White
Austin,Wynns,0.984171689,4.98e-06,9.9e-06,0.004702655,White,0.984171689,White
Bailey,Falter,0.998906136,4.49e-07,1.15e-05,0.000279765,White,0.998906136,White
Bailey,Ober,0.99485898,1.3e-06,9.01e-06,0.000555232,White,0.99485898,White
Beau,Brieske,0.975855589,9.36e-07,1.06e-05,0.009157074,White,0.975855589,White
Beau,Sulser,0.930435777,1.51e-05,0.000119125,0.016905634,White,0.930435777,White
Ben,DeLuzio,0.022236215,0.000371213,3.91e-05,0.008512712,Asian,0.630957484,White
Ben,Gamel,0.999831676,2.42e-07,5.53e-07,3.99e-05,White,0.999831676,White
Bennett,Sousa,0.037134279,1.92e-06,3.13e-06,0.001044925,Other,0.961673617,White
Billy,Hamilton,0.001704509,0.754854143,0.000111911,0.000978026,Black,0.754854143,Black
Billy,McKinney,0.836718321,4.91e-06,0.000334077,0.002324037,White,0.836718321,White
Blake,Snell,0.733011425,3.68e-05,0.001368724,0.011316912,White,0.733011425,White
Blake,Taylor,0.950572908,5.58e-07,6.24e-06,0.007916554,White,0.950572908,White
Blake,Treinen,0.997029901,3.41e-07,9.44e-06,0.001302142,White,0.997029901,White
Bligh,Madris,0.128785789,0.000207069,0.002370459,0.001735713,Other,0.861486256,Asian
Bo,Bichette,0.009537246,0.001788374,0.001172654,0.000176097,Asian,0.749836743,Other
Bo,Naylor,0.00342143,0.233456701,0.004706039,0.00030791,Asian,0.339602649,White
Bobby,Bradley,7.47e-05,0.966828704,0.000338326,4.45e-05,Black,0.966828704,Black
Bobby,Dalbec,0.315734744,3.67e-05,0.000867416,0.008262122,Other,0.669650793,White
Bobby,Witt Jr.,0.999597847,3.01e-07,3.07e-07,0.000132256,White,0.999597847,White
Bowden,Francis,0.9812029,4.02e-06,3.78e-05,0.001216245,White,0.9812029,White
Brad,Boxberger,0.999787629,2.49e-07,1.7e-06,9.11e-05,White,0.999787629,White
Brad,Hand,0.206152678,0.000664347,0.000538245,0.121065333,Other,0.605504394,White
Brad,Keller,0.997013927,8.55e-07,4.98e-06,0.000173667,White,0.997013927,White
Brad,Miller,0.991570234,1.15e-06,1.32e-06,0.00036362,White,0.991570234,White
Bradley,Zimmer,0.987474322,2.91e-06,5.17e-06,0.006083339,White,0.987474322,White
Brady,Singer,0.9965958,1.87e-06,3.16e-06,0.000130695,White,0.9965958,White
Brandon,Belt,0.400708884,0.007195014,0.000123527,0.029061262,Other,0.539736986,White
Brandon,Bielak,0.991646588,1.56e-06,1.04e-05,0.001070004,White,0.991646588,White
Brandon,Crawford,0.870528162,4.76e-05,1.19e-05,0.060867462,White,0.870528162,White
Brandon,Dixon,0.999674916,1.38e-07,2.45e-06,7.37e-05,White,0.999674916,White
Brandon,Drury,0.987866521,1.02e-05,7.34e-05,0.001555958,White,0.987866521,White
Brandon,Hughes,0.999530673,8.54e-07,3.82e-06,0.000123836,White,0.999530673,White
Brandon,Lowe,0.993842244,1.34e-05,4.93e-06,0.002378408,White,0.993842244,White
Brandon,Marsh,0.993541121,1.77e-05,3.05e-05,0.001274929,White,0.993541121,White
Brandon,Nimmo,0.977050781,2.53e-05,0.000285288,0.003701811,White,0.977050781,White
Brandon,Woodruff,0.99833554,8.22e-06,3.02e-05,0.00036286,White,0.99833554,White
Braxton,Garrett,0.998968005,2.08e-07,1.81e-06,0.00010776,White,0.998968005,White
Brayan,Bello,9.3e-06,0.989848971,8.03e-05,7.19e-06,Black,0.989848971,Black
Brendan,Donovan,0.998533726,4.27e-06,1.84e-06,0.0007181,White,0.998533726,White
