First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Ground_Truth
A.J._Alexy,,0.999921441,1.78E-07,7.99E-06,7.05E-05,White,White
A.J._Minter,,0.993969679,3.19E-06,0.001212445,0.004814607,White,White
A.J._Puk,,0.994418025,1.12E-06,0.000643093,0.004937736,White,White
Aaron_Ashby,,0.427769959,0.000159463,0.024861091,0.547209427,Other,White
Aaron_Brooks,,0.993323267,4.04E-07,9.53E-05,0.006580936,White,White
Aaron_Bummer,,0.981532216,1.05E-06,5.32E-05,0.018413547,White,White
Aaron_Civale,,0.441868961,6.77E-05,0.00725749,0.550805874,Other,White
Aaron_Fletcher,,0.00184909,0.259570092,0.527279886,0.211300886,Asian,Black
Aaron_Hicks,,0.001596355,0.059535615,0.844927588,0.09394036,Asian,Black
Aaron_Judge,,0.44041869,0.000881241,0.008045852,0.55065419,Other,White
Aaron_Loup,,0.988742709,5.86E-06,0.000110405,0.011140941,White,White
Aaron_Nola,,0.965325475,2.78E-06,0.001375236,0.033296502,White,White
Aaron_Sanchez,,0.186914101,5.08E-05,0.165062105,0.647973046,Other,Other
Aaron_Whitefield,,0.999680519,1.58E-06,7.38E-06,0.00031052,White,White
Abraham_Almonte,,3.94E-06,0.999563277,0.000325296,0.000107453,Black,Black
Abraham_Toro,,0.0182306,0.00792066,0.248304142,0.72554455,Other,Other
Adalberto_Mondesi,,0.002947884,0.081388958,0.737635152,0.178027998,Asian,Black
Adam_Cimber,,0.998336494,3.30E-05,1.37E-05,0.001616845,White,White
Adam_Duvall,,0.797203124,2.46E-05,0.003795031,0.198977284,White,White
Adam_Engel,,0.998638451,3.59E-07,2.31E-05,0.001338185,White,White
Adam_Frazier,,0.934062064,3.29E-05,0.000378452,0.065526561,White,White
Adam_Haseley,,0.716467321,2.51E-05,0.001289708,0.282217856,White,White
Adam_Kolarek,,0.997320712,4.17E-07,3.35E-05,0.002645351,White,White
Adam_Oller,,0.981003284,4.15E-06,0.000154992,0.018837622,White,White
Adam_Ottavino,,0.953240514,9.66E-07,7.30E-05,0.046685532,White,White
Adam_Wainwright,,0.969756365,6.28E-06,0.000287745,0.029949571,White,White
Adbert_Alzolay,,0.031255677,0.003257153,0.546275836,0.41921136,Asian,Other
Adley_Rutschman,,0.999364913,1.27E-07,4.87E-05,0.00058627,White,White
Adolis_García,,3.67E-05,0.995132267,0.004442523,0.000388426,Black,Black
Adonis_Medina,,0.006064833,0.114056103,0.441985516,0.437893568,Asian,Other
Adrian_Houser,,0.998960257,1.06E-07,2.36E-05,0.001015977,White,White
Adrian_Morejon,,0.854012012,2.90E-06,0.02105049,0.124934597,White,White
Adrian_Sampson,,0.99803108,1.35E-06,0.000128145,0.001839393,White,White
Adrián_Martínez,,0.647240818,0.000850489,0.054813702,0.297094975,White,Other
AJ_Pollock,,0.96432054,1.61E-06,9.76E-05,0.035580261,White,White
Akil_Baddoo,,2.36E-07,0.999940991,4.44E-05,1.44E-05,Black,Black
Alan_Trejo,,0.179171741,0.000580863,0.004603844,0.815643497,Other,Other
Albert_Abreu,,0.002828883,0.599532723,0.025628236,0.372010155,Black,Other
Albert_Almora Jr.,,0.69147259,2.02E-05,0.004174945,0.304332182,White,White
Albert_Pujols,,0.003789391,0.205406308,0.528163513,0.262640823,Asian,Other
Alcides_Escobar,,4.92E-06,0.994953096,0.004741529,0.000300469,Black,Black
Alec_Bohm,,0.976961911,5.37E-06,0.001143006,0.02188976,White,White
Alec_Burleson,,0.993789136,1.54E-05,4.37E-05,0.006151893,White,White
Alec_Mills,,0.648076892,5.50E-06,0.349609395,0.002308222,White,White
Aledmys_Díaz,,0.697473824,0.000297033,0.041329481,0.260899656,White,Other
Alejandro_Kirk,,0.612311125,6.95E-05,0.248247104,0.139372207,White,White
Alejo_Lopez,,0.806953609,1.56E-05,0.002728347,0.190302404,White,Other
Alek_Manoah,,0.078341179,0.000694172,0.022697623,0.898267107,Other,Other
Alek_Thomas,,0.062448315,0.000188172,0.00795841,0.929405134,Other,Other
Alexis_Díaz,,2.66E-05,0.9644261,0.033878107,0.001669233,Black,Black
Alex_Bregman,,0.999350369,2.85E-07,0.000155855,0.000493618,White,White
Alex_Call,,0.686063588,0.00037636,0.027521134,0.28603888,White,White
Alex_Claudio,,0.718147397,0.000501994,0.006250977,0.27509965,White,Other
Alex_Cobb,,0.99909687,1.53E-06,4.27E-05,0.000859078,White,White
Alex_Colomé,,0.000254081,0.938744843,0.044617317,0.01638371,Black,Black
Alex_Dickerson,,0.93078649,9.04E-06,0.003240467,0.065963954,White,White
Alex_Faedo,,0.069385886,0.004153574,0.028099038,0.898361443,Other,White
Alex_Jackson,,0.22942768,0.004671823,0.008344084,0.757556377,Other,White
Alex_Kirilloff,,0.407269567,0.000210489,0.003070927,0.589449078,Other,White
Alex_Lange,,0.99968636,4.14E-08,1.27E-06,0.000312353,White,White
Alex_Verdugo,,0.939973593,2.71E-05,0.000902461,0.059096721,White,White
Alex_Vesia,,0.588489652,1.08E-05,0.005134644,0.406364948,White,White
Alex_Wells,,0.99890852,1.84E-06,4.92E-05,0.001040397,White,White
Alex_Wood,,0.997165024,3.90E-07,5.21E-06,0.002829317,White,White
Alex_Young,,0.998001039,7.55E-07,8.84E-06,0.00198952,White,White
Alfonso_Rivas,,0.815822005,1.40E-05,0.000484085,0.183679987,White,Other
Amed_Rosario,,0.000509024,0.931742191,0.01077809,0.056970701,Black,Black
Amir_Garrett,,0.000475674,0.365945756,0.59787048,0.035708062,Asian,Black
Anderson_Espinoza,,0.001842166,0.031127652,0.875881584,0.091148702,Asian,Other
Anderson_Severino,,1.50E-05,0.993684232,0.005853587,0.000447175,Black,Black
Andrelton_Simmons,,0.072891876,0.071334004,0.138286944,0.717487236,Other,White
Andres_Machado,,0.011568864,0.000645453,0.04109034,0.946695354,Other,Other
Andrew_Bellatti,,0.995076478,4.87E-06,0.00026189,0.004656822,White,White
Andrew_Benintendi,,0.987392843,3.51E-06,0.000164747,0.012438924,White,White
Andrew_Chafin,,0.996273398,3.35E-07,1.39E-05,0.003712305,White,White
Andrew_Heaney,,0.974006116,7.15E-06,3.46E-05,0.025952155,White,White
Andrew_Kittredge,,0.994591892,4.00E-07,0.000288816,0.005118898,White,White
Andrew_Knapp,,0.994677782,1.66E-06,0.001953274,0.003367321,White,White
Andrew_Knizner,,0.999825656,1.32E-07,1.74E-05,0.000156933,White,White
Andrew_McCutchen,,6.35E-08,0.999948144,4.76E-05,4.21E-06,Black,Black
Andrew_Nardi,,0.135830253,0.000189045,0.30060494,0.563375778,Other,White
Andrew_Vasquez,,0.416753739,0.000205853,0.016532212,0.56650817,Other,Other
Andrew_Vaughn,,0.995237589,1.15E-06,0.002347387,0.002413806,White,White
Andrew_Velazquez,,0.833697021,8.99E-06,0.000874585,0.165419366,White,Other
Andrew_Wantz,,0.991200745,3.11E-05,0.000104671,0.008663535,White,White
Andre_Jackson,,6.95E-05,0.786687613,0.204243214,0.008999741,Black,Black
Andre_Pallante,,0.999612629,9.19E-08,2.74E-05,0.000359927,White,White
Andrés_Giménez,,0.089746922,0.02854394,0.114896335,0.766812839,Other,Other
Andrés_Muñoz,,0.026453247,0.022980766,0.470586199,0.479979866,Other,Other
Andy_Ibáñez,,5.78E-05,0.976033092,0.015203306,0.008705759,Black,Black
Aneurys_Zabala,,0.008354838,0.858467937,0.04058273,0.092594462,Black,Black
Angel_De Jesus,,7.77E-06,0.999048293,0.000360807,0.000582972,Black,Black
Angel_Rondón,,0.000145672,0.777026296,0.195879588,0.026948498,Black,Black
Angel_Zerpa,,0.001664364,0.007704956,0.919540391,0.071090165,Asian,Other
Anthony_Alford,,7.62E-08,0.999959469,3.38E-05,6.69E-06,Black,Black
Anthony_Banda,,0.107363649,0.000507094,0.083907297,0.808221998,Other,White
Anthony_Bass,,0.934595764,1.29E-05,0.000262905,0.065128594,White,White
Anthony_Bemboom,,0.98356837,9.25E-06,0.000312783,0.016109607,White,White
