First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Ground Truth
A.J. Alexy,,0.098292202,0.005806115,0.849543085,0.046358625,Asian,White
A.J. Ladwig,,0.177990779,0.089587472,0.407556014,0.324865691,Asian,White
A.J. Minter,,0.793697417,0.001125489,0.124155026,0.081022101,White,White
A.J. Puk,,0.193284035,0.000387449,0.716626604,0.089701887,Asian,White
AJ Pollock,,0.557822585,0.00159224,0.005253255,0.435331866,White,White
Aaron Ashby,,0.394904464,0.011101888,0.033700945,0.560292661,Other,White
Aaron Brooks,,0.890971482,0.000219897,0.002124904,0.106683772,White,White
Aaron Bummer,,0.537364721,0.033246223,0.222374386,0.207014725,White,White
Aaron Civale,,0.052987132,0.13551411,0.081245473,0.730253257,Other,White
Aaron Fletcher,,0.001764886,0.364041239,0.5180352,0.116158712,Asian,Black
Aaron Hicks,,0.000170057,0.272559762,0.703860578,0.023409613,Asian,Black
Aaron Judge,,0.009692684,0.001774522,0.968376016,0.020156799,Asian,White
Aaron Loup,,0.778117955,0.001246904,0.139334433,0.08130064,White,White
Aaron Nola,,0.049268533,0.014692558,0.677769059,0.2582699,Asian,White
Aaron Sanchez,,0.007551794,5.23E-05,0.979026691,0.013369143,Asian,White
Aaron Whitefield,,0.264999777,0.375526071,0.049176293,0.310297936,Black,White
Abraham Almonte,,6.66E-06,0.998945415,0.00086421,0.000183663,Black,Black
Abraham Toro,,0.003332758,0.516931057,0.322286838,0.157449318,Black,Black
Adalberto Mondesi,,0.000549837,0.467492521,0.468309326,0.063648296,Asian,Black
Adam Cimber,,0.462547451,0.221111774,0.121857814,0.1944829,White,White
Adam Duvall,,0.123714626,0.003058054,0.099809309,0.773418054,Other,White
Adam Engel,,0.456606179,0.018343063,0.062690407,0.462360352,Other,White
Adam Frazier,,0.529827356,0.000415421,0.036763399,0.432993777,White,White
Adam Haseley,,0.298342168,0.003851607,0.003825619,0.693980604,Other,White
Adam Kolarek,,0.849902451,0.002221226,0.007040783,0.140835572,White,White
Adam Oller,,0.339671403,0.019598585,0.452531883,0.188198108,Asian,White
Adam Ottavino,,0.646551967,0.044375308,0.058589779,0.250482909,White,White
Adam Wainwright,,0.292959124,0.007046071,0.132248437,0.567746386,Other,White
Adbert Alzolay,,0.031901121,0.003711203,0.837319557,0.127068107,Asian,Other
Adley Rutschman,,0.993381739,1.31E-05,0.002190122,0.004414997,White,White
Adolis Garcï¿½a,,3.67E-05,0.995132267,0.004442531,0.000388427,Black,Black
Adonis Medina,,1.73E-05,0.991323113,0.007155339,0.001504265,Black,Black
Adrian Houser,,0.429956675,0.009744667,0.100496098,0.459802546,Other,White
Adrian Morejon,,0.190902025,7.53E-05,0.743382278,0.065640399,Asian,White
Adrian Sampson,,0.955930471,0.000145429,0.00435149,0.039572582,White,White
Adriï¿½n Martï¿½nez,,0.647241175,0.000850487,0.054813644,0.297094718,White,Other
Akil Baddoo,,2.81E-06,0.998763561,0.001096619,0.000137034,Black,Black
Alan Trejo,,0.533307672,0.001932869,0.011183435,0.453576028,White,Other
Albert Abreu,,0.000896284,0.210752442,0.677990923,0.11036034,Asian,Other
Albert Almora Jr.,,0.082248129,8.87E-05,0.887798432,0.029864651,Asian,White
Albert Pujols,,0.000214497,0.059815191,0.928513576,0.011456769,Asian,Other
Alcides Escobar,,2.23E-05,0.985693812,0.013439508,0.000844325,Black,Black
Alec Bohm,,0.837968946,0.001252108,0.01801751,0.142761439,White,White
Alec Burleson,,0.157152966,0.19125241,0.086170239,0.565424353,Other,White
Alec Mills,,0.324560434,0.000345379,0.661301795,0.013792415,Asian,White
Aledmys Dï¿½az,,0.697473705,0.000297033,0.041329554,0.260899767,White,Other
Alejandro Kirk,,0.007127823,8.07E-05,0.989187311,0.00360418,Asian,White
Alejo Lopez,,0.753274798,0.000590657,0.027872058,0.218262516,White,Other
Alek Manoah,,0.155442998,0.012817764,0.698539569,0.133199748,Asian,White
Alek Thomas,,0.027530406,0.337508261,0.199631147,0.435330175,Other,Other
Alex Bregman,,0.976796687,9.43E-06,0.004644286,0.018549671,White,White
Alex Call,,0.01855378,0.00061617,0.974423095,0.006407013,Asian,White
Alex Claudio,,0.058723964,0.183076069,0.025211045,0.732988924,Other,White
Alex Cobb,,0.61008215,0.002343525,0.054210878,0.333363522,White,White
Alex Colomï¿½,,0.000254081,0.938744724,0.044617359,0.01638374,Black,Black
Alex Dickerson,,0.066119015,0.001005222,0.857941783,0.07493399,Asian,White
Alex Faedo,,0.020017574,0.107656866,0.043710412,0.828615122,Other,White
Alex Jackson,,0.088559151,0.003435901,0.057139506,0.850865349,Other,White
Alex Kirilloff,,0.286111504,0.000393239,0.038191324,0.675303966,Other,White
Alex Lange,,0.982031941,1.92E-05,0.000687237,0.017261569,White,White
Alex Verdugo,,0.148433626,0.013687236,0.673546569,0.164332634,Asian,White
Alex Vesia,,0.304357767,0.001294436,0.009900061,0.684447736,Other,Other
Alex Wells,,0.88668251,0.003538751,0.030844118,0.07893456,White,White
Alex Wood,,0.080205157,0.293433726,0.477465951,0.148895115,Asian,White
Alex Young,,0.710002542,0.029652568,0.036086899,0.224258006,White,White
Alexis Dï¿½az,,2.66E-05,0.964425981,0.033878201,0.001669236,Black,Black
Alfonso Rivas,,0.140558749,0.001023662,0.005655574,0.852762043,Other,White
