First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Truth,Details,Correctness,More Details
A.J. Alexy,,0.837205291,0.00869647,0.061051663,0.093046475,White,White,,,
A.J. Ladwig,,0.177990809,0.08958751,0.407556031,0.324865647,Asian,NULL,,,
A.J. Minter,,0.793697596,0.001125487,0.124154808,0.081022108,White,White,,,
A.J. Puk,,0.813021064,0.001933748,0.077299341,0.107745852,White,White,,,
Aaron Ashby,,0.836235881,0.001314588,0.005120535,0.157329047,White,White,,,
Aaron Brooks,,0.890971482,0.000219897,0.002124904,0.106683772,White,White,,,
Aaron Bummer,,0.086057119,0.085851528,0.757636925,0.070454374,Asian,White,,,
Aaron Civale,,0.059286427,0.410138339,0.042986481,0.487588733,Other,White,,,
Aaron Fletcher,,0.001764885,0.364041358,0.518035079,0.116158638,Asian,Black,,,
Aaron Hicks,,0.000170057,0.272559762,0.703860519,0.023409649,Asian,Black,,,
Aaron Judge,,0.009692683,0.001774522,0.968376002,0.020156802,Asian,Other,Biracial,X,Adopted
Aaron Loup,,0.77811861,0.001246903,0.139333932,0.081300568,White,White,,,
Aaron Nola,,0.049268484,0.014692541,0.677769245,0.258269724,Asian,White,,,
Aaron Sanchez,,0.007551795,5.23E-05,0.979026661,0.013369153,Asian,Other,Hispanic,X,
Aaron Whitefield,,0.265000075,0.375525743,0.049176307,0.310297981,Black,White,,,
Abraham Almonte,,6.66E-06,0.998945415,0.00086421,0.000183663,Black,Other,Dominican,X,
Abraham Toro,,0.006604508,0.63761586,0.058349261,0.29743038,Black,Other,Biracial,X,Canadian-Venezuelan 
Adalberto Mondesi,,0.000549837,0.467492461,0.468309372,0.063648325,Asian,Other,Dominican,X,
Adam Cimber,,0.00246883,0.985239029,0.00634395,0.00594824,Black,White,,,
Adam Duvall,,0.123714626,0.003058054,0.099809309,0.773418054,Other,White,,,
Adam Engel,,0.45660603,0.018343061,0.062690425,0.462360442,Other,White,,,
Adam Frazier,,0.890591621,8.99E-06,0.000924857,0.108474534,White,White,,,
Adam Haseley,,0.911416173,0.003343538,0.003876385,0.081363847,White,White,,,
Adam Kolarek,,0.84990257,0.002221226,0.007040777,0.140835516,White,White,,,
Adam Oller,,0.906615913,0.00105051,0.02025952,0.072074046,White,White,,,
Adam Ottavino,,0.646551788,0.04437536,0.058589868,0.250482947,White,White,,,
Adam Wainwright,,0.356265396,0.014275759,0.146794136,0.482664701,Other,White,,,
Adbert Alzolay,,0.031901121,0.003711203,0.837319557,0.127068107,Asian,Other,Venezuelan,X,
Adley Rutschman,,0.954809844,0.00010337,0.036421969,0.008664794,White,White,,,
Adolis García,,3.54E-05,0.993473113,0.006131044,0.000360465,Black,Black,Cuban,X,
Adonis Medina,,1.73E-05,0.991323113,0.007155349,0.001504265,Black,Black,Dominican,X,
Adrian Houser,,0.40718022,0.036732908,0.387055867,0.169030987,White,White,,,
Adrian Morejon,,0.054266289,4.20E-05,0.937823155,0.007868539,Asian,Other,Hispanic,X,
Adrian Sampson,,0.955930471,0.000145429,0.004351488,0.039572569,White,White,,,
