Name,First_name,Last_name,Href,Player_headshot
Justin Lawrence,Justin,Lawrence,/player/justin-lawrence-664875,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664875/headshot/67/current"
DJ LeMahieu,DJ,LeMahieu,/player/dj-lemahieu-518934,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/518934/headshot/67/current"
Charles Leblanc,Charles,Leblanc,/player/charles-leblanc-641779,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641779/headshot/67/current"
José Leclerc,José,Leclerc,/player/jose-leclerc-600917,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/600917/headshot/67/current"
Dylan Lee,Dylan,Lee,/player/dylan-lee-669276,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669276/headshot/67/current"
Evan Lee,Evan,Lee,/player/evan-lee-681885,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/681885/headshot/67/current"
Khalil Lee,Khalil,Lee,/player/khalil-lee-666137,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666137/headshot/67/current"
Korey Lee,Korey,Lee,/player/korey-lee-686676,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/686676/headshot/67/current"
Mark Leiter Jr.,Mark,Leiter Jr.,/player/mark-leiter-jr-643410,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/643410/headshot/67/current"
Jacob Lemoine,Jacob,Lemoine,/player/jacob-lemoine-621082,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621082/headshot/67/current"
Sandy Leon,Sandy,Leon,/player/sandy-leon-506702,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/506702/headshot/67/current"
Dominic Leone,Dominic,Leone,/player/dominic-leone-608678,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608678/headshot/67/current"
Josh Lester,Josh,Lester,/player/josh-lester-623507,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/623507/headshot/67/current"
Kyle Lewis,Kyle,Lewis,/player/kyle-lewis-641786,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641786/headshot/67/current"
Royce Lewis,Royce,Lewis,/player/royce-lewis-668904,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/668904/headshot/67/current"
Luis Liberato,Luis,Liberato,/player/luis-liberato-642451,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642451/headshot/67/current"
