First Name,Last Name,White,Black,Asian,Other,Prediction,Confidence,Ground_Truth
A.J.,Alexy,0.999921441,1.78e-07,8.93e-07,2.7e-05,White,0.999921441,White
Aaron,Ashby,0.427769959,0.000159463,0.001108174,0.174248323,White,0.427769959,White
Aaron,Brooks,0.993323267,4.04e-07,7.4e-06,0.00162743,White,0.993323267,White
Aaron,Bummer,0.981532216,1.05e-06,6.64e-06,0.001265521,White,0.981532216,White
Aaron,Civale,0.441868961,6.77e-05,0.00011491,0.115786679,White,0.441868961,White
Aaron,Fletcher,0.00184909,0.259569973,0.001152421,0.006408084,Asian,0.474433243,Black
Aaron,Hicks,0.001596355,0.059535615,0.000584761,0.012095889,Asian,0.831452131,Black
Aaron,Judge,0.44041875,0.000881241,0.00151073,0.001625496,Other,0.549028635,White
Abraham,Almonte,3.94e-06,0.999563277,1.35e-05,5.08e-06,Black,0.999563277,Black
Adam,Cimber,0.998336494,3.3e-05,2.97e-06,0.000454697,White,0.998336494,White
Adam,Duvall,0.797202826,2.46e-05,0.000336073,0.041657615,White,0.797202826,White
Adam,Engel,0.998638451,3.59e-07,2.51e-06,0.00030554,White,0.998638451,White
Adam,Frazier,0.934062004,3.29e-05,4.21e-05,0.004541481,White,0.934062004,White
Adam,Haseley,0.716467142,2.51e-05,1.42e-05,0.05158915,White,0.716467142,White
Adbert,Alzolay,0.031255677,0.003257153,0.007395265,0.000242653,Other,0.418968707,Other
Adrian,Houser,0.998960257,1.06e-07,1.42e-06,0.000166565,White,0.998960257,White
Akil,Baddoo,2.36e-07,0.999940991,5.82e-07,2.13e-06,Black,0.999940991,Black
Albert,Abreu,0.002828883,0.599532723,0.001573077,0.000110043,Black,0.599532723,Other
Albert,Almora Jr.,0.691472828,2.02e-05,0.001110718,0.058429606,White,0.691472828,Other
Alcides,Escobar,4.92e-06,0.994953096,1.13e-05,1.17e-06,Black,0.994953096,Black
Alec,Bohm,0.97696197,5.37e-06,0.000126176,0.000584925,White,0.97696197,White
Alec,Burleson,0.993789136,1.54e-05,6.25e-06,0.001439436,White,0.993789136,White
Alex,Bregman,0.999350369,2.85e-07,2.17e-06,0.000134314,White,0.999350369,White
Alex,Call,0.686063826,0.00037636,0.000492691,0.001151835,White,0.686063826,White
Alex,Claudio,0.718147218,0.000501994,0.000206696,0.065635614,White,0.718147218,White
Alex,Cobb,0.99909687,1.53e-06,1.04e-05,0.000408804,White,0.99909687,White
Alex,Dickerson,0.930786669,9.04e-06,0.000216628,0.028634669,White,0.930786669,White
Alex,Faedo,0.069385886,0.004153574,0.0008583,0.014540134,Other,0.883821309,Other
Alex,Jackson,0.229427665,0.004671825,0.0019015,0.005186797,Other,0.752369583,White
Amir,Garrett,0.000475674,0.365946084,0.007876759,3.47e-05,Asian,0.564334154,Black
Anderson,Espinoza,0.001842164,0.031127626,0.002852923,0.000332062,Asian,0.795117617,Black
Andre,Jackson,6.95e-05,0.786687553,0.000124961,3.23e-05,Black,0.786687553,Black
Andrew,Bellatti,0.995076478,4.87e-06,4.8e-05,0.000624326,White,0.995076478,White
Andrew,Benintendi,0.987392843,3.51e-06,8.18e-06,0.002702885,White,0.987392843,White
Andrew,Chafin,0.996273398,3.35e-07,2.7e-06,0.00043186,White,0.996273398,White
Andrew,Heaney,0.974005997,7.15e-06,3.65e-06,0.001177049,White,0.974005997,White
Angel,De Jesus,7.77e-06,0.999048293,7.85e-06,4.82e-06,Black,0.999048293,Black
Anthony,Alford,7.62e-08,0.999959469,7.34e-07,3.51e-08,Black,0.999959469,Black
Anthony,Banda,0.107363693,0.000507094,0.021398097,0.018790197,Other,0.78943181,Other
Anthony,Bass,0.934595764,1.29e-05,1.14e-05,0.007106389,White,0.934595764,White
Anthony,Bemboom,0.98356837,9.25e-06,9.24e-06,0.001441632,White,0.98356837,White
Anthony,Bender,0.988640785,4.23e-06,2.44e-05,0.003386371,White,0.988640785,White
Anthony,Castro,3.64e-05,0.974515617,2.33e-05,2.37e-05,Black,0.974515617,Black
Anthony,DeSclafani,0.999902725,2.06e-07,5.64e-07,3.68e-05,White,0.999902725,White
Anthony,Gose,0.023798691,0.119441561,0.002264183,0.002114256,Other,0.801845908,Other
Anthony,Kay,0.928307116,1.91e-05,2.93e-05,0.031077832,White,0.928307116,White
Aramis,Garcia,0.781775832,0.000463423,0.000232771,0.033439517,White,0.781775832,Other
Archie,Bradley,0.997353554,1.16e-06,1.69e-06,0.000161444,White,0.997353554,White
Aristides,Aquino,4.61e-07,0.999923348,8.46e-07,8.29e-08,Black,0.999923348,Black
Aroldis,Chapman,1.34e-05,0.996048748,2.73e-05,1.05e-05,Black,0.996048748,Black
Ashton,Goudeau,0.999371946,1.19e-07,7.6e-07,0.000171178,White,0.999371946,White
Austin,Adams,0.840200067,2.05e-05,1.13e-05,0.016636528,White,0.840200067,White
Austin,Allen,0.994502068,5.69e-06,0.000111118,0.001733598,White,0.994502068,White
Austin,Barnes,0.267115802,0.000239082,0.00526153,0.028292712,Other,0.67604053,White
Austin,Brice,0.999882817,3.77e-08,4.45e-07,4.55e-05,White,0.999882817,White
Austin,Davis,0.51112932,3.14e-06,6.37e-06,0.032750316,White,0.51112932,White
Austin,Dean,0.765792429,4.82e-05,7.95e-05,0.038265318,White,0.765792429,White
Austin,Gomber,0.960232675,1.94e-06,1.8e-05,0.012156539,White,0.960232675,White
Austin,Hays,0.766339004,5.83e-06,0.000327149,0.002075371,White,0.766339004,White
Austin,Hedges,0.382346809,4.74e-05,3.2e-05,0.016535066,Other,0.431967884,White
Bailey,Falter,0.998906136,4.49e-07,1.15e-05,0.000279765,White,0.998906136,White
Beau,Brieske,0.975855589,9.36e-07,1.06e-05,0.009157074,White,0.975855589,White
Ben,DeLuzio,0.022236215,0.000371213,3.91e-05,0.008512712,Asian,0.630957484,White
Ben,Gamel,0.999831676,2.42e-07,5.53e-07,3.99e-05,White,0.999831676,White
Billy,Hamilton,0.001704509,0.754854143,0.000111911,0.000978026,Black,0.754854143,Black
Bo,Bichette,0.009537246,0.001788374,0.001172654,0.000176097,Asian,0.749836743,Other
Bobby,Bradley,7.47e-05,0.966828704,0.000338326,4.45e-05,Black,0.966828704,Black
Bobby,Dalbec,0.315734744,3.67e-05,0.000867416,0.008262122,Other,0.669650793,White
Bowden,Francis,0.9812029,4.02e-06,3.78e-05,0.001216245,White,0.9812029,White
Brad,Boxberger,0.999787629,2.49e-07,1.7e-06,9.11e-05,White,0.999787629,White
Brad,Hand,0.206152678,0.000664347,0.000538245,0.121065333,Other,0.605504394,White
Brad,Keller,0.997013927,8.55e-07,4.98e-06,0.000173667,White,0.997013927,White
Brandon,Belt,0.400708884,0.007195014,0.000123527,0.029061262,Other,0.539736986,White
Brandon,Bielak,0.991646588,1.56e-06,1.04e-05,0.001070004,White,0.991646588,White
Brandon,Crawford,0.870528162,4.76e-05,1.19e-05,0.060867462,White,0.870528162,White
Brandon,Dixon,0.999674916,1.38e-07,2.45e-06,7.37e-05,White,0.999674916,White
Brandon,Drury,0.987866521,1.02e-05,7.34e-05,0.001555958,White,0.987866521,White
Brandon,Hughes,0.999530673,8.54e-07,3.82e-06,0.000123836,White,0.999530673,White
Braxton,Garrett,0.998968005,2.08e-07,1.81e-06,0.00010776,White,0.998968005,White
Brayan,Bello,9.3e-06,0.989848971,8.03e-05,7.19e-06,Black,0.989848971,Black
Brendan,Donovan,0.998533726,4.27e-06,1.84e-06,0.0007181,White,0.998533726,White
Brendon,Davis,2.47e-07,0.999883771,5.42e-07,2.1e-07,Black,0.999883771,Black
Brennan,Bernardino,0.036389604,0.005381426,0.000177392,0.002778509,Other,0.873039901,Other
Brett,Baty,0.998890936,9.55e-07,2.49e-06,6.56e-05,White,0.998890936,White
Brewer,Hicklen,0.999909878,9.54e-08,2.78e-07,8.45e-06,White,0.999909878,White
Brian,Anderson,0.940825284,1.03e-06,1.45e-05,0.002535223,White,0.940825284,White
Brock,Burke,0.845340192,9.73e-06,0.000390902,0.012449839,White,0.845340192,White
Brusdar,Graterol,0.008955169,0.085290454,0.004882716,7.43e-05,Other,0.784702659,Other
Bryan,Abreu,0.008345176,0.058691729,0.016813759,0.003654544,Other,0.697408557,Other
Bryan,Baker,0.948048294,1.75e-05,0.000316946,0.017510712,White,0.948048294,White
Bryan,De La Cruz,5.12e-05,0.992412269,0.000282873,9.01e-06,Black,0.992412269,Black
Bryan,Garcia,0.998942673,5.39e-07,6.12e-07,0.000330983,White,0.998942673,Other
Bryan,Hoeing,0.976170421,4e-06,2.4e-05,0.005215032,White,0.976170421,White
Bryce,Elder,0.998814583,4.93e-07,4.6e-06,0.000176921,White,0.998814583,White
Bryce,Harper,0.998350263,1.85e-06,1.06e-06,0.000803423,White,0.998350263,White
Bryce,Johnson,0.999806941,3.21e-07,1.22e-06,8.2e-05,White,0.999806941,White
Buck,Farmer,0.921159506,0.000243528,2.07e-05,0.014119757,White,0.921159506,White
Byron,Buxton,0.000296463,0.931020379,0.000241263,0.000250383,Black,0.931020379,Black
C.J.,Cron,0.967979491,2.17e-05,8.43e-05,0.0114435,White,0.967979491,White
Cade,Cavalli,0.986541271,1.12e-05,4.54e-05,0.002834748,White,0.986541271,White
Caleb,Ferguson,0.917496383,3.66e-05,0.000233103,0.002765957,White,0.917496383,White
Caleb,Hamilton,0.983434975,6.28e-06,1.41e-05,0.001096445,White,0.983434975,White
Calvin,Faucher,0.996011615,1.12e-07,3.06e-06,0.000786702,White,0.996011615,White
Cam,Alldred,0.98919338,9.34e-07,2.74e-05,0.003343146,White,0.98919338,White
Cam,Gallagher,0.828344166,7.9e-06,3.11e-05,0.044427589,White,0.828344166,White
Camilo,Doval,0.000399975,0.955411553,0.000245964,1.51e-05,Black,0.955411553,Black
Carl,Edwards Jr.,0.000243138,0.937504649,0.000662779,0.000166528,Black,0.937504649,Black
Carlos,Carrasco,0.012111648,0.006503299,0.004748699,0.000444652,Other,0.928651333,Other
Carlos,Correa,0.030909978,0.003220049,0.016477838,0.002514403,Other,0.773860812,Other
Carson,Kelly,0.818364024,0.000331832,0.000703357,0.022443868,White,0.818364024,White
Cavan,Biggio,0.323415756,0.00018466,0.004684906,0.017447133,Other,0.638052642,White
Chad,Green,0.998570085,4.09e-07,1.64e-06,0.000562023,White,0.998570085,White
Charlie,Blackmon,0.741630495,6.93e-07,6.56e-06,0.000664666,White,0.741630495,White
Charlie,Culberson,0.938371658,7.86e-05,2.97e-05,0.02319856,White,0.938371658,White
Chase,Anderson,0.999561608,7.64e-07,4.08e-07,4.7e-05,White,0.999561608,White
Chase,De Jong,0.897988975,5.11e-06,0.000105644,0.033674143,White,0.897988975,White
Chris,Archer,0.033844322,0.000898557,0.00822025,0.000501794,Other,0.688426375,Other
Chris,Bassitt,0.997679532,3.22e-07,2.08e-06,0.000551859,White,0.997679532,White
Chris,Devenski,0.999844074,1.36e-07,1.55e-06,4.24e-05,White,0.999844074,White
Chris,Ellis,0.998369396,1.37e-06,2.76e-06,0.000238505,White,0.998369396,White
Chris,Flexen,0.9210006,2.22e-05,0.00011238,0.007839236,White,0.9210006,White
Christian,Arroyo,0.992612183,7.42e-06,1.88e-05,0.000882724,White,0.992612183,White
Christian,Bethancourt,0.004260787,0.041012194,0.008842362,0.002358192,Other,0.563535333,Black
CJ,Abrams,1.33e-05,0.988909423,7.07e-05,1.59e-05,Black,0.988909423,Black
Clay,Holmes,0.959306777,8.45e-07,8.92e-06,0.009650877,White,0.959306777,White
Clint,Frazier,0.999928832,7.47e-07,2.52e-07,2.24e-05,White,0.999928832,White
Cody,Bellinger,0.985266149,3.13e-06,3.55e-05,0.003870606,White,0.985266149,White
Cole,Irvin,0.997878075,1.66e-06,4.12e-06,0.000551487,White,0.997878075,White
Colin,Holderman,0.995235026,1.22e-07,1.66e-06,0.001130515,White,0.995235026,White
Conner,Capel,0.999309182,1.44e-06,1.46e-05,0.000155092,White,0.999309182,White
Connor,Brogdon,0.877920628,5.81e-06,1.62e-05,0.022895364,White,0.877920628,White
Connor,Joe,0.003022698,0.000150637,0.000179891,1.48e-05,Asian,0.539121687,Asian
Cooper,Criswell,0.990610301,1.86e-06,2.44e-05,0.002846908,White,0.990610301,White
Cooper,Hummel,0.933305144,2.43e-05,4.16e-05,0.02470536,White,0.933305144,White
Corbin,Burnes,0.982253253,8.12e-06,1.2e-05,0.008746382,White,0.982253253,White
Corbin,Carroll,0.379135132,0.000175872,0.002494461,0.000414997,Other,0.460541368,White
Corey,Dickerson,0.999337614,2.78e-07,1.42e-06,5.6e-05,White,0.999337614,White
Cory,Abbott,0.888899624,4.26e-05,0.000149823,0.019810379,White,0.888899624,White
Cristian,Javier,2.16e-06,0.999849081,3.33e-06,3.26e-07,Black,0.999849081,Black
Curt,Casali,0.998991072,6.27e-07,6.84e-07,0.000281807,White,0.998991072,White
Dairon,Blanco,1.31e-05,0.99766314,7.65e-05,2.94e-06,Black,0.99766314,Black
Dakota,Hudson,0.682397008,5.91e-05,0.000195682,0.040446833,White,0.682397008,White
Dalton,Guthrie,0.327763289,0.000316439,0.000766697,0.005960963,Other,0.660456538,Other
Damon,Jones,0.999178588,4.81e-07,3.05e-06,0.000227402,White,0.999178588,White
Dane,Dunning,0.002952156,1.59e-05,0.000288864,8.13e-05,Asian,0.743834019,Asian
Daniel,Bard,0.977505744,3.47e-06,1.82e-05,0.002883038,White,0.977505744,White
Daniel,Castano,0.870775163,3.01e-05,8.3e-05,0.043179411,White,0.870775163,White
Daniel,Duarte,0.017946515,0.000706871,0.000475354,0.028220406,Other,0.916077197,Other
Daniel,Hudson,0.858136773,3.88e-05,3.22e-05,0.00857002,White,0.858136773,White
Danny,Coulombe,0.998925984,3.62e-08,2.96e-06,0.000341195,White,0.998925984,White
Danny,Jansen,0.999685526,4.01e-07,1.87e-06,0.000123126,White,0.999685526,White
Darick,Hall,0.004654708,0.020211244,0.000792158,0.000168307,Other,0.938154101,White
Daulton,Jefferies,0.984086215,3e-06,5.02e-05,0.001621039,White,0.984086215,White
David,Bednar,0.983287096,7.27e-06,6.06e-05,0.003160546,White,0.983287096,White
David,Bote,0.997873545,1.94e-06,8.81e-06,0.000689338,White,0.997873545,White
David,Fletcher,0.755907774,0.000389025,0.000834881,0.058885459,White,0.755907774,White
David,Hensley,0.987289727,7.88e-07,1.53e-05,0.005945893,White,0.987289727,White
Daz,Cameron,5.03e-06,0.999028087,8.41e-05,9.03e-07,Black,0.999028087,Black
Derek,Hill,0.001094981,0.917595446,9.93e-05,2.28e-05,Black,0.917595446,Black
Didi,Gregorius,2.78e-07,0.999706447,2.18e-07,3.9e-07,Black,0.999706447,Black
Diego,Castillo,1.55e-05,0.990553439,1.63e-05,4.35e-06,Black,0.990553439,Black
DL,Hall,0.824561,7.74e-06,3.89e-05,0.000644396,White,0.824561,White
Domingo,Acevedo,0.001077986,0.8149575,0.000160037,0.007917354,Black,0.8149575,Black
Drew,Carlton,0.999769628,2.57e-08,4.83e-07,5.3e-05,White,0.999769628,White
Drew,Ellis,0.969696522,4e-06,2.58e-06,0.000841116,White,0.969696522,White
